ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
60,Lyon,Grand Prix de Lyon,06/10/03,International,Indoor,Carpet,1st Round,3,Youzhny M.,Mantilla F.,36,20,6,3,7,6,,,,,,,2,0,Completed,1.364,3,1.32,3.25,1.25,3,1.364,2.875,,
60,Lyon,Grand Prix de Lyon,06/10/03,International,Indoor,Carpet,1st Round,3,Hrbaty D.,Nadal R.,62,47,6,3,7,5,,,,,,,2,0,Completed,,,2.08,1.7,1.9,1.6,2.1,1.667,,
60,Lyon,Grand Prix de Lyon,06/10/03,International,Indoor,Carpet,1st Round,3,Rochus O.,Ascione T.,52,106,3,6,7,6,6,3,,,,,2,1,Completed,1.4,2.75,1.42,2.75,1.4,2.3,1.444,2.625,,
60,Lyon,Grand Prix de Lyon,06/10/03,International,Indoor,Carpet,1st Round,3,Ljubicic I.,Lapentti N.,43,53,6,2,7,6,,,,,,,2,0,Completed,1.5,2.5,1.48,2.55,1.45,2.2,1.533,2.375,,
60,Lyon,Grand Prix de Lyon,07/10/03,International,Indoor,Carpet,1st Round,3,Ginepri R.,Sluiter R.,35,59,7,6,6,3,,,,,,,2,0,Completed,1.615,2.2,1.7,2.1,1.65,1.85,1.615,2.2,,
60,Lyon,Grand Prix de Lyon,07/10/03,International,Indoor,Carpet,1st Round,3,Enqvist T.,Ferreira W.,163,26,7,6,7,6,,,,,,,2,0,Completed,2.1,1.667,2.3,1.58,2,1.55,2.375,1.533,,
60,Lyon,Grand Prix de Lyon,07/10/03,International,Indoor,Carpet,1st Round,3,Arazi H.,Stepanek R.,63,44,6,7,7,5,7,6,,,,,2,1,Completed,,,1.75,2,1.75,1.75,1.72,2,,
60,Lyon,Grand Prix de Lyon,07/10/03,International,Indoor,Carpet,1st Round,3,Vicente F.,Kafelnikov Y.,68,39,6,2,6,3,,,,,,,2,0,Completed,4.5,1.167,,,4.5,1.1,5,1.14,,
60,Lyon,Grand Prix de Lyon,07/10/03,International,Indoor,Carpet,1st Round,3,Santoro F.,Safin M.,50,32,6,1,6,4,,,,,,,2,0,Completed,1.667,2.1,1.65,2.15,1.75,1.75,1.615,2.2,,
60,Lyon,Grand Prix de Lyon,07/10/03,International,Indoor,Carpet,1st Round,3,Rosset M.,Corretja A.,120,129,7,6,7,6,,,,,,,2,0,Completed,,,1.33,3.15,1.3,2.7,,,,
60,Lyon,Grand Prix de Lyon,08/10/03,International,Indoor,Carpet,1st Round,3,Srichaphan P.,Sanchez D.,11,51,6,1,6,1,,,,,,,2,0,Completed,1.1,6,1.08,6.75,1.05,5,1.063,7,,
60,Lyon,Grand Prix de Lyon,08/10/03,International,Indoor,Carpet,1st Round,3,Schuettler R.,Mathieu P.H.,6,55,6,2,6,2,,,,,,,2,0,Completed,1.571,2.25,1.63,2.2,1.6,1.9,1.615,2.2,,
60,Lyon,Grand Prix de Lyon,08/10/03,International,Indoor,Carpet,1st Round,3,Malisse X.,Pavel A.,60,109,5,7,6,3,6,4,,,,,2,1,Completed,1.727,2,1.85,1.9,1.85,1.65,1.727,2,,
60,Lyon,Grand Prix de Lyon,08/10/03,International,Indoor,Carpet,1st Round,3,Mahut N.,Grosjean S.,112,10,4,6,6,3,,,,,,,1,1,Retired,4.5,1.167,4.75,1.16,3.8,1.15,4.5,1.167,,
