Name,Team,Position,Points,Assists,Minutes,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three Points Made,Three Points Attempted,Three Point Percentage,Two Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Turnovers,Steals,Blocks,Personal Fouls,Points per Match,Turnovers per Match,Free Throws Attempted per Match,Field Goals Attempted per Match,Assists per Match,Blocks per Match,Personal Fouls per Match,Rebounds per Match,Three Points Made per Match,Free Throws Made per Match,Field Goals Made per Match,Steals per Match,Three Points Attempted per Match,Games Played
"Porzingis, Kristaps",Forward-Center,23,7,59:35,8,17,0.471,0,5,0,0.667,7,7,1,14,2,1,4,5,11.5,1,3.5,8.5,3.5,2,2.5,7,0,3.5,4,0.5,2.5,2
"Payne, Cameron",Guard,277,101,659:00,96,209,0.459,50,124,0.403,0.541,35,40,0.875,53,29,19,3,69,6.295,0.659,0.909,4.75,2.295,0.068,1.568,1.205,1.136,0.795,2.182,0.432,2.818,44
"Marjanovic, Boban",Center,17,4,43:49,8,19,0.421,0,2,0,0.471,1,4,0.25,18,1,0,1,4,2.125,0.125,0.5,2.375,0.5,0.125,0.5,2.25,0,0.125,1,0,0.25,8
"Theis, Daniel",Forward-Center,0,0,00:00,0,0,0.534,0,0,0.405,0.567,0,0,0.718,0,0,0,0,0,6.472,0.667,1.083,4.944,1,0.889,2.389,3.639,0.417,0.778,2.639,0.472,1.028,0
"Kleber, Maxi",Forward,47,19,242:58,15,43,0.349,7,24,0.292,0.421,10,15,0.667,39,12,2,8,29,3.615,0.923,1.154,3.308,1.462,0.615,2.231,3,0.538,0.769,1.154,0.154,1.846,13
"Ntilikina, Frank",Guard,5,4,42:54,1,9,0.111,1,8,0.125,0,2,2,1,6,1,0,0,4,1,0.2,0.4,1.8,0.8,0,0.8,1.2,0.2,0.4,0.2,0,1.6,5
"Vezenkov, Sasha",Forward,187,14,418:32,72,158,0.456,36,96,0.375,0.581,7,10,0.7,85,11,15,7,31,5.667,0.333,0.303,4.788,0.424,0.212,0.939,2.576,1.091,0.212,2.182,0.455,2.909,33
"Doncic, Luka",Forward-Guard,1388,382,1499:24,469,960,0.489,155,413,0.375,0.574,295,378,0.78,344,157,57,24,74,34.7,3.925,9.45,24,9.55,0.6,1.85,8.6,3.875,7.375,11.725,1.425,10.325,40
"Korkmaz, Furkan",Guard-Forward,0,0,03:39,0,1,0,0,0,0.351,0,0,0,0.688,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,2
"Yurtseven, Omer Faruk",Center,18,1,17:26,8,11,0.727,0,1,0,0.8,2,3,0.667,6,0,0,0,1,9,0,1.5,5.5,0.5,0,0.5,3,0,1,4,0,0.5,2
"Fontecchio, Simone",Forward,25,1,70:55,9,16,0.563,7,13,0.538,0.667,0,0,0.789,8,3,2,1,9,6.25,0.75,0,4,0.25,0.25,2.25,2,1.75,0,2.25,0.5,3.25,4
"Zubac, Ivica",Center,470,48,1029:35,201,307,0.655,0,0,,0.655,68,105,0.648,370,43,8,52,110,12.368,1.132,2.763,8.079,1.263,1.368,2.895,9.737,0,1.789,5.289,0.211,0,38
"Prince, Taurean",Forward,29,5,127:51,10,29,0.345,3,18,0.167,0.636,6,8,0.75,5,2,3,3,12,7.25,0.5,2,7.25,1.25,0.75,3,1.25,0.75,1.5,2.5,0.75,4.5,4
"Poeltl, Jakob",Center,21,5,56:45,10,12,0.833,0,0,,0.833,1,2,0.5,18,7,1,1,6,10.5,3.5,1,6,2.5,0.5,3,9,0,0.5,5,0.5,0,2
"Simmons, Ben",Guard-Forward,8,6,32:44,4,8,0.5,0,0,,0.5,0,0,0.25,9,4,1,0,3,8,4,0,8,6,0,3,9,0,0,4,1,0,1
"LeVert, Caris",Guard,33,6,92:47,13,34,0.382,3,15,0.2,0.526,4,6,0.667,9,5,3,1,5,11,1.667,2,11.333,2,0.333,1.667,3,1,1.333,4.333,1,5,3
"Beasley, Malik",Guard,511,63,1351:27,186,392,0.474,126,281,0.448,0.541,13,18,0.722,182,32,33,6,98,11.109,0.696,0.391,8.522,1.37,0.13,2.13,3.957,2.739,0.283,4.043,0.717,6.109,46
"Brown, Jaylen",Guard-Forward,51,9,65:14,19,33,0.576,8,14,0.571,0.579,5,8,0.625,6,6,2,1,2,25.5,3,4,16.5,4.5,0.5,1,3,4,2.5,9.5,1,7,2
"Murray, Jamal",Guard,742,224,1111:41,278,581,0.478,82,198,0.414,0.512,104,121,0.86,133,67,28,23,70,21.2,1.914,3.457,16.6,6.4,0.657,2,3.8,2.343,2.971,7.943,0.8,5.657,35
"Hield, Buddy",Guard,58,4,118:05,21,36,0.583,13,22,0.591,0.571,3,3,1,13,7,1,1,9,14.5,1.75,0.75,9,1,0.25,2.25,3.25,3.25,0.75,5.25,0.25,5.5,4
"Sabonis, Domantas",Forward-Center,914,368,1630:28,368,597,0.616,23,51,0.451,0.632,155,228,0.68,600,151,36,25,149,19.87,3.283,4.957,12.978,8,0.543,3.239,13.043,0.5,3.37,8,0.783,1.109,46
"Jones, Damian",Center,0,0,00:38,0,0,0.531,0,0,0.286,0.6,0,0,0.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Murray, Dejounte",Guard,86,19,137:55,32,70,0.457,11,24,0.458,0.457,11,11,1,12,13,8,1,7,21.5,3.25,2.75,17.5,4.75,0.25,1.75,3,2.75,2.75,8,2,6,4
"Brogdon, Malcolm",Guard,43,15,69:15,12,33,0.364,6,14,0.429,0.316,13,16,0.813,8,6,3,0,3,21.5,3,8,16.5,7.5,0,1.5,4,3,6.5,6,1.5,7,2
"Ingram, Brandon",Forward,945,247,1457:05,352,721,0.488,59,169,0.349,0.531,182,227,0.802,220,110,34,22,98,21.477,2.5,5.159,16.386,5.614,0.5,2.227,5,1.341,4.136,8,0.773,3.841,44
"Dunn, Kris",Guard,5,2,08:34,2,4,0.5,1,1,1,0.333,0,0,0.667,0,3,0,0,1,1.667,1,0,1.333,0.667,0,0.333,0,0.333,0,0.667,0,0.333,3
"Finney-Smith, Dorian",Forward,35,2,84:19,13,25,0.52,9,18,0.5,0.571,0,0,0.7,10,0,1,2,6,11.667,0,0,8.333,0.667,0.667,2,3.333,3,0,4.333,0.333,6,3
"Bertans, Davis",Forward,44,9,91:01,10,26,0.385,10,24,0.417,0,14,15,0.933,10,1,3,3,10,2.933,0.067,1,1.733,0.6,0.2,0.667,0.667,0.667,0.933,0.667,0.2,1.6,15
"Arcidiacono, Ryan",Guard,0,4,45:08,0,6,0,0,6,0,,0,0,,8,2,2,0,5,0,0.1,0,0.3,0.2,0,0.25,0.4,0,0,0,0.1,0.3,20
"House, Danuel",Forward-Guard,21,1,48:29,7,13,0.538,2,6,0.333,0.714,5,5,1,4,4,0,0,4,7,1.333,1.667,4.333,0.333,0,1.333,1.333,0.667,1.667,2.333,0,2,3
"VanVleet, Fred",Guard,754,378,1670:14,251,615,0.408,131,351,0.373,0.455,121,141,0.858,171,72,50,41,101,16.756,1.6,3.133,13.667,8.4,0.911,2.244,3.8,2.911,2.689,5.578,1.111,7.8,45
"Siakam, Pascal",Forward,39,13,59:17,16,26,0.615,0,3,0,0.696,7,9,0.778,8,5,1,0,6,19.5,2.5,4.5,13,6.5,0,3,4,0,3.5,8,0.5,1.5,2
"Niang, Georges",Forward,45,4,98:21,16,31,0.516,7,17,0.412,0.643,6,6,1,26,2,1,0,8,11.25,0.5,1.5,7.75,1,0,2,6.5,1.75,1.5,4,0.25,4.25,4
"Payton II, Gary",Guard,87,13,261:20,36,79,0.456,9,32,0.281,0.574,6,9,0.667,48,10,17,5,29,5.438,0.625,0.563,4.938,0.813,0.313,1.813,3,0.563,0.375,2.25,1.063,2,16
"Jones, Derrick",Forward,435,44,1108:39,160,329,0.486,59,169,0.349,0.631,56,76,0.737,156,41,35,36,83,10.116,0.953,1.767,7.651,1.023,0.837,1.93,3.628,1.372,1.302,3.721,0.814,3.93,43
"Monk, Malik",Guard,639,240,1139:49,217,503,0.431,103,273,0.377,0.496,102,125,0.816,115,97,27,28,86,14.2,2.156,2.778,11.178,5.333,0.622,1.911,2.556,2.289,2.267,4.822,0.6,6.067,45
"Fox, De'Aaron",Guard,1087,220,1425:08,385,825,0.467,120,316,0.38,0.521,197,272,0.724,163,99,64,16,100,27.175,2.475,6.8,20.625,5.5,0.4,2.5,4.075,3,4.925,9.625,1.6,7.9,40
"Anunoby, OG",Forward,11,4,30:26,4,8,0.5,3,5,0.6,0.333,0,0,0.774,1,4,0,3,0,11,4,0,8,4,3,0,1,3,0,4,0,5,1
"Adebayo, Bam",Center-Forward,781,160,1323:39,290,579,0.501,1,11,0.091,0.509,200,256,0.781,401,92,38,39,94,20.553,2.421,6.737,15.237,4.211,1.026,2.474,10.553,0.026,5.263,7.632,1,0.289,38
"Allen, Jarrett",Center,57,7,118:37,25,40,0.625,0,0,0,0.625,7,9,0.778,35,5,1,7,13,14.25,1.25,2.25,10,1.75,1.75,3.25,8.75,0,1.75,6.25,0.25,0,4
"Kennard, Luke",Guard,19,4,53:27,7,23,0.304,5,16,0.313,0.286,0,0,0.895,12,0,0,1,2,6.333,0,0,7.667,1.333,0.333,0.667,4,1.667,0,2.333,0,5.333,3
"Ball, Lonzo",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Isaac, Jonathan",Forward,30,2,44:06,11,18,0.611,3,10,0.3,1,5,6,0.833,15,5,4,4,3,10,1.667,2,6,0.667,1.333,1,5,1,1.667,3.667,1.333,3.333,3
"Collins, Zach",Forward-Center,440,115,910:57,167,349,0.479,36,124,0.29,0.582,70,91,0.769,204,80,20,26,118,12.222,2.222,2.528,9.694,3.194,0.722,3.278,5.667,1,1.944,4.639,0.556,3.444,36
"Tatum, Jayson",Forward-Guard,40,5,70:43,14,39,0.359,5,22,0.227,0.529,7,9,0.778,17,5,1,0,4,20,2.5,4.5,19.5,2.5,0,2,8.5,2.5,3.5,7,0.5,11,2
"Collins, John",Forward-Center,62,4,130:03,22,44,0.5,8,15,0.533,0.483,10,15,0.667,31,5,2,10,14,15.5,1.25,3.75,11,1,2.5,3.5,7.75,2,2.5,5.5,0.5,3.75,4
"Fultz, Markelle",Guard,0,0,00:00,0,0,0.512,0,0,0,0.525,0,0,0.462,0,0,0,0,0,8.933,1.133,0.867,8.333,3.667,0.333,1.667,3.2,0,0.4,4.267,1.4,0.2,0
"Markkanen, Lauri",Forward-Center,78,1,131:00,25,53,0.472,9,29,0.31,0.667,19,22,0.864,26,3,5,5,7,19.5,0.75,5.5,13.25,0.25,1.25,1.75,6.5,2.25,4.75,6.25,1.25,7.25,4
Dennis Smith,Guard,27,13,62:19,11,26,0.423,1,4,0.25,0.455,4,4,1,8,2,3,0,7,9,0.667,1.333,8.667,4.333,0,2.333,2.667,0.333,1.333,3.667,1,1.333,3
"Mitchell, Donovan",Guard,78,14,71:41,27,46,0.587,7,18,0.389,0.714,17,19,0.895,16,9,4,1,4,39,4.5,9.5,23,7,0.5,2,8,3.5,8.5,13.5,2,9,2
"Giles, Harry",Forward-Center,7,0,05:51,3,3,1,1,1,1,1,0,0,0.545,1,1,0,0,1,7,1,0,3,0,0,1,1,1,0,3,0,1,1
"White, Derrick",Guard,24,10,61:05,8,20,0.4,5,13,0.385,0.429,3,4,0.75,8,1,0,1,3,12,0.5,2,10,5,0.5,1.5,4,2.5,1.5,4,0,6.5,2
"Kornet, Luke",Forward-Center,7,1,17:53,3,5,0.6,0,0,0,0.6,1,1,1,9,0,0,1,1,7,0,1,5,1,1,1,9,0,1,3,0,0,1
"Hartenstein, Isaiah",Center-Forward,324,94,1196:19,130,209,0.622,1,3,0.333,0.626,63,91,0.692,406,54,55,50,135,6.894,1.149,1.936,4.447,2,1.064,2.872,8.638,0.021,1.34,2.766,1.17,0.064,47
"Kuzma, Kyle",Forward,1034,203,1474:37,405,886,0.457,105,317,0.331,0.527,119,149,0.799,307,126,20,31,94,22,2.681,3.17,18.851,4.319,0.66,2,6.532,2.234,2.532,8.617,0.426,6.745,47
"Morris, Monte",Guard,0,0,00:00,0,0,0.458,0,0,0.286,0.529,0,0,0.5,0,0,0,0,0,6.25,0.5,0.5,6,1.75,0.25,0.25,1.75,0.5,0.25,2.75,0.25,1.75,0
"Bryant, Thomas",Center-Forward,106,15,259:10,44,77,0.571,0,4,0,0.603,18,22,0.818,77,15,6,5,26,4.24,0.6,0.88,3.08,0.6,0.2,1.04,3.08,0,0.72,1.76,0.24,0.16,25
"Hart, Josh",Guard,352,142,1387:15,136,315,0.432,40,133,0.301,0.527,40,48,0.833,327,59,36,14,88,7.333,1.229,1,6.563,2.958,0.292,1.833,6.813,0.833,0.833,2.833,0.75,2.771,48
"Hill, Malcolm",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Cancar, Vlatko",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Bridges, Miles",Forward,739,109,1302:25,281,608,0.462,84,234,0.359,0.527,93,108,0.861,262,71,40,21,67,21.114,2.029,3.086,17.371,3.114,0.6,1.914,7.486,2.4,2.657,8.029,1.143,6.686,35
"Smith, Dru",Guard,39,14,130:54,15,33,0.455,7,17,0.412,0.5,2,2,1,14,5,9,3,12,4.333,0.556,0.222,3.667,1.556,0.333,1.333,1.556,0.778,0.222,1.667,1,1.889,9
"Ryan, Matt",Forward,121,14,298:04,38,83,0.458,32,68,0.471,0.4,13,14,0.929,30,16,5,1,24,9.308,1.231,1.077,6.385,1.077,0.077,1.846,2.308,2.462,1,2.923,0.385,5.231,13
"Moon, Xavier",Guard,2,3,11:33,1,2,0.5,0,1,0,1,0,0,,2,1,0,0,1,1,0.5,0,1,1.5,0,0.5,1,0,0,0.5,0,0.5,2
"Landale, Jock",Center-Forward,61,16,249:14,24,62,0.387,2,17,0.118,0.489,11,15,0.733,56,10,7,10,26,2.259,0.37,0.556,2.296,0.593,0.37,0.963,2.074,0.074,0.407,0.889,0.259,0.63,27
"Brunson, Jalen",Guard,1272,301,1677:36,450,936,0.481,129,309,0.417,0.512,243,291,0.835,182,108,42,10,97,27.064,2.298,6.191,19.915,6.404,0.213,2.064,3.872,2.745,5.17,9.574,0.894,6.574,47
"Holiday, Aaron",Guard,287,75,754:51,103,232,0.444,50,127,0.394,0.505,31,34,0.912,82,33,23,3,66,6.523,0.75,0.773,5.273,1.705,0.068,1.5,1.864,1.136,0.705,2.341,0.523,2.886,44
"Potter, Micah",Forward,0,0,00:00,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0.5,0
"Huff, Jay",Center,7,1,17:03,3,6,0.5,1,4,0.25,1,0,0,,1,1,0,0,5,1.167,0.167,0,1,0.167,0,0.833,0.167,0.167,0,0.5,0,0.667,6
"Okogie, Josh",Guard,10,5,66:19,2,14,0.143,1,8,0.125,0.167,5,7,0.714,17,2,2,0,3,2.5,0.5,1.75,3.5,1.25,0,0.75,4.25,0.25,1.25,0.5,0.5,2,4
"McLaughlin, Jordan",Guard,68,49,249:24,26,64,0.406,13,35,0.371,0.448,3,6,0.5,28,10,20,5,13,2.519,0.37,0.222,2.37,1.815,0.185,0.481,1.037,0.481,0.111,0.963,0.741,1.296,27
"McDaniels, Jalen",Forward-Center,9,1,13:46,3,6,0.5,1,2,0.5,0.5,2,2,0.7,1,1,0,0,1,4.5,0.5,1,3,0.5,0,0.5,0.5,0.5,1,1.5,0,1,2
"Metu, Chimezie",Forward-Center,3,2,21:12,1,3,0.333,0,1,0,0.5,1,2,0.5,2,0,1,0,3,1.5,0,1,1.5,1,0,1.5,1,0,0.5,0.5,0.5,0.5,2
"Mann, Terance",Guard-Forward,303,73,1005:13,117,259,0.452,36,121,0.298,0.587,33,44,0.75,126,24,25,11,74,7.575,0.6,1.1,6.475,1.825,0.275,1.85,3.15,0.9,0.825,2.925,0.625,3.025,40
"Key, Braxton",Forward,15,8,44:11,5,14,0.357,1,4,0.25,0.4,4,5,0.8,10,1,2,0,4,1.154,0.077,0.385,1.077,0.615,0,0.308,0.769,0.077,0.308,0.385,0.154,0.308,13
"Clarke, Brandon",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Reath, Duop",Center,10,1,32:38,4,15,0.267,2,10,0.2,0.4,0,0,0.783,4,2,2,0,3,3.333,0.667,0,5,0.333,0,1,1.333,0.667,0,1.333,0.667,3.333,3
"Martin, Cody",Forward,116,50,418:30,44,121,0.364,16,48,0.333,0.384,12,23,0.522,53,22,19,11,30,7.25,1.375,1.438,7.563,3.125,0.688,1.875,3.313,1,0.75,2.75,1.188,3,16
"Windler, Dylan",Guard-Forward,12,3,16:52,4,7,0.571,4,6,0.667,0,0,0,,3,0,0,0,2,2,0,0,1.167,0.5,0,0.333,0.5,0.667,0,0.667,0,1,6
"Tate, Jae'Sean",Forward,203,48,798:41,82,172,0.477,19,65,0.292,0.589,20,28,0.714,147,20,29,9,106,4.614,0.455,0.636,3.909,1.091,0.205,2.409,3.341,0.432,0.455,1.864,0.659,1.477,44
"Martin, Caleb",Forward,321,66,814:18,121,272,0.445,37,97,0.381,0.48,42,55,0.764,145,38,22,9,63,10.355,1.226,1.774,8.774,2.129,0.29,2.032,4.677,1.194,1.355,3.903,0.71,3.129,31
"Brown, Charlie",Guard,3,0,06:21,1,4,0.25,1,3,0.333,0,0,0,,0,2,0,1,1,0.75,0.5,0,1,0,0.25,0.25,0,0.25,0,0.25,0,0.75,4
"Ford, Jordan",Guard,12,2,21:49,4,7,0.571,2,3,0.667,0.5,2,2,1,2,1,0,0,0,2,0.167,0.333,1.167,0.333,0,0,0.333,0.333,0.333,0.667,0,0.5,6
"Flynn, Malachi",Guard,11,6,38:07,4,9,0.444,2,3,0.667,0.333,1,2,0.5,4,2,1,1,2,5.5,1,1,4.5,3,0.5,1,2,1,0.5,2,0.5,1.5,2
"Jerome, Ty",Guard-Forward,0,0,00:00,0,0,0.5,0,0,0,0.667,0,0,,0,0,0,0,0,2,0.5,0,2,1.5,0,1,0.5,0,0,1,0,0.5,0
"Knight, Nathan",Forward-Center,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Bates-Diop, Keita",Forward,25,1,83:02,8,21,0.381,1,7,0.143,0.5,8,9,0.889,13,0,5,5,4,6.25,0,2.25,5.25,0.25,1.25,1,3.25,0.25,2,2,1.25,1.75,4
"Thybulle, Matisse",Guard-Forward,16,2,86:20,6,14,0.429,4,12,0.333,1,0,0,0.813,8,2,3,3,4,4,0.5,0,3.5,0.5,0.75,1,2,1,0,1.5,0.75,3,4
"Boucher, Chris",Forward-Center,9,0,35:51,3,10,0.3,2,5,0.4,0.2,1,2,0.5,6,0,0,1,3,4.5,0,1,5,0,0.5,1.5,3,1,0.5,1.5,0,2.5,2
"Pritchard, Payton",Guard,18,6,47:56,7,17,0.412,3,12,0.25,0.8,1,2,0.5,8,0,2,0,2,9,0,1,8.5,3,0,1,4,1.5,0.5,3.5,1,6,2
"Bane, Desmond",Guard,91,30,144:13,35,76,0.461,12,33,0.364,0.535,9,11,0.818,18,11,6,5,12,22.75,2.75,2.75,19,7.5,1.25,3,4.5,3,2.25,8.75,1.5,8.25,4
"Reaves, Austin",Guard,57,23,108:56,19,37,0.514,7,12,0.583,0.48,12,14,0.857,20,10,4,0,1,14.25,2.5,3.5,9.25,5.75,0,0.25,5,1.75,3,4.75,1,3,4
"Hauser, Sam",Guard-Forward,26,4,47:20,9,17,0.529,8,16,0.5,1,0,0,0.846,5,0,1,0,1,13,0,0,8.5,2,0,0.5,2.5,4,0,4.5,0.5,8,2
"Merrill, Sam",Guard,0,0,06:22,0,1,0,0,1,0,0.433,0,0,0.909,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,2
"Mays, Skylar",Guard,36,22,93:23,14,35,0.4,6,16,0.375,0.421,2,2,1,13,4,3,2,6,9,1,0.5,8.75,5.5,0.5,1.5,3.25,1.5,0.5,3.5,0.75,4,4
"Hachimura, Rui",Forward,49,4,100:24,18,34,0.529,7,13,0.538,0.524,6,7,0.857,17,7,4,1,9,12.25,1.75,1.75,8.5,1,0.25,2.25,4.25,1.75,1.5,4.5,1,3.25,4
"Azubuike, Udoka",Center-Forward,0,0,00:00,0,0,0.727,0,0,,0.727,0,0,0.273,0,0,0,0,0,2.917,0.333,0.917,1.833,0.25,0.5,1.417,2.583,0,0.25,1.333,0,0,0
"Melton, De'Anthony",Guard,67,13,142:00,21,49,0.429,10,25,0.4,0.458,15,19,0.789,17,6,8,2,13,16.75,1.5,4.75,12.25,3.25,0.5,3.25,4.25,2.5,3.75,5.25,2,6.25,4
"Brooks, Dillon",Guard-Forward,528,59,1192:38,192,417,0.46,72,185,0.389,0.517,72,86,0.837,131,56,36,3,142,13.895,1.474,2.263,10.974,1.553,0.079,3.737,3.447,1.895,1.895,5.053,0.947,4.868,38
"Moore, Taze",Forward,6,1,10:11,3,5,0.6,0,2,0,1,0,0,,0,1,1,0,2,2,0.333,0,1.667,0.333,0,0.667,0,0,0,1,0.333,0.667,3
"Stevens, Lamar",Forward,0,0,00:00,0,0,0.463,0,0,0.286,0.5,0,0,0.727,0,0,0,0,0,2.667,0.5,0.611,2.278,0.444,0.278,0.722,1.611,0.111,0.444,1.056,0.333,0.389,0
"Wainright, Ishmail",Guard,0,0,02:34,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1
"Forrest, Trent",Guard,2,4,17:00,0,2,0,0,0,0.286,0,2,2,1,1,0,0,0,0,1,0,1,1,2,0,0,0.5,0,1,0,0,0,2
"Shamet, Landry",Guard,233,41,448:35,83,184,0.451,39,102,0.382,0.537,28,36,0.778,38,18,16,7,52,7.767,0.6,1.2,6.133,1.367,0.233,1.733,1.267,1.3,0.933,2.767,0.533,3.4,30
"Brown, Bruce",Guard-Forward,56,13,140:33,21,46,0.457,5,16,0.313,0.533,9,11,0.818,16,4,6,0,13,14,1,2.75,11.5,3.25,0,3.25,4,1.25,2.25,5.25,1.5,4,4
"Harrison, Shaquille",Guard,0,0,01:38,0,0,0.5,0,0,,0.5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lee, Damion",Guard-Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Waters, Lindy",Guard,49,10,130:08,17,40,0.425,15,37,0.405,0.667,0,0,,15,2,0,3,12,2.722,0.111,0,2.222,0.556,0.167,0.667,0.833,0.833,0,0.944,0,2.056,18
"Eubanks, Drew",Forward-Center,20,1,48:14,7,12,0.583,1,1,1,0.545,5,5,1,11,4,0,1,8,6.667,1.333,1.667,4,0.333,0.333,2.667,3.667,0.333,1.667,2.333,0,0.333,3
"Bridges, Mikal",Forward,53,8,93:34,21,45,0.467,7,19,0.368,0.538,4,6,0.667,12,8,4,0,4,17.667,2.667,2,15,2.667,0,1.333,4,2.333,1.333,7,1.333,6.333,3
"Wagner, Moritz",Forward-Center,31,9,60:16,12,18,0.667,0,1,0,0.706,7,8,0.875,14,2,1,1,6,10.333,0.667,2.667,6,3,0.333,2,4.667,0,2.333,4,0.333,0.333,3
"Schofield, Admiral",Forward,0,0,01:33,0,0,0.333,0,0,0.222,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Omoruyi, Eugene",Forward,85,11,109:35,32,55,0.582,5,17,0.294,0.711,16,21,0.762,28,9,9,1,20,4.474,0.474,1.105,2.895,0.579,0.053,1.053,1.474,0.263,0.842,1.684,0.474,0.895,19
"Hunter, De'Andre",Forward-Guard,50,8,105:55,18,40,0.45,5,15,0.333,0.52,9,10,0.9,14,4,2,0,10,12.5,1,2.5,10,2,0,2.5,3.5,1.25,2.25,4.5,0.5,3.75,4
"Williams, Grant",Forward,361,78,1168:30,125,301,0.415,76,202,0.376,0.495,35,48,0.729,154,45,22,25,131,8.205,1.023,1.091,6.841,1.773,0.568,2.977,3.5,1.727,0.795,2.841,0.5,4.591,44
"Craig, Torrey",Forward,6,4,49:05,2,7,0.286,2,5,0.4,0,0,0,0.783,7,2,2,0,7,3,1,0,3.5,2,0,3.5,3.5,1,0,1,1,2.5,2
"Caruso, Alex",Guard,21,2,49:23,6,8,0.75,5,7,0.714,1,4,4,1,3,1,3,3,6,10.5,0.5,2,4,1,1.5,3,1.5,2.5,2,3,1.5,3.5,2
"Bagley, Marvin",Forward,42,5,73:34,18,27,0.667,0,0,0.222,0.667,6,6,1,25,7,1,5,5,10.5,1.75,1.5,6.75,1.25,1.25,1.25,6.25,0,1.5,4.5,0.25,0,4
"Garza, Luka",Center,23,2,28:24,8,21,0.381,1,6,0.167,0.467,6,10,0.6,9,2,0,0,8,2.3,0.2,1,2.1,0.2,0,0.8,0.9,0.1,0.6,0.8,0,0.6,10
"Fernando, Bruno",Center,2,0,03:54,1,6,0.167,0,0,0,0.167,0,0,0.526,3,1,0,0,1,2,1,0,6,0,0,1,3,0,0,1,0,0,1
"Gafford, Daniel",Forward-Center,450,66,1099:45,185,267,0.693,0,0,,0.693,80,113,0.708,327,44,42,90,137,10.714,1.048,2.69,6.357,1.571,2.143,3.262,7.786,0,1.905,4.405,1,0,42
"Sexton, Collin",Guard,45,21,87:52,17,38,0.447,3,12,0.25,0.538,8,8,1,13,6,3,3,8,11.25,1.5,2,9.5,5.25,0.75,2,3.25,0.75,2,4.25,0.75,3,4
"Jones, Herbert",Forward,480,109,1252:57,171,346,0.494,61,154,0.396,0.573,77,90,0.856,157,52,49,41,125,10.909,1.182,2.045,7.864,2.477,0.932,2.841,3.568,1.386,1.75,3.886,1.114,3.5,44
"Okeke, Chuma",Forward,6,0,05:55,2,3,0.667,2,3,0.667,0.583,0,0,0.4,0,0,0,0,0,3,0,0,1.5,0,0,0,0,1,0,1,0,1.5,2
"Mitchell, Davion",Guard,130,62,450:53,49,130,0.377,18,67,0.269,0.492,14,19,0.737,35,20,8,2,42,3.611,0.556,0.528,3.611,1.722,0.056,1.167,0.972,0.5,0.389,1.361,0.222,1.861,36
"Minaya, Justin",Forward,0,0,07:10,0,0,0.3,0,0,0.231,0.429,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2
"Ayton, Deandre",Center,73,11,139:18,34,56,0.607,0,0,,0.607,5,6,0.833,42,9,6,2,10,18.25,2.25,1.5,14,2.75,0.5,2.5,10.5,0,1.25,8.5,1.5,0,4
"Lee, Saben",Guard,0,0,00:00,0,0,0.429,0,0,0,0.563,0,0,0.765,0,0,0,0,0,2.818,0.455,1.545,1.909,1.091,0.273,0.545,1.091,0,1.182,0.818,0.273,0.455,0
"Wigginton, Lindell",Guard,6,0,07:37,2,5,0.4,0,2,0,0.667,2,2,1,0,1,0,0,1,2,0.333,0.667,1.667,0,0,0.333,0,0,0.667,0.667,0,0.667,3
"Young, Trae",Guard,73,31,108:03,21,45,0.467,9,22,0.409,0.522,22,24,0.917,4,10,5,0,9,24.333,3.333,8,15,10.333,0,3,1.333,3,7.333,7,1.667,7.333,3
"Sims, Jericho",Center,42,8,226:33,19,26,0.731,0,0,,0.731,4,7,0.571,53,7,2,10,20,1.68,0.28,0.28,1.04,0.32,0.4,0.8,2.12,0,0.16,0.76,0.08,0,25
"Carter Jr., Wendell",Center-Forward,0,0,00:00,0,0,0.515,0,0,0.417,0.569,0,0,0.763,0,0,0,0,0,11.091,1.091,2.682,7.682,1.636,0.545,2.318,6.591,1.136,2.045,3.955,0.5,2.727,0
