Name,Team,Position,Points,Assists,Minutes,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three Points Made,Three Points Attempted,Three Point Percentage,Two Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Turnovers,Steals,Blocks,Personal Fouls,Points per Match,Turnovers per Match,Free Throws Attempted per Match,Field Goals Attempted per Match,Assists per Match,Blocks per Match,Personal Fouls per Match,Rebounds per Match,Three Points Made per Match,Free Throws Made per Match,Field Goals Made per Match,Steals per Match,Three Points Attempted per Match,Games Played
"LaVine, Zach",Guard-Forward,58,8,79:12,22,41,0.537,5,17,0.294,0.708,9,11,0.818,13,5,2,1,6,29,2.5,5.5,20.5,4,0.5,3,6.5,2.5,4.5,11,1,8.5,2
"Nurkic, Jusuf",Center,53,17,117:27,17,31,0.548,4,10,0.4,0.619,15,20,0.75,39,11,5,6,13,13.25,2.75,5,7.75,4.25,1.5,3.25,9.75,1,3.75,4.25,1.25,2.5,4
"Beal, Bradley",Guard,24,2,31:30,9,17,0.529,2,4,0.5,0.538,4,6,0.667,4,2,2,0,4,24,2,6,17,2,0,4,4,2,4,9,2,4,1
"DeRozan, DeMar",Guard-Forward,47,7,69:30,19,40,0.475,3,5,0.6,0.457,6,8,0.75,5,3,1,0,1,23.5,1.5,4,20,3.5,0,0.5,2.5,1.5,3,9.5,0.5,2.5,2
"Lopez, Robin",Center,10,4,37:59,3,8,0.375,2,6,0.333,0.5,2,2,1,3,1,0,1,4,0.769,0.077,0.154,0.615,0.308,0.077,0.308,0.231,0.154,0.154,0.231,0,0.462,13
"Middleton, Khris",Forward,617,207,1082:46,235,479,0.491,71,188,0.378,0.564,76,91,0.835,178,86,36,13,98,15.049,2.098,2.22,11.683,5.049,0.317,2.39,4.341,1.732,1.854,5.732,0.878,4.585,41
"Vucevic, Nikola",Center,23,9,65:53,10,29,0.345,1,4,0.25,0.36,2,2,1,23,1,0,0,5,11.5,0.5,1,14.5,4.5,0,2.5,11.5,0.5,1,5,0,2,2
"Butler, Jimmy",Forward,707,145,1113:44,222,446,0.498,31,71,0.437,0.509,232,264,0.879,170,55,40,10,39,21.424,1.667,8,13.515,4.394,0.303,1.182,5.152,0.939,7.03,6.727,1.212,2.152,33
"Jokic, Nikola",Center,1235,423,1584:03,481,822,0.585,49,137,0.358,0.631,224,275,0.815,569,138,55,43,121,26.277,2.936,5.851,17.489,9,0.915,2.574,12.106,1.043,4.766,10.234,1.17,2.915,47
"Thompson, Klay",Guard,738,100,1295:36,257,610,0.421,143,371,0.385,0.477,81,89,0.91,144,70,22,22,85,17.571,1.667,2.119,14.524,2.381,0.524,2.024,3.429,3.405,1.929,6.119,0.524,8.833,42
"Beverley, Patrick",Guard,6,4,67:45,2,7,0.286,0,4,0,0.667,2,2,1,11,1,2,1,11,1.5,0.25,0.5,1.75,1,0.25,2.75,2.75,0,0.5,0.5,0.5,1,4
"Jordan, DeAndre",Center,103,19,292:37,41,64,0.641,0,0,,0.641,21,47,0.447,116,19,5,13,43,4.292,0.792,1.958,2.667,0.792,0.542,1.792,4.833,0,0.875,1.708,0.208,0,24
"Porter Jr., Otto",Forward,5,0,04:31,2,2,1,1,1,1,1,0,0,1,2,1,0,0,1,5,1,0,2,0,0,1,2,1,0,2,0,1,1
"Embiid, Joel",Center-Forward,136,22,151:02,38,83,0.458,3,14,0.214,0.507,57,63,0.905,48,20,7,7,16,34,5,15.75,20.75,5.5,1.75,4,12,0.75,14.25,9.5,1.75,3.5,4
"Lopez, Brook",Center,637,78,1530:35,240,489,0.491,85,244,0.348,0.633,72,87,0.828,264,45,30,132,127,13.271,0.938,1.813,10.188,1.625,2.75,2.646,5.5,1.771,1.5,5,0.625,5.083,48
"Love, Kevin",Forward-Center,337,86,663:44,105,243,0.432,56,167,0.335,0.645,71,90,0.789,227,28,13,6,65,9.108,0.757,2.432,6.568,2.324,0.162,1.757,6.135,1.514,1.919,2.838,0.351,4.514,37
"Gordon, Eric",Guard,57,9,131:30,20,41,0.488,13,26,0.5,0.467,4,4,1,7,6,5,2,4,14.25,1.5,1,10.25,2.25,0.5,1,1.75,3.25,1,5,1.25,6.5,4
"Lillard, Damian",Guard,1130,304,1587:23,333,790,0.422,133,388,0.343,0.498,331,358,0.925,194,111,48,7,71,25.111,2.467,7.956,17.556,6.756,0.156,1.578,4.311,2.956,7.356,7.4,1.067,8.622,45
"Durant, Kevin",Forward,107,23,109:13,41,70,0.586,12,16,0.75,0.537,13,15,0.867,22,8,0,1,9,35.667,2.667,5,23.333,7.667,0.333,3,7.333,4,4.333,13.667,0,5.333,3
"Batum, Nicolas",Guard-Forward,8,5,53:26,3,7,0.429,2,6,0.333,1,0,0,0.643,7,2,1,0,9,4,1,0,3.5,2.5,0,4.5,3.5,1,0,1.5,0.5,3,2
"McDermott, Doug",Forward,259,54,657:47,89,202,0.441,71,162,0.438,0.45,10,17,0.588,45,24,10,2,44,6.023,0.558,0.395,4.698,1.256,0.047,1.023,1.047,1.651,0.233,2.07,0.233,3.767,43
"Drummond, Andre",Center,12,0,30:10,4,5,0.8,0,1,0,1,4,8,0.5,10,3,3,1,2,6,1.5,4,2.5,0,0.5,1,5,0,2,2,1.5,0.5,2
"Olynyk, Kelly",Forward-Center,29,17,88:57,10,21,0.476,3,9,0.333,0.583,6,8,0.75,29,8,2,1,9,7.25,2,2,5.25,4.25,0.25,2.25,7.25,0.75,1.5,2.5,0.5,2.25,4
"Smart, Marcus",Guard,19,7,72:48,8,24,0.333,1,11,0.091,0.538,2,2,1,5,6,2,2,8,6.333,2,0.667,8,2.333,0.667,2.667,1.667,0.333,0.667,2.667,0.667,3.667,3
"Wiggins, Andrew",Forward,501,65,1087:32,191,432,0.442,40,128,0.313,0.497,79,111,0.712,169,56,17,19,95,12.525,1.4,2.775,10.8,1.625,0.475,2.375,4.225,1,1.975,4.775,0.425,3.2,40
"Saric, Dario",Forward-Center,450,113,902:39,156,324,0.481,68,165,0.412,0.553,70,82,0.854,240,56,27,8,97,10.227,1.273,1.864,7.364,2.568,0.182,2.205,5.455,1.545,1.591,3.545,0.614,3.75,44
"Biyombo, Bismack",Center,21,5,86:11,8,20,0.4,0,0,,0.4,5,6,0.833,27,1,1,3,10,5.25,0.25,1.5,5,1.25,0.75,2.5,6.75,0,1.25,2,0.25,0,4
"Micic, Vasilije",Guard,94,66,322:20,35,84,0.417,10,40,0.25,0.568,14,19,0.737,22,23,9,3,22,3.481,0.852,0.704,3.111,2.444,0.111,0.815,0.815,0.37,0.519,1.296,0.333,1.481,27
"Holiday, Justin",Forward-Guard,96,25,349:07,37,74,0.5,22,51,0.431,0.652,0,0,,31,6,16,2,33,3.556,0.222,0,2.741,0.926,0.074,1.222,1.148,0.815,0,1.37,0.593,1.889,27
"Paul, Chris",Guard,286,230,882:06,104,245,0.424,43,119,0.361,0.484,35,42,0.833,121,38,36,3,59,8.938,1.188,1.313,7.656,7.188,0.094,1.844,3.781,1.344,1.094,3.25,1.125,3.719,32
"Burks, Alec",Guard,32,7,61:14,10,32,0.313,8,21,0.381,0.182,4,4,1,7,3,3,1,7,10.667,1,1.333,10.667,2.333,0.333,2.333,2.333,2.667,1.333,3.333,1,7,3
"Horford, Al",Center-Forward,11,2,22:50,4,5,0.8,3,4,0.75,1,0,0,0.857,4,0,0,0,1,11,0,0,5,2,0,1,4,3,0,4,0,4,1
"Rose, Derrick",Guard,17,1,21:34,8,9,0.889,1,1,1,0.875,0,0,0.905,2,1,1,0,0,17,1,0,9,1,0,0,2,1,0,8,1,1,1
"Muscala, Mike",Forward-Center,122,28,422:52,42,111,0.378,22,69,0.319,0.476,16,22,0.727,93,17,6,11,40,3.935,0.548,0.71,3.581,0.903,0.355,1.29,3,0.71,0.516,1.355,0.194,2.226,31
"Harden, James",Guard,707,350,1400:29,210,465,0.452,111,269,0.413,0.505,176,201,0.876,201,105,50,38,87,17.244,2.561,4.902,11.341,8.537,0.927,2.122,4.902,2.707,4.293,5.122,1.22,6.561,41
"Gobert, Rudy",Center,631,55,1554:23,239,374,0.639,0,2,0,0.642,153,242,0.632,583,75,30,97,137,13.426,1.596,5.149,7.957,1.17,2.064,2.915,12.404,0,3.255,5.085,0.638,0.043,47
"Len, Alex",Center,40,19,149:12,18,29,0.621,0,2,0,0.667,4,10,0.4,56,11,3,8,19,2.353,0.647,0.588,1.706,1.118,0.471,1.118,3.294,0,0.235,1.059,0.176,0.118,17
"Antetokounmpo, Thanasis",Forward,14,9,77:26,7,14,0.5,0,0,,0.5,0,0,,8,9,2,3,14,0.737,0.474,0,0.737,0.474,0.158,0.737,0.421,0,0,0.368,0.105,0,19
"Oladipo, Victor",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Jackson, Reggie",Guard,544,196,1133:10,215,468,0.459,66,174,0.379,0.507,48,62,0.774,102,68,29,9,91,11.102,1.388,1.265,9.551,4,0.184,1.857,2.082,1.347,0.98,4.388,0.592,3.551,49
"Hayward, Gordon",Forward,362,116,797:53,139,297,0.468,22,61,0.361,0.496,62,81,0.765,117,51,28,12,46,14.48,2.04,3.24,11.88,4.64,0.48,1.84,4.68,0.88,2.48,5.56,1.12,2.44,25
"Green, Danny",Guard,0,1,18:27,0,2,0,0,1,0,0,0,0,,2,0,1,0,1,0,0,0,1,0.5,0,0.5,1,0,0,0,0.5,0.5,2
"Gordon, Aaron",Forward,583,134,1377:32,231,429,0.538,24,80,0.3,0.593,97,158,0.614,287,57,34,30,80,13.558,1.326,3.674,9.977,3.116,0.698,1.86,6.674,0.558,2.256,5.372,0.791,1.86,43
"Matthews, Wesley",Guard,5,3,35:24,1,7,0.143,1,7,0.143,0.444,2,4,0.5,4,1,0,0,5,1.667,0.333,1.333,2.333,1,0,1.667,1.333,0.333,0.667,0.333,0,2.333,3
"Exum, Dante",Guard,295,91,631:00,116,203,0.571,31,65,0.477,0.616,32,44,0.727,89,27,18,5,51,9.219,0.844,1.375,6.344,2.844,0.156,1.594,2.781,0.969,1,3.625,0.563,2.031,32
"Holiday, Jrue",Guard,27,14,67:31,11,28,0.393,3,9,0.333,0.421,2,2,1,20,1,2,0,4,13.5,0.5,1,14,7,0,2,10,1.5,1,5.5,1,4.5,2
"Adams, Steven",Center,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Johnson, James",Forward,4,5,24:17,2,5,0.4,0,1,0,0.5,0,0,,4,2,4,0,4,0.8,0.4,0,1,1,0,0.8,0.8,0,0,0.4,0.8,0.2,5
"Capela, Clint",Center,53,4,96:27,22,34,0.647,0,0,0,0.647,9,12,0.75,33,6,5,8,13,13.25,1.5,3,8.5,1,2,3.25,8.25,0,2.25,5.5,1.25,0,4
"Tucker, P.J.",Forward,20,8,239:00,6,19,0.316,5,16,0.313,0.333,3,3,1,43,4,9,3,35,1.333,0.267,0.2,1.267,0.533,0.2,2.333,2.867,0.333,0.2,0.4,0.6,1.067,15
"Morris, Marcus",Forward,2,1,28:47,1,4,0.25,0,2,0,0.5,0,0,0.861,5,0,0,0,4,0.5,0,0,1,0.25,0,1,1.25,0,0,0.25,0,0.5,4
"Bogdanovic, Bogdan",Guard,74,7,114:45,27,60,0.45,12,34,0.353,0.577,8,9,0.889,13,7,5,1,9,18.5,1.75,2.25,15,1.75,0.25,2.25,3.25,3,2,6.75,1.25,8.5,4
"Young, Thaddeus",Forward,0,0,00:00,0,0,0.587,0,0,0.2,0.614,0,0,0.444,0,0,0,0,0,4.895,0.421,0.474,3.947,2.263,0.105,1.737,2.947,0.053,0.211,2.316,0.842,0.263,0
"Mills, Patty",Guard,0,0,00:00,0,0,0.4,0,0,0.433,0.333,0,0,,0,0,0,0,0,3.063,0.5,0,2.813,0.813,0.063,1.063,1,0.813,0,1.125,0.438,1.875,0
"Clarkson, Jordan",Guard,100,14,128:51,39,70,0.557,11,27,0.407,0.651,11,11,1,8,6,6,1,4,25,1.5,2.75,17.5,3.5,0.25,1,2,2.75,2.75,9.75,1.5,6.75,4
"Crowder, Jae",Forward,116,21,385:07,40,89,0.449,27,65,0.415,0.542,9,16,0.563,55,8,10,4,27,6.824,0.471,0.941,5.235,1.235,0.235,1.588,3.235,1.588,0.529,2.353,0.588,3.824,17
"Harris, Joe",Guard-Forward,0,0,00:00,0,0,0.361,0,0,0.345,0.429,0,0,0.5,0,0,0,0,0,2.467,0.267,0.133,2.4,0.667,0.133,1.2,0.867,0.667,0.067,0.867,0.2,1.933,0
"McCollum, CJ",Guard,650,161,1088:20,233,501,0.465,115,264,0.436,0.498,69,86,0.802,144,58,39,29,73,19.118,1.706,2.529,14.735,4.735,0.853,2.147,4.235,3.382,2.029,6.853,1.147,7.765,34
"Valanciunas, Jonas",Center,677,112,1260:42,265,466,0.569,30,87,0.345,0.62,117,148,0.791,464,68,23,52,147,14.104,1.417,3.083,9.708,2.333,1.083,3.063,9.667,0.625,2.438,5.521,0.479,1.813,48
"Plumlee, Mason",Forward-Center,98,18,279:56,37,57,0.649,0,0,,0.649,24,39,0.615,90,9,5,6,22,6.125,0.563,2.438,3.563,1.125,0.375,1.375,5.625,0,1.5,2.313,0.313,0,16
"Anderson, Kyle",Forward,297,189,1064:28,115,249,0.462,5,29,0.172,0.5,62,92,0.674,168,62,38,27,73,6.188,1.292,1.917,5.188,3.938,0.563,1.521,3.5,0.104,1.292,2.396,0.792,0.604,48
"Joseph, Cory",Guard,55,41,290:39,20,60,0.333,11,39,0.282,0.429,4,7,0.571,29,12,4,3,25,2.2,0.48,0.28,2.4,1.64,0.12,1,1.16,0.44,0.16,0.8,0.16,1.56,25
"Green, Draymond",Forward,186,122,529:30,65,134,0.485,23,55,0.418,0.532,33,41,0.805,119,47,15,16,63,9.3,2.35,2.05,6.7,6.1,0.8,3.15,5.95,1.15,1.65,3.25,0.75,2.75,20
"James, LeBron",Forward,100,30,117:35,36,60,0.6,14,24,0.583,0.611,14,21,0.667,32,13,4,1,5,25,3.25,5.25,15,7.5,0.25,1.25,8,3.5,3.5,9,1,6,4
"Gibson, Taj",Forward,14,5,96:59,7,14,0.5,0,4,0,0.7,0,0,,18,2,1,6,20,1.273,0.182,0,1.273,0.455,0.545,1.818,1.636,0,0,0.636,0.091,0.364,11
"George, Paul",Forward,990,150,1465:22,346,747,0.463,148,359,0.412,0.51,150,165,0.909,235,90,68,17,125,23.023,2.093,3.837,17.372,3.488,0.395,2.907,5.465,3.442,3.488,8.047,1.581,8.349,43
"Leonard, Kawhi",Forward,1005,156,1444:38,380,722,0.526,93,212,0.439,0.563,152,172,0.884,265,65,72,37,63,23.929,1.548,4.095,17.19,3.714,0.881,1.5,6.31,2.214,3.619,9.048,1.714,5.048,42
"Gallinari, Danilo",Forward,218,38,433:28,67,144,0.465,26,70,0.371,0.554,58,69,0.841,83,12,7,3,29,7.517,0.414,2.379,4.966,1.31,0.103,1,2.862,0.897,2,2.31,0.241,2.414,29
"Randle, Julius",Forward-Center,1102,229,1630:05,395,836,0.472,76,244,0.311,0.539,236,302,0.781,423,159,25,12,125,23.957,3.457,6.565,18.174,4.978,0.261,2.717,9.196,1.652,5.13,8.587,0.543,5.304,46
"Curry, Stephen",Guard,1129,205,1374:40,362,796,0.455,195,477,0.409,0.524,210,226,0.929,176,125,34,16,77,27.537,3.049,5.512,19.415,5,0.39,1.878,4.293,4.756,5.122,8.829,0.829,11.634,41
"Bogdanovic, Bojan",Forward,0,0,00:00,0,0,0.468,0,0,0.414,0.517,0,0,0.765,0,0,0,0,0,20.308,2.192,3.769,15.385,2.538,0.115,2.077,3.385,3.038,2.885,7.192,0.885,7.346,0
"Zeller, Cody",Forward-Center,62,33,274:30,20,51,0.392,1,3,0.333,0.396,21,35,0.6,90,11,5,4,38,1.879,0.333,1.061,1.545,1,0.121,1.152,2.727,0.03,0.636,0.606,0.152,0.091,33
