WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
30,Eastbourne,AEGON International,18/06/14,Premier,Outdoor,Grass,2nd Round,3,Watson H.,Pennetta F.,70,12,790,3324,6,7,6,4,6,2,2,1,Completed,2.5,1.5,2.5,1.5,2.75,1.4,2.75,1.51,2.63,1.5,2.75,1.53,2.6,1.48
30,Eastbourne,AEGON International,18/06/14,Premier,Outdoor,Grass,2nd Round,3,Keys M.,Vesnina E.,47,32,1165,1520,7,5,7,6,,,2,0,Completed,2,1.66,2.05,1.75,2.1,1.67,2.07,1.85,2,1.8,2.1,1.85,2.01,1.76
30,Eastbourne,AEGON International,18/06/14,Premier,Outdoor,Grass,2nd Round,3,Kvitova P.,Lepchenko V.,6,57,4570,932,6,1,6,4,,,2,0,Completed,1.2,4.33,1.17,4.75,1.14,5,1.24,4.58,1.2,4.5,1.24,5.5,1.19,4.56
30,Eastbourne,AEGON International,19/06/14,Premier,Outdoor,Grass,Quarterfinals,3,Kerber A.,Makarova E.,9,22,3830,2130,6,2,6,1,,,2,0,Completed,1.83,1.83,1.85,1.9,1.83,1.83,2.04,1.88,1.91,1.91,2.04,2,1.88,1.88
30,Eastbourne,AEGON International,19/06/14,Premier,Outdoor,Grass,Quarterfinals,3,Wozniacki C.,Giorgi C.,16,42,2700,1214,6,7,6,4,6,2,2,1,Completed,1.4,2.75,1.48,2.6,1.44,2.62,1.45,3.01,1.44,2.75,1.5,3.01,1.43,2.75
30,Eastbourne,AEGON International,19/06/14,Premier,Outdoor,Grass,Quarterfinals,3,Watson H.,Kvitova P.,70,6,790,4570,,,,,,,,,Walkover,4,1.22,3.75,1.25,3.75,1.25,3.97,1.3,4,1.22,4.1,1.3,3.79,1.25
30,Eastbourne,AEGON International,19/06/14,Premier,Outdoor,Grass,Quarterfinals,3,Keys M.,Davis L.,47,58,1165,920,6,2,6,1,,,2,0,Completed,1.57,2.25,1.65,2.2,1.62,2.2,1.65,2.43,1.62,2.25,1.68,2.43,1.62,2.25
30,Eastbourne,AEGON International,20/06/14,Premier,Outdoor,Grass,Semifinals,3,Kerber A.,Wozniacki C.,9,16,3830,2700,3,6,7,6,6,3,2,1,Completed,1.72,2.1,1.7,2.1,1.67,2.2,1.8,2.15,1.67,2.2,1.8,2.25,1.71,2.12
30,Eastbourne,AEGON International,20/06/14,Premier,Outdoor,Grass,Semifinals,3,Keys M.,Watson H.,47,70,1165,790,6,3,6,1,,,2,0,Completed,1.44,2.75,1.5,2.5,1.5,2.62,1.5,2.82,1.5,2.63,1.55,2.82,1.47,2.63
30,Eastbourne,AEGON International,21/06/14,Premier,Outdoor,Grass,The Final,3,Keys M.,Kerber A.,47,9,1165,3830,6,3,3,6,7,5,2,1,Completed,2.75,1.44,2.7,1.45,2.62,1.5,2.8,1.51,2.75,1.44,2.8,1.53,2.64,1.47
