WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
2,Brisbane,Brisbane International,03/01/12,International,Outdoor,Hard,2nd Round,3,Clijsters K.,Ivanovic A.,13,22,3161,2260,6,1,1,6,6,3,2,1,Completed,1.36,3,1.4,2.8,1.36,3,1.4,3.24,1.33,3.25,1.5,3.8,1.37,2.96
2,Brisbane,Brisbane International,04/01/12,International,Outdoor,Hard,2nd Round,3,Kanepi K.,Pavlyuchenkova A.,34,16,1580,2865,6,0,6,3,,,2,0,Completed,2.1,1.66,2.25,1.6,2.1,1.67,2.3,1.69,2.2,1.62,2.45,1.9,2.21,1.63
2,Brisbane,Brisbane International,04/01/12,International,Outdoor,Hard,2nd Round,3,Benesova I.,Stosur S.,54,6,1108,5585,6,4,6,2,,,2,0,Completed,6.5,1.11,6,1.11,6.5,1.1,8.6,1.1,7,1.1,8.6,1.13,6.29,1.1
2,Brisbane,Brisbane International,04/01/12,International,Outdoor,Hard,2nd Round,3,Jankovic J.,Bratchikova N.,14,154,3115,422,6,3,6,2,,,2,0,Completed,1.08,8,1.1,6.5,1.1,6.5,1.1,8.6,1.08,6.5,1.11,9,1.08,7.18
2,Brisbane,Brisbane International,04/01/12,International,Outdoor,Hard,2nd Round,3,Williams S.,Jovanovski B.,12,76,3180,870,6,2,6,4,,,2,0,Completed,1.05,11,1.05,8.5,1.04,9,1.05,13,1.03,11,1.07,13,1.04,9.93
2,Brisbane,Brisbane International,04/01/12,International,Outdoor,Hard,Quarterfinals,3,Hantuchova D.,Williams S.,24,12,2095,3180,,,,,,,,,Walkover,4.5,1.18,,,,,5.77,1.18,,,5.77,1.2,4.6,1.17
2,Brisbane,Brisbane International,05/01/12,International,Outdoor,Hard,Quarterfinals,3,Schiavone F.,Jankovic J.,11,14,3900,3115,5,7,7,6,6,3,2,1,Completed,2.1,1.66,2.35,1.55,2.38,1.57,2.45,1.64,2.25,1.62,2.45,1.66,2.29,1.59
2,Brisbane,Brisbane International,05/01/12,International,Outdoor,Hard,Quarterfinals,3,Kanepi K.,Petkovic A.,34,10,1580,4580,6,1,7,6,,,2,0,Completed,2,1.72,1.9,1.85,2,1.8,2.12,1.82,2.1,1.73,2.21,1.97,1.98,1.79
2,Brisbane,Brisbane International,05/01/12,International,Outdoor,Hard,Quarterfinals,3,Clijsters K.,Benesova I.,13,54,3161,1108,6,3,6,2,,,2,0,Completed,1.11,6.5,1.11,6,1.14,5.5,1.17,6.16,1.08,7.5,1.17,7.5,1.11,6
2,Brisbane,Brisbane International,06/01/12,International,Outdoor,Hard,Semifinals,3,Hantuchova D.,Clijsters K.,24,13,2095,3161,6,7,3,1,,,0,1,Retired,5.5,1.14,4.75,1.16,5,1.17,6.27,1.16,4.5,1.17,7,1.24,5.51,1.13
2,Brisbane,Brisbane International,06/01/12,International,Outdoor,Hard,Semifinals,3,Kanepi K.,Schiavone F.,34,11,1580,3900,6,3,6,0,,,2,0,Completed,1.57,2.25,1.6,2.25,1.62,2.25,1.65,2.42,1.67,2.2,1.67,2.45,1.62,2.22
2,Brisbane,Brisbane International,07/01/12,International,Outdoor,Hard,The Final,3,Kanepi K.,Hantuchova D.,34,24,1580,2095,6,2,6,1,,,2,0,Completed,1.4,2.87,1.4,2.8,1.4,2.75,1.45,3.05,1.4,2.88,1.5,3.05,1.43,2.72
