ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
45,Los Angeles,Mercedes-Benz Cup,28/07/03,International,Outdoor,Hard,1st Round,3,Carlsen K.,Reynolds B.,76,589,6,2,4,6,7,6,,,,,2,1,Completed,1.36,2.87,1.28,3.5,1.25,3,1.36,2.87,,
45,Los Angeles,Mercedes-Benz Cup,28/07/03,International,Outdoor,Hard,1st Round,3,Taino E.,Lee H.T.,141,63,3,6,7,6,6,2,,,,,2,1,Completed,2.5,1.5,2.8,1.4,2.5,1.35,2.75,1.4,,
45,Los Angeles,Mercedes-Benz Cup,28/07/03,International,Outdoor,Hard,1st Round,3,Vacek J.,Kim K.,150,228,2,6,6,1,6,4,,,,,2,1,Completed,1.57,2.25,1.55,2.35,1.5,2.1,1.5,2.5,,
45,Los Angeles,Mercedes-Benz Cup,29/07/03,International,Outdoor,Hard,1st Round,3,Bogomolov Jr. A.,Mello R.,122,139,6,3,6,2,,,,,,,2,0,Completed,1.4,2.75,1.33,3.15,1.35,2.5,1.25,3.5,,
45,Los Angeles,Mercedes-Benz Cup,29/07/03,International,Outdoor,Hard,1st Round,3,Ferreira W.,Yim R.,25,1288,6,4,6,4,,,,,,,2,0,Completed,1.14,5,1.18,4.5,1.1,4.5,,,,
45,Los Angeles,Mercedes-Benz Cup,29/07/03,International,Outdoor,Hard,1st Round,3,Joyce M.,Gambill J.M.,302,48,7,6,2,6,7,6,,,,,2,1,Completed,5,1.14,6.25,1.1,4.5,1.1,6,1.1,,
45,Los Angeles,Mercedes-Benz Cup,29/07/03,International,Outdoor,Hard,1st Round,3,Schalken S.,Golovanov D.,12,395,6,4,6,4,,,,,,,2,0,Completed,1.1,6.5,1.08,7,1.1,4.5,,,,
45,Los Angeles,Mercedes-Benz Cup,30/07/03,International,Outdoor,Hard,1st Round,3,Amritraj P.,Safin M.,351,21,5,3,,,,,,,,,0,0,Retired,6,1.111,5,1.15,3.8,1.15,5.5,1.125,,
45,Los Angeles,Mercedes-Benz Cup,30/07/03,International,Outdoor,Hard,1st Round,3,Chang M.,Fleishman Z.,168,252,6,1,6,1,,,,,,,2,0,Completed,1.833,1.833,2,1.75,1.65,1.85,,,,
45,Los Angeles,Mercedes-Benz Cup,30/07/03,International,Outdoor,Hard,1st Round,3,Ginepri R.,Ilie A.,46,394,6,1,6,1,,,,,,,2,0,Completed,1.111,6,1.13,5.35,1.15,3.8,,,,
45,Los Angeles,Mercedes-Benz Cup,30/07/03,International,Outdoor,Hard,1st Round,3,Grosjean S.,Malisse X.,9,64,4,6,7,5,6,3,,,,,2,1,Completed,1.444,2.625,1.45,2.65,1.45,2.2,1.4,2.75,,
