ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,1st Round,3,Novak J.,Martin A.,12,65,6,2,6,4,,,,,,,2,0,Completed,1.286,3.25,1.33,3.15,1.32,3.1,1.25,3,,
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,1st Round,3,Pavel A.,Costa A.,32,7,7,6,6,1,,,,,,,2,0,Completed,1.833,1.833,1.85,1.9,1.73,2.02,1.7,1.8,,
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,1st Round,3,Robredo T.,Nieminen J.,36,35,6,3,6,3,,,,,,,2,0,Completed,1.833,1.833,1.9,1.85,1.86,1.92,1.6,1.9,,
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,1st Round,3,Schuettler R.,Hrbaty D.,31,60,6,4,6,3,,,,,,,2,0,Completed,1.615,2.2,1.53,2.4,1.62,2.18,1.65,1.85,,
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,1st Round,3,Stepanek R.,Koubek S.,74,39,6,3,6,7,7,6,,,,,2,1,Completed,2.375,1.533,2.35,1.55,2.2,1.53,2.3,1.4,,
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,1st Round,3,Ulihrach B.,Kratochvil M.,73,55,6,3,6,7,7,6,,,,,2,1,Completed,1.615,2.2,1.68,2.1,1.64,2.2,1.6,1.9
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,2nd Round,3,Blake J.,Kiefer N.,27,85,6,4,7,6,,,,,,,2,0,Completed,1.667,2.1,1.65,2.15,1.79,2,1.65,1.85
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,2nd Round,3,Davydenko N.,Stepanek R.,80,74,6,1,5,7,7,5,,,,,2,1,Completed,1.833,1.833,1.85,1.9,1.65,2,1.55,2
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,2nd Round,3,Federer R.,Robredo T.,13,36,6,2,6,7,6,4,,,,,2,1,Completed,1.286,3.5,1.33,3.15,1.32,2.9,1.45,2.2
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,2nd Round,3,Melzer J.,Haas T.,95,2,6,4,6,3,,,,,,,2,0,Completed,3.75,1.25,4,1.22,3.85,1.26,3.3,1.2
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,2nd Round,3,Moya C.,Calleri A.,9,54,6,3,2,6,7,6,,,,,2,1,Completed,1.25,3.5,1.36,3,1.27,3.2,1.25,3
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,2nd Round,3,Novak J.,Coria G.,12,53,7,5,6,2,,,,,,,2,0,Completed,1.5,2.5,1.53,2.4,1.45,2.44,1.45,2.2
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,2nd Round,3,Pavel A.,Schuettler R.,32,31,6,0,6,4,,,,,,,2,0,Completed,1.909,1.8,1.8,1.95,1.73,1.9,1.7,1.8
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,2nd Round,3,Ulihrach B.,Ferrero J.C.,73,6,6,4,6,2,,,,,,,2,0,Completed,3.5,1.286,3.3,1.3,2.7,1.37,2.5,1.35
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,Quarterfinals,3,Federer R.,Ulihrach B.,13,73,6,3,6,3,,,,,,,2,0,Completed,1.333,3.25,1.35,3.05,1.33,3.5,1.3,2.7
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,Quarterfinals,3,Moya C.,Blake J.,9,27,7,6,3,6,6,1,,,,,2,1,Completed,1.727,2,1.75,2,1.81,1.93,1.7,1.8
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,Quarterfinals,3,Novak J.,Melzer J.,12,95,6,4,6,2,,,,,,,2,0,Completed,1.4,2.75,1.33,3.15,1.35,2.85,1.35,2.5
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,Quarterfinals,3,Pavel A.,Davydenko N.,32,80,6,3,7,6,,,,,,,2,0,Completed,1.364,3,1.36,3,1.36,3,1.3,2.7
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,Semifinals,3,Federer R.,Moya C.,13,9,6,2,6,3,,,,,,,2,0,Completed,1.667,2.1,1.68,2.1,1.7,2.2,1.55,2
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,Semifinals,3,Novak J.,Pavel A.,12,32,7,6,7,6,,,,,,,2,0,Completed,1.571,2.25,1.68,2.1,1.71,2.01,1.6,1.9
60,Vienna,CA Tennis Trophy,07/10/02,International Gold,Indoor,Hard,The Final,5,Federer R.,Novak J.,13,12,6,4,6,1,3,6,6,4,,,3,1,Completed,1.5,2.5,1.55,2.4,1.57,2.3,1.7,1.8
