ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Sell M.,Escude N.,167,34,0,6,7,6,6,1,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Balcells J.,Squillari F.,211,49,7,5,7,5,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Gaudio G.,Sargsian S.,72,52,7,5,4,6,7,5,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Rosset M.,Vicente F.,46,53,6,4,6,3,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,van Lottum J.,Woodruff C.,66,56,6,1,6,3,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Martin A.,Berasategui A.,48,59,6,3,6,1,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Ferrero J.C.,Federer R.,45,61,6,4,6,4,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Haas T.,Tarango J.,11,63,7,5,4,6,7,5,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Schalken S.,Ivanisevic G.,37,68,6,1,4,6,6,4,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Chang M.,Black B.,50,70,7,5,4,6,7,6,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Novak J.,Bjorkman J.,38,76,7,5,6,4,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Fromberg R.,57,80,4,6,6,3,6,4,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Behrend T.,Hantschk M.,115,95,6,2,6,2,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Norman M.,Costa F.,14,149,7,5,6,4,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Gustafsson M.,Nielsen M.,60,246,6,4,6,4,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,1st Round,3,Johansson T.,Weiner G.,43,334,7,6,6,1,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,2nd Round,3,Balcells J.,Haas T.,211,11,6,4,7,5,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,2nd Round,3,Gaudio G.,Novak J.,72,38,6,4,6,7,7,6,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,2nd Round,3,Gustafsson M.,Johansson T.,60,43,6,2,6,3,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Martin A.,45,48,6,7,6,2,6,4,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,2nd Round,3,Norman M.,Gambill J.M.,14,57,6,3,6,3,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,2nd Round,3,Rosset M.,van Lottum J.,46,66,6,3,6,2,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,2nd Round,3,Schalken S.,Behrend T.,37,115,6,4,6,1,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,2nd Round,3,Chang M.,Sell M.,50,167,4,6,6,4,7,6,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,Quarterfinals,3,Gaudio G.,Schalken S.,72,37,6,1,6,2,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,Quarterfinals,3,Balcells J.,Ferrero J.C.,211,45,4,6,6,3,6,1,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,Quarterfinals,3,Norman M.,Rosset M.,14,46,6,2,6,2,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,Quarterfinals,3,Chang M.,Gustafsson M.,50,60,7,5,3,6,1,0,,,,,1,1,Retired
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,Semifinals,3,Norman M.,Gaudio G.,14,72,6,4,7,5,,,,,,,2,0,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,Semifinals,3,Chang M.,Balcells J.,50,211,6,3,3,6,6,2,,,,,2,1,Completed
4,Auckland,Heineken Open,10/01/00,International,Outdoor,Hard,The Final,3,Norman M.,Chang M.,14,50,3,6,6,3,7,5,,,,,2,1,Completed
