iter	Accuracy	MultiClass
0	0.6689655172	1.093859587
1	0.7931034483	1.086550871
2	0.7862068966	1.082017826
3	0.8482758621	1.075299276
4	0.8827586207	1.068449024
5	0.875862069	1.063827619
6	0.8689655172	1.056948166
7	0.8827586207	1.050550906
8	0.8620689655	1.044033148
9	0.8551724138	1.037637154
10	0.8689655172	1.032865339
11	0.8689655172	1.028156052
12	0.8689655172	1.023493796
13	0.875862069	1.016084332
14	0.8827586207	1.011683413
15	0.8896551724	1.006231859
16	0.8965517241	1.000946899
17	0.9103448276	0.9963132381
18	0.8965517241	0.9921335207
19	0.8965517241	0.9882081455
20	0.9034482759	0.98389694
21	0.9103448276	0.9800364684
22	0.8965517241	0.9750094197
23	0.8965517241	0.9717403844
24	0.9034482759	0.9661705695
25	0.8965517241	0.9618624267
26	0.8896551724	0.9581183602
27	0.8965517241	0.9516600167
28	0.9103448276	0.9474336521
29	0.9034482759	0.942845949
30	0.9034482759	0.938157462
31	0.9034482759	0.933726344
32	0.9034482759	0.9298451471
33	0.9034482759	0.9254144876
34	0.9103448276	0.9206834892
35	0.9103448276	0.9150734496
36	0.9103448276	0.910128799
37	0.9103448276	0.9054567561
38	0.9103448276	0.9012954813
39	0.9034482759	0.8975276702
40	0.9034482759	0.8931659446
41	0.9103448276	0.8887514523
42	0.9172413793	0.8854874369
43	0.924137931	0.8814937051
44	0.924137931	0.8778268159
45	0.924137931	0.8741909537
46	0.9103448276	0.8705503791
47	0.9103448276	0.8666831073
48	0.9103448276	0.8630947863
49	0.9103448276	0.8594361218
50	0.9103448276	0.8561131313
51	0.9103448276	0.8525874056
52	0.9103448276	0.8484529886
53	0.9103448276	0.8448177409
54	0.9103448276	0.8414630552
55	0.9172413793	0.8377494016
56	0.9172413793	0.833384625
57	0.9172413793	0.8297938152
58	0.9103448276	0.825821228
59	0.9034482759	0.8219976268
60	0.9103448276	0.8184408386
61	0.9034482759	0.8153861283
62	0.9034482759	0.8120426447
63	0.924137931	0.8074885587
64	0.9172413793	0.8046708037
65	0.9172413793	0.8017109619
66	0.9172413793	0.798613987
67	0.9172413793	0.7964563992
68	0.9103448276	0.7925173672
69	0.9034482759	0.7885505875
70	0.9034482759	0.7861454657
71	0.9034482759	0.7828930024
72	0.9034482759	0.7806274358
73	0.9034482759	0.7774748522
74	0.9103448276	0.7748438934
75	0.9103448276	0.7718121512
76	0.9103448276	0.7692514277
77	0.9103448276	0.7667330447
78	0.9103448276	0.763455064
79	0.9103448276	0.7603742354
80	0.9103448276	0.7563981795
81	0.9103448276	0.7529829619
82	0.9103448276	0.7499360725
83	0.9103448276	0.7470526967
84	0.9172413793	0.7442251942
85	0.9103448276	0.741570732
86	0.9103448276	0.7392193855
87	0.9103448276	0.7367166296
88	0.9103448276	0.7346384605
89	0.9103448276	0.7323612357
90	0.9172413793	0.7295755233
91	0.9172413793	0.7267142169
92	0.9172413793	0.724047449
93	0.9172413793	0.7208447209
94	0.924137931	0.7186731639
95	0.924137931	0.7156795309
96	0.924137931	0.7132301669
97	0.924137931	0.7102130814
98	0.924137931	0.7081230783
99	0.924137931	0.7060988489
100	0.924137931	0.7032682437
101	0.9172413793	0.7008389763
102	0.9172413793	0.6974100722
103	0.9172413793	0.6950778416
104	0.924137931	0.6924755308
105	0.9172413793	0.688624261
106	0.924137931	0.6863146138
107	0.9172413793	0.6837728122
108	0.9172413793	0.6810299593
109	0.9172413793	0.6786871675
110	0.9172413793	0.6763441391
111	0.924137931	0.6741716381
112	0.924137931	0.6713285046
113	0.9310344828	0.6693147786
114	0.9310344828	0.66724864
115	0.9310344828	0.6655615155
116	0.9310344828	0.6633766027
117	0.9310344828	0.6612784832
118	0.9310344828	0.6583576621
119	0.9310344828	0.6561283304
120	0.9310344828	0.6538299602
121	0.9310344828	0.6511130672
