ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,,
37,Bastad,Swedish Open,04/07/05,International,Outdoor,Clay,1st Round,3,Robredo T.,Tabara M.,20,112,1425,381,7,5,6,0,,,,,,,2,0,Completed,1.1,6,1.08,7.25,1.1,6.75,1.1,5,1.111,8.75
37,Bastad,Swedish Open,04/07/05,International,Outdoor,Clay,1st Round,3,Vinciguerra A.,Ryderstedt M.,917,132,9,326,6,3,6,1,,,,,,,2,0,Completed,2.1,1.66,,,1.9,1.85,2.5,1.4,2.1,1.833
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Youzhny M.,Haehnel J.,27,109,1200,391,6,1,6,1,,,,,,,2,0,Completed,1.19,4,1.25,3.85,1.2,4.25,1.25,3.2,1.258,4.48
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Ferrero J.C.,Dlouhy L.,31,136,1150,315,6,4,6,1,,,,,,,2,0,Completed,1.07,7,1.06,8.5,1.05,8.5,1.1,5,,
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Berdych T.,Kim K.,42,71,811,541,6,2,6,3,,,,,,,2,0,Completed,1.19,4,1.25,3.85,1.25,3.9,1.25,3.2,1.312,3.91
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Almagro N.,Acasuso J.,88,44,469,781,6,4,6,1,,,,,,,2,0,Completed,2.75,1.39,2.45,1.53,2.6,1.46,2.5,1.4,2.89,1.495
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Garcia-Lopez G.,Lapentti N.,73,98,536,410,7,5,6,1,,,,,,,2,0,Completed,1.61,2.2,1.77,2,1.7,2.1,1.6,2,1.68,2.37
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Nadal R.,Monaco J.,3,66,3635,587,6,1,6,1,,,,,,,2,0,Completed,1.02,11,1.05,9,1.05,8.5,1.05,6,1.037,21
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Zabaleta M.,Sluiter R.,63,119,595,364,2,6,6,1,6,4,,,,,2,1,Completed,1.33,3,1.35,3.1,1.35,3.1,1.4,2.5,1.332,3.71
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Martin A.,Calleri A.,50,96,712,415,6,1,6,1,,,,,,,2,0,Completed,1.72,2,1.77,2,1.65,2.2,1.8,1.8,1.787,2.17
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Serra F.,Nieminen J.,97,68,415,567,7,5,6,1,,,,,,,2,0,Completed,2.87,1.36,2.85,1.4,2.46,1.51,2.5,1.4,2.92,1.472
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Moya C.,Calatrava A.,28,130,1180,330,7,5,6,2,,,,,,,2,0,Completed,1.05,8,1.1,6.5,1.1,6.75,1.1,5,1.115,8.77
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Monfils G.,Bjorkman J.,67,104,576,403,6,2,6,2,,,,,,,2,0,Completed,1.39,2.75,1.33,3.2,1.42,2.75,1.3,2.9,1.442,3.06
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Soderling R.,Mayer F.,38,85,925,475,6,2,6,4,,,,,,,2,0,Completed,1.66,2.1,1.67,2.15,1.6,2.3,1.6,2,1.645,2.45
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Hernandez O.,Fraile G.,80,259,488,141,3,6,6,2,6,2,,,,,2,1,Completed,1.44,2.62,,,1.51,2.46,1.4,2.5,1.435,3.1
37,Bastad,Swedish Open,05/07/05,International,Outdoor,Clay,1st Round,3,Vanek J.,Johansson J.,105,14,402,1545,6,7,7,6,6,2,,,,,2,1,Completed,1.8,1.9,1.88,1.88,1.81,1.93,2.1,1.55,2.04,1.877
37,Bastad,Swedish Open,06/07/05,International,Outdoor,Clay,2nd Round,3,Berdych T.,Almagro N.,42,88,811,469,4,6,6,3,6,4,,,,,2,1,Completed,1.8,1.9,1.83,1.93,2.05,1.75,1.8,1.8,2.06,1.862
37,Bastad,Swedish Open,06/07/05,International,Outdoor,Clay,2nd Round,3,Zabaleta M.,Moya C.,63,28,595,1180,7,6,6,2,,,,,,,2,0,Completed,3.5,1.28,3.4,1.3,2.92,1.37,3.2,1.25,3.48,1.366
37,Bastad,Swedish Open,06/07/05,International,Outdoor,Clay,2nd Round,3,Youzhny M.,Vinciguerra A.,27,917,1200,9,4,6,7,6,7,5,,,,,2,1,Completed,1.25,3.75,1.28,3.55,1.35,3.1,1.3,2.9,1.345,3.65
37,Bastad,Swedish Open,06/07/05,International,Outdoor,Clay,2nd Round,3,Robredo T.,Monfils G.,20,67,1425,576,6,4,4,2,,,,,,,1,0,Retired,1.33,3.25,1.3,3.4,1.35,3,1.3,2.9,1.369,3.51
37,Bastad,Swedish Open,07/07/05,International,Outdoor,Clay,2nd Round,3,Ferrero J.C.,Garcia-Lopez G.,31,73,1150,536,6,3,6,4,,,,,,,2,0,Completed,1.14,5,1.17,4.85,1.2,4.25,1.2,3.6,1.212,5.31
37,Bastad,Swedish Open,07/07/05,International,Outdoor,Clay,2nd Round,3,Nadal R.,Martin A.,3,50,3635,712,6,2,6,4,,,,,,,2,0,Completed,1.02,11,1.04,10,1.04,9.35,1.05,6,1.04,20
37,Bastad,Swedish Open,07/07/05,International,Outdoor,Clay,2nd Round,3,Hernandez O.,Soderling R.,80,38,488,925,1,6,6,3,6,2,,,,,2,1,Completed,3,1.36,3,1.37,3.15,1.33,2.2,1.5,3.34,1.394
37,Bastad,Swedish Open,07/07/05,International,Outdoor,Clay,2nd Round,3,Vanek J.,Serra F.,105,97,402,415,6,4,1,6,6,3,,,,,2,1,Completed,2.75,1.39,3,1.37,2.75,1.42,2.5,1.4,3.16,1.424
37,Bastad,Swedish Open,08/07/05,International,Outdoor,Clay,Quarterfinals,3,Robredo T.,Youzhny M.,20,27,1425,1200,3,6,6,4,6,3,,,,,2,1,Completed,1.3,3.39,1.37,3,1.4,2.85,1.4,2.5,1.376,3.46
37,Bastad,Swedish Open,08/07/05,International,Outdoor,Clay,Quarterfinals,3,Nadal R.,Ferrero J.C.,3,31,3635,1150,6,3,6,3,,,,,,,2,0,Completed,1.11,6,1.16,5.25,1.15,5.2,1.17,3.8,1.167,6.4
37,Bastad,Swedish Open,08/07/05,International,Outdoor,Clay,Quarterfinals,3,Vanek J.,Hernandez O.,105,80,402,488,6,4,6,2,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,2.1,1.7,2,1.6,2.17,1.787
37,Bastad,Swedish Open,08/07/05,International,Outdoor,Clay,Quarterfinals,3,Berdych T.,Zabaleta M.,42,63,811,595,6,3,6,2,,,,,,,2,0,Completed,2.25,1.57,2.2,1.65,2.1,1.65,2,1.6,2.35,1.69
37,Bastad,Swedish Open,09/07/05,International,Outdoor,Clay,Semifinals,3,Nadal R.,Robredo T.,3,20,3635,1425,6,3,6,3,,,,,,,2,0,Completed,1.06,8,1.07,8.5,1.07,7.19,1.07,5.5,1.069,13
37,Bastad,Swedish Open,09/07/05,International,Outdoor,Clay,Semifinals,3,Berdych T.,Vanek J.,42,105,811,402,7,5,6,1,,,,,,,2,0,Completed,1.33,3.25,1.3,3.4,1.28,3.46,1.35,2.7,1.328,3.75
37,Bastad,Swedish Open,10/07/05,International,Outdoor,Clay,The Final,3,Nadal R.,Berdych T.,3,42,3635,811,2,6,6,2,6,4,,,,,2,1,Completed,1.02,11,1.03,12,1.05,8.5,1.05,6,1.042,20.75
