Rank,Player Name,Player ID,Games Played,Total Tackles,Assists,Defensive sacks,Defensive Sack Yards,Fumbles Forced,Passes Defensed,Def. Interceptions,Def. Inceptions Touchdowns,Tackles for Loss,Defender Blitz,Quarterback Hits,Defensive Knockdowns,Defensive Hurries,Player Individual Pressures,Defensive Snaps (player totals)
1,Bobby Wagner,6396549532e0836ab49dbc1b,17,183,87,3.5,24,0,61,3,0,0,0,11,44,6,2,1,7,1168
2,Zaire Franklin,6393e0fdc7099552f747ba41,16,179,72,1.5,7.5,2,84,6,0,0,0,3,23,3,1,0,3,1089
3,Alex Singleton,6396390074bd36db118b419f,17,175,71,2,21,0,85,4,0,0,0,6,52,6,3,1,6,1086
4,Foyesade Oluokun,6526d36d2fa16ce9e6160e58,17,173,62,2.5,13,1,82,6,1,1,0,8,49,10,6,5,14,1107
5,Azeez Al-Shaair,6393dfe44e48fdec9c1990ee,17,163,79,2,2,0,49,4,0,0,0,9,42,6,4,1,7,1098
6,Roquan Smith,6393e0c76dadddc8382441aa,16,158,74,1.5,12,1,82,8,1,0,0,5,42,5,4,1,7,1058
7,T.J. Edwards,6393dfedc7099552f7474a57,17,153,64,2.5,4,1,87,7,3,0,0,8,68,8,6,2,11,1037
8,C.J. Mosley,6396536932e0836ab49d7ebe,17,152,71,0.5,1.5,2,65,7,1,0,0,5,29,2,1,0,2,1123
9,Bobby Okereke,6393e017c7099552f7476071,17,149,57,2.5,23,4,42,10,2,0,0,11,69,6,4,2,9,1126
10,Robert Spillane,6393e10d73e62c17f2618a23,17,148,66,3.5,15,1,55,4,3,0,0,7,36,4,3,1,8,1099
11,Ernest Jones,63940c8873120d7854cd4644,15,145,71,4.5,19.5,0,48,6,0,0,0,14,58,6,2,7,14,927
12,Terrel Bernard,6391052f219d1455f3dff594,17,143,59,6.5,32,0,56,5,3,0,0,10,50,9,2,5,14,992
13,Quincy Williams,6393e0426dadddc838241c8c,17,139,44,2,10,2,88,10,1,0,0,15,29,4,2,1,5,1089
14,Camryn Bynum,6393ddd873e62c17f260f1e0,17,137,43,0.5,2,3,92,9,2,0,0,2,5,1,0,0,1,1117
15,Logan Wilson,6393deaa4e48fdec9c196acd,17,135,57,1,0,3,73,9,4,0,0,5,38,4,2,0,4,1065
16,Lavonte David,6396546ded3d6c80d4f52432,15,134,48,4.5,43.5,1,85,5,0,0,0,17,51,5,0,4,9,949
17,Patrick Queen,6393dea273e62c17f260fad3,17,133,49,3.5,35,1,67,6,1,0,0,9,63,6,2,4,10,1112
18t,Jessie Bates III,6393e0fb4e48fdec9c19e91e,17,132,43,0,0,3,51,11,6,1,0,3,13,1,1,1,2,1131
18t,Fred Warner,6393e11373e62c17f2618e6a,17,132,50,2.5,16.5,4,76,11,4,0,0,6,43,5,4,1,8,974
20,Alex Anzalone,6393e1564e48fdec9c1a037f,16,129,44,3,32,0,80,6,0,0,0,7,75,12,9,5,17,1001
21,Devin Lloyd,6391055d219d1455f3e00c10,15,127,52,0,0,0,72,7,0,0,0,2,34,1,1,1,2,964
22t,Frankie Luvu,6393e1084e48fdec9c19ee5c,17,125,59,5.5,47,2,56,5,0,0,0,10,46,11,5,2,13,988
22t,Derwin James Jr.,6393e0fbc7099552f747b992,16,125,39,2,11,0,64,7,1,0,0,5,36,4,2,3,7,1001
24t,Kaden Elliss,6393e0266dadddc838240cb0,17,122,40,4,36,0,54,3,0,0,0,11,39,6,2,3,9,1080
24t,Antoine Winfield Jr.,6393dec86dadddc83823c9af,17,122,46,6,48,6,48,12,3,0,0,6,30,8,2,4,12,1092
24t,Kevin Byard,639638a8071a18e16babe460,16,122,42,0,0,0,63,3,1,0,0,0,10,0,0,0,0,1110
27t,Demario Davis,63965478215be9feb896bf5c,17,121,47,6.5,48.5,1,46,4,0,0,0,12,39,11,5,3,15,1069
27t,Cody Barton,6393e012c7099552f7475cea,13,121,54,0,0,0,47,1,1,0,0,3,27,2,0,4,4,841
29,Dre Greenlaw,6393dfd1c7099552f74736e8,15,120,45,1.5,4.5,0,82,4,0,0,0,5,39,4,2,2,6,845
30t,Quay Walker,63910517219d1455f3dfe847,14,118,59,2.5,16.5,0,58,3,1,1,0,7,59,5,2,2,7,841
30t,Germaine Pratt,6393e00ac7099552f74756b9,17,118,55,2,11.5,2,63,3,2,0,0,7,25,3,0,2,5,973
32,Eric Kendricks,6396395740970877a4314703,15,117,38,3.5,19.5,1,59,6,0,0,0,7,53,7,2,1,7,847
33,Xavier McKinney,6393dea4ffee7578cffb43a0,17,116,38,0.5,3,1,65,11,3,0,0,2,42,1,0,2,3,1126
34,Kamren Curl,6393dea673e62c17f260fc2c,16,115,41,1,0,1,46,5,0,0,0,3,17,3,2,1,4,1082
35,Ja'Whaun Bentley,6393e0e64e48fdec9c19d8d4,16,114,59,4.5,13.5,1,44,3,0,0,0,5,77,12,5,6,16,978
36,Tremaine Edmunds,6393e1014e48fdec9c19eab4,15,113,44,0,0,1,65,7,4,1,0,5,34,0,0,0,0,872
37,Josh Metellus,6393deca6dadddc83823ca94,17,112,38,2.5,17,4,79,5,1,0,0,7,91,10,7,14,24,1060
38,Jordyn Brooks,6393debf4e48fdec9c196e23,16,111,49,4.5,19,1,52,4,1,1,0,8,22,5,2,2,9,801
39t,Dax Hill,639105394241d1eb7fab952f,17,110,38,1.5,12,0,50,11,2,0,0,6,26,5,3,2,7,1086
39t,Julian Love,6393e0214e48fdec9c19a8ce,17,110,38,0,0,2,69,10,4,0,0,1,4,0,1,1,2,936
39t,Nate Landman,6391055e219d1455f3e00d05,16,110,44,2,18,3,42,3,1,0,0,7,17,4,2,1,5,806
39t,David Long Jr.,6393dfeac7099552f747480f,17,110,49,1,9,1,50,1,0,0,0,9,65,6,4,4,9,820
43t,Reed Blankenship,6391052463b0801348bac5a4,15,108,34,0,0,0,66,11,3,0,0,2,6,1,1,0,1,933
43t,Josey Jewell,6393e0e673e62c17f26174b5,16,108,48,3,16,2,43,3,0,0,0,2,38,3,1,1,5,797
45t,Kenneth Murray Jr.,6393dec16dadddc83823c734,15,107,28,3,15,0,69,4,1,0,0,7,61,4,0,2,5,968
45t,Kyle Dugger,6526d36c2fa16ce9e6160d1c,17,107,38,1.5,9.5,1,64,7,2,0,0,6,45,5,2,4,8,1109
45t,Jahlani Tavai,6393dfdb4e48fdec9c198b7c,17,107,45,1,9,2,35,5,2,0,0,5,55,4,3,1,5,831
45t,Jordan Hicks,639639368850e971e42c40ef,13,107,46,1,8,1,42,5,1,0,0,4,89,2,1,4,6,812
45t,Damone Clark,639105074241d1eb7fab838b,17,107,39,0,0,0,32,3,0,0,0,4,42,3,1,1,2,776
50t,Jaquan Brisker,63910537219d1455f3dff859,15,105,39,1,7.5,2,60,9,1,0,0,3,20,3,0,1,3,891
50t,Divine Deablo,6393ddcd4e48fdec9c194fd2,15,105,41,1,7,0,49,2,0,0,0,4,24,2,1,1,3,771
52,Blake Cashman,6393dff06dadddc83823febd,14,104,50,2,16,0,55,5,1,0,0,9,28,5,3,2,7,650
53,Derrick Brown,6393dea2ffee7578cffb42c1,17,103,46,2,22,0,5,6,1,0,0,7,0,15,12,3,17,936
54,Richie Grant,6393ddc0c7099552f7471ae2,17,102,37,3,19,2,57,6,1,0,0,3,21,5,3,1,7,946
55,Elandon Roberts,639638c6071a18e16babfc9a,16,101,33,2.5,19.5,0,48,2,0,0,0,10,32,6,3,2,8,577
56t,Christian Harris,6391050b4241d1eb7fab8598,16,100,36,2,8,1,55,7,0,0,0,7,29,3,1,0,3,748
56t,Rayshawn Jenkins,6393e196ffee7578cffb725e,17,100,35,1,8,0,61,9,2,0,0,7,32,1,1,3,5,1096
56t,Jordan Poyer,6396540f215be9feb896a29c,16,100,34,1,4,1,51,4,0,0,0,2,27,2,1,2,4,981
56t,E.J. Speed,6526d36d5906546d2e98883c,16,100,24,1,9,3,59,4,0,0,0,12,32,2,1,2,4,730
60t,Jeremiah Owusu-Koramoah,6393ddd14e48fdec9c1952b4,16,98,29,3.5,34.5,1,45,6,2,0,0,20,60,5,0,1,5,756
60t,Taron Johnson,6393e09673e62c17f2614f3a,17,98,26,1,1,3,81,8,0,0,0,3,28,2,1,0,2,949
62t,Micah McFadden,6391053c219d1455f3dffa20,16,97,38,1,6.5,0,35,5,1,0,0,12,53,6,4,2,8,734
62t,Jordan Whitehead,6393e10273e62c17f261835b,17,97,32,0.5,6.5,0,38,9,4,0,0,3,5,1,0,0,1,1074
62t,Ivan Pace Jr.,6526d3cc2fa16ce9e61621d0,17,97,39,2.5,12.5,1,37,2,1,0,0,2,74,9,6,1,10,703
65t,Quandre Diggs,639639358850e971e42c4056,17,95,32,0,0,0,36,5,1,0,0,1,1,0,0,0,0,1153
65t,Justin Reid,6393e1094e48fdec9c19ef6a,16,95,21,3,16,1,62,7,1,0,0,5,34,5,2,2,7,976
67,Markquese Bell,6391059b219d1455f3e02813,17,94,34,0,0,2,47,4,0,0,0,3,19,0,0,0,0,642
68t,Kenny Moore II,6526d36d5906546d2e98880c,16,93,25,1.5,13,0,80,6,3,2,0,8,19,2,0,1,3,1088
68t,Nicholas Morrow,6526d3b714f02fc45f542b47,15,93,29,3,20,1,55,5,0,0,1,12,33,5,2,0,5,826
68t,Jordan Fuller,6393decb4e48fdec9c197319,17,93,33,0,0,3,54,8,3,0,0,1,7,0,0,0,0,1050
68t,Harrison Smith,639413d773120d7854cede2b,17,93,33,3,35,3,52,3,0,0,0,2,83,6,3,1,7,1108
68t,Pete Werner,6393ddb573e62c17f260dd68,16,93,33,0.5,4,0,61,1,1,0,0,4,40,1,0,1,2,915
73t,Jack Gibbens,63910537219d1455f3dff763,14,92,40,1,9,0,30,3,0,0,0,3,16,2,1,2,4,628
73t,Harrison Phillips,6393e1094e48fdec9c19ef11,17,92,48,3,7,0,2,2,0,0,0,2,2,6,1,3,8,835
75t,Maxx Crosby,6393e01bc7099552f747620a,17,90,35,14.5,100,2,3,2,0,0,0,23,2,31,15,20,50,1079
75t,Kyzir White,6393e0df73e62c17f2616ea2,11,90,37,2,10,0,32,3,1,0,0,9,20,2,0,1,3,707
77t,Jack Campbell,6526d3c82fa16ce9e6161f7e,17,89,43,2,14,0,31,1,0,0,0,5,43,3,1,1,4,635
77t,Jamin Davis,6393dd8cc7099552f7470fa7,13,89,39,3,8,2,44,4,1,0,0,8,33,3,0,1,4,738
