Rank,Player Name,Player ID,Qualified Receiving Leader,Games Played,Receiving Targets,Receptions,Receiving Yards,Receiving Touchdowns,Targets Per Game,Receiving Yards Per Game,Yards Per Reception,1st Down Pct. on Receptions,Average Yards at Catch,Average Yards After Catch,Offensive Receiver Drop,Broken Tackles
21,DeAndre Hopkins,63965407926e4df2104a7e1d,1,17,137,75,1057,7,8.05882353,62.17647059,14.09333333,64,11.12,2.97333333,4,4
22,Garrett Wilson,6391053c219d1455f3dff92a,1,17,168,95,1042,3,9.88235294,61.29411765,10.96842105,49.473684,7.52631579,3.44210526,7,9
23,Chris Godwin,6393e17773e62c17f261a531,1,17,130,83,1024,2,7.64705882,60.23529412,12.3373494,63.855422,7.69879518,4.63855422,5,3
24,George Kittle,6393e177c7099552f747db63,1,16,90,65,1020,6,5.625,63.75,15.69230769,64.615385,8.26153846,7.43076923,4,5
25,Calvin Ridley,6393e0cbc7099552f747acc0,1,17,136,76,1016,8,8,59.76470588,13.36842105,64.473684,10.81578947,2.55263158,6,1
26t,Jaylen Waddle,6393dd8d4e48fdec9c19391f,1,14,104,72,1014,4,7.42857143,72.42857143,14.08333333,65.277778,8.23611111,5.84722222,4,6
26t,Adam Thielen,6526d39a5906546d2e9893f6,1,17,137,103,1014,4,8.05882353,59.64705882,9.84466019,54.368932,6.49514563,3.34951456,7,2
28,Terry McLaurin,6393dff46dadddc83823ffa6,1,17,132,79,1002,4,7.76470588,58.94117647,12.6835443,59.493671,8.25316456,4.43037975,5,4
29,Travis Kelce,6396541d215be9feb896a8d9,1,15,121,93,984,5,8.06666667,65.6,10.58064516,53.763441,5.53763441,5.04301075,7,4
30,Evan Engram,6393e15a6dadddc83824462c,1,17,143,114,963,4,8.41176471,56.64705882,8.44736842,41.22807,3.99122807,4.45614035,7,5
31,T.J. Hockenson,6393dff0c7099552f7474d00,1,15,127,95,960,5,8.46666667,64,10.10526316,50.526316,6.56842105,3.53684211,4,4
32,Rashee Rice,6526d3525906546d2e987ed2,1,16,102,79,938,7,6.375,58.625,11.87341772,55.696203,3.60759494,8.26582278,8,3
33,Jordan Addison,6526d3cb2fa16ce9e616210c,1,17,108,70,911,10,6.35294118,53.58823529,13.01428571,54.285714,9.27142857,3.74285714,3,4
34,Drake London,6391055963b0801348bad9e2,1,16,110,69,905,2,6.875,56.5625,13.11594203,65.217391,10.39130435,2.72463768,4,2
35,Tyler Lockett,6396393574bd36db118b5233,1,17,122,79,894,5,7.17647059,52.58823529,11.3164557,59.493671,8.65822785,2.65822785,5,1
36,Deebo Samuel,6393dfcac7099552f7473541,1,15,89,60,892,7,5.93333333,59.46666667,14.86666667,56.666667,6.08333333,8.78333333,2,17
37,Sam LaPorta,6526d3c82fa16ce9e6161fa6,1,17,120,86,889,10,7.05882353,52.29411765,10.3372093,55.813953,6.1744186,4.1627907,5,9
38,David Njoku,639112d9f707c62a508c5441,1,16,123,81,882,6,7.6875,55.125,10.88888889,43.209877,3.49382716,7.39506173,11,10
39,Zay Flowers,6526d386a78ccf43a2e5782b,1,16,108,77,858,5,6.75,53.625,11.14285714,53.246753,6.06493506,5.07792208,4,12
40,Trey McBride,63910513219d1455f3dfe782,1,17,106,81,825,3,6.23529412,48.52941176,10.18518519,51.851852,4.7654321,5.41975309,3,10
41,Jakobi Meyers,6393e00bc7099552f7475702,1,16,106,71,807,8,6.625,50.4375,11.36619718,64.788732,7.95774648,3.4084507,2,7
42,Jayden Reed,6526d3cba78ccf43a2e580aa,1,16,94,64,793,8,5.875,49.5625,12.390625,50,7.15625,5.234375,3,4
43,Christian Kirk,6393e0ccc7099552f747ae76,1,12,85,57,787,3,7.08333333,65.58333333,13.80701754,59.649123,9.47368421,4.33333333,4,3
44,Courtland Sutton,6393e0f673e62c17f2617d60,1,16,90,59,772,10,5.625,48.25,13.08474576,62.711864,10.44067797,2.6440678,6,0
45,Josh Downs,6526d36d5906546d2e98882c,1,17,98,68,771,2,5.76470588,45.35294118,11.33823529,44.117647,5.88235294,5.45588235,5,2
46,Darius Slayton,6393dfce6dadddc83823fbd6,1,17,79,50,770,4,4.64705882,45.29411765,15.4,58,9.44,5.96,3,5
47,Jake Ferguson,639105334241d1eb7fab904b,1,17,102,71,761,5,6,44.76470588,10.71830986,56.338028,4.73239437,5.98591549,5,6
48,Jerry Jeudy,6393dea4ffee7578cffb43aa,1,16,87,54,758,2,5.4375,47.375,14.03703704,51.851852,8.05555556,5.98148148,2,4
49,Gabe Davis,6393dedb73e62c17f261161f,1,17,81,45,746,7,4.76470588,43.88235294,16.57777778,75.555556,12.57777778,4,3,2
50,Cooper Kupp,6393e12f73e62c17f261919f,1,12,95,59,737,5,7.91666667,61.41666667,12.49152542,55.932203,7.03389831,5.45762712,4,5
51t,Cole Kmet,6393defa6dadddc83823de63,1,17,90,73,719,6,5.29411765,42.29411765,9.84931507,49.315068,5.87671233,3.97260274,1,4
51t,Rashid Shaheed,6391057b4241d1eb7fab9d92,1,15,75,46,719,5,5,47.93333333,15.63043478,58.695652,12.34782609,3.2826087,2,4
53,Diontae Johnson,6393e01a4e48fdec9c19a465,1,13,87,51,717,5,6.69230769,55.15384615,14.05882353,72.54902,8.94117647,5.11764706,2,4
54,Tank Dell,6526d3775906546d2e988b5d,1,11,75,47,709,7,6.81818182,64.45454545,15.08510638,72.340426,11.85106383,3.23404255,4,2
55,Romeo Doubs,6391051763b0801348bac116,1,17,96,59,674,8,5.64705882,39.64705882,11.42372881,69.491525,9.15254237,2.27118644,6,1
56,Dalton Kincaid,6526d3522fa16ce9e6160761,1,16,91,73,673,2,5.6875,42.0625,9.21917808,39.726027,4.95890411,4.26027397,4,3
57t,Tyler Boyd,639638d2071a18e16bac00ac,1,17,98,67,667,2,5.76470588,39.23529412,9.95522388,41.791045,5.79104478,4.1641791,5,2
57t,Kyle Pitts,6393dd8bc7099552f7470f0d,1,17,90,53,667,3,5.29411765,39.23529412,12.58490566,66.037736,10.05660377,2.52830189,4,0
59,Brandin Cooks,639653a357b9fbc69ebbb3f1,1,16,81,54,657,8,5.0625,41.0625,12.16666667,70.37037,9.85185185,2.31481481,3,0
60,Tee Higgins,6393dee2ffee7578cffb540b,1,12,76,42,656,5,6.33333333,54.66666667,15.61904762,78.571429,10.02380952,5.5952381,7,0
61,Elijah Moore,6393dd914e48fdec9c1939de,1,17,104,59,640,2,6.11764706,37.64705882,10.84745763,49.152542,7.61016949,3.23728814,5,4
62,Dalton Schultz,6393e1094e48fdec9c19ef3a,1,15,88,59,635,5,5.86666667,42.33333333,10.76271186,59.322034,6.37288136,4.38983051,3,8
63,Jaxon Smith-Njigba,6526d3b02fa16ce9e616182c,1,17,93,63,628,4,5.47058824,36.94117647,9.96825397,46.031746,4.15873016,5.80952381,10,3
64,Tyler Conklin,6393e10b73e62c17f26188c6,1,17,87,61,621,0,5.11764706,36.52941176,10.18032787,44.262295,6.16393443,4.01639344,2,2
65,Curtis Samuel,6393e17bc7099552f747dd0d,1,16,91,62,613,4,5.6875,38.3125,9.88709677,41.935484,5.69354839,4.19354839,2,4
66,Khalil Shakir,6391050f63b0801348babf7b,1,17,45,39,611,2,2.64705882,35.94117647,15.66666667,66.666667,8.43589744,7.23076923,0,0
67,Josh Reynolds,6393e15ac7099552f747cf03,1,17,64,40,608,5,3.76470588,35.76470588,15.2,80,10.875,4.325,4,2
68,Dallas Goedert,6393e08d73e62c17f2614c1f,1,14,83,59,592,3,5.92857143,42.28571429,10.03389831,55.932203,4.62711864,5.40677966,2,2
69,Breece Hall,639105304241d1eb7fab8ddd,1,17,95,76,591,4,5.58823529,34.76470588,7.77631579,36.842105,-0.76315789,8.53947368,5,29
70,Jonnu Smith,6393e1696dadddc838244df3,1,17,70,50,582,3,4.11764706,34.23529412,11.64,52,4.5,7.14,4,6
71t,Joshua Palmer,6393dd884e48fdec9c19366f,1,10,61,38,581,2,6.1,58.1,15.28947368,57.894737,10.13157895,5.15789474,3,2
71t,Dontayvion Wicks,6526d3cca78ccf43a2e58186,1,15,58,39,581,4,3.86666667,38.73333333,14.8974359,74.358974,9.51282051,5.38461538,3,5
73,Marquise Brown,6393dfed4e48fdec9c199456,1,14,101,51,574,4,7.21428571,41,11.25490196,62.745098,8.03921569,3.21568627,4,2
74,Noah Brown,6393e17bc7099552f747dd11,0,10,55,33,567,2,5.5,56.7,17.18181818,72.727273,10.42424242,6.75757576,3,2
75t,Odell Beckham Jr.,63965365215be9feb8967fd5,1,14,64,35,565,3,4.57142857,40.35714286,16.14285714,77.142857,11.71428571,4.42857143,3,0
75t,Michael Wilson,6526d3a32fa16ce9e61613d8,1,13,58,38,565,3,4.46153846,43.46153846,14.86842105,76.315789,11.21052632,3.65789474,0,3
77,Christian McCaffrey,6393e1a14e48fdec9c1a13c1,1,16,83,67,564,7,5.1875,35.25,8.41791045,46.268657,1.53731343,6.88059701,0,17
78,Demario Douglas,6526d36c2fa16ce9e6160dd0,1,14,79,49,561,0,5.64285714,40.07142857,11.44897959,53.061224,4.59183673,6.85714286,1,1
79,Darren Waller,6396395440970877a4314660,1,12,74,52,552,1,6.16666667,46,10.61538462,48.076923,6.55769231,4.05769231,3,0
80,Rachaad White,6391055c63b0801348badccd,1,17,70,64,549,3,4.11764706,32.29411765,8.578125,35.9375,-0.96875,9.546875,2,17
81,Mark Andrews,6393e0e44e48fdec9c19d82e,1,10,61,45,544,6,6.1,54.4,12.08888889,60,7.28888889,4.8,3,4
82,K.J. Osborn,6393dee56dadddc83823d697,1,16,75,48,540,3,4.6875,33.75,11.25,58.333333,7.39583333,3.85416667,5,1
83,Chigoziem Okonkwo,639105384241d1eb7fab9401,1,17,77,54,528,1,4.52941176,31.05882353,9.77777778,46.296296,4.96296296,4.81481481,6,5
84t,Wan'Dale Robinson,63910507219d1455f3dfe6cc,1,15,78,60,525,1,5.2,35,8.75,48.333333,3.96666667,4.78333333,3,6
84t,DJ Chark Jr.,6393e0cac7099552f747ab2a,1,15,66,35,525,5,4.4,35,15,62.857143,12.08571429,2.4,4,1
86,Jahan Dotson,63910537219d1455f3dff831,1,17,83,49,518,4,4.88235294,30.47058824,10.57142857,55.102041,8.2244898,2.34693878,5,0
87,Alec Pierce,6391054863b0801348bad16a,0,17,65,32,514,2,3.82352941,30.23529412,16.0625,75,5.4375,3.03125,3,1
88,Logan Thomas,6396539c32e0836ab49d953d,1,16,78,55,496,4,4.875,31,9.01818182,38.181818,4.85454545,4.16363636,2,1
89,Tyler Higbee,639638ab071a18e16babe705,1,15,70,47,495,2,4.66666667,33,10.53191489,55.319149,5.29787234,5.23404255,7,2
90,Kalif Raymond,6526d3c92fa16ce9e6162065,1,17,44,35,489,1,2.58823529,28.76470588,13.97142857,57.142857,7.85714286,6.11428571,2,1
91,Bijan Robinson,6526d3995906546d2e9893a2,1,17,86,58,487,4,5.05882353,28.64705882,8.39655172,41.37931,-0.55172414,8.94827586,6,25
92,Tutu Atwell,6393ddcc73e62c17f260e9ae,1,16,67,39,483,3,4.1875,30.1875,12.38461538,66.666667,9.71794872,2.66666667,4,0
93,Travis Etienne Jr.,6393ddd573e62c17f260ef1b,1,17,73,58,476,1,4.29411765,28,8.20689655,39.655172,-0.70689655,8.9137931,4,43
94,Alvin Kamara,6393e1544e48fdec9c1a024a,1,13,86,75,466,1,6.61538462,35.84615385,6.21333333,30.666667,-0.46666667,6.68,2,16
95,Justin Watson,6526d3525906546d2e987ebe,0,16,53,27,460,3,3.3125,28.75,17.03703704,77.777778,15.2962963,1.74074074,4,0
96t,Samaje Perine,6393e1716dadddc838245245,1,17,56,50,455,0,3.29411765,26.76470588,9.1,46,-0.14,9.24,1,8
96t,Cade Otton,63910561219d1455f3e00fcd,1,17,67,47,455,4,3.94117647,26.76470588,9.68085106,46.808511,4.93617021,4.68085106,3,4
98,Michael Thomas,639638ba40970877a4310d5b,1,10,64,39,448,1,6.4,44.8,11.48717949,53.846154,8.92307692,2.56410256,3,2
99,James Cook,63910517219d1455f3dfe840,1,17,54,44,445,4,3.17647059,26.17647059,10.11363636,36.363636,1.06818182,9.04545455,6,15
100,Austin Ekeler,6526d352a78ccf43a2e5690c,1,14,74,51,436,1,5.28571429,31.14285714,8.54901961,39.215686,-1.78431373,10.05882353,6,16
101,Quentin Johnston,6526d352a78ccf43a2e56910,1,17,67,38,431,2,3.94117647,25.35294118,11.34210526,52.631579,7.34210526,4,3,2
102,Robert Woods,6396540b926e4df2104a81d2,1,14,75,40,426,1,5.35714286,30.42857143,10.65,65,7.5,3.15,4,1
103,Chris Moore,639638c840970877a4311342,0,17,35,22,424,0,2.05882353,24.94117647,19.27272727,72.727273,16.68181818,2.59090909,2,1
104,Christian Watson,6391057f4241d1eb7fab9fa2,0,9,53,28,422,5,5.88888889,46.88888889,15.07142857,71.428571,11.32142857,3.75,3,1
105,Hunter Henry,6396389a071a18e16babdba3,1,14,61,42,419,6,4.35714286,29.92857143,9.97619048,69.047619,8.11904762,1.85714286,3,1
106t,Jonathan Mingo,6526d39a5906546d2e98943a,1,15,85,43,418,0,5.66666667,27.86666667,9.72093023,34.883721,6.11627907,3.60465116,4,1
106t,Michael Gallup,6393e0cf4e48fdec9c19cdb0,1,17,57,34,418,2,3.35294118,24.58823529,12.29411765,55.882353,9.23529412,3.05882353,5,3
108t,Noah Fant,6393dff0c7099552f7474d04,0,17,43,32,414,0,2.52941176,24.35294118,12.9375,50,1.375,5.53125,1,1
108t,Darnell Mooney,6393ded64e48fdec9c1976e6,0,15,61,31,414,1,4.06666667,27.6,13.35483871,64.516129,7.51612903,5.83870968,3,1
110t,Isaiah Likely,6391054063b0801348bacbaf,0,17,40,30,411,5,2.35294118,24.17647059,13.7,50,6.5,7.2,3,6
110t,Gerald Everett,6393e18373e62c17f261a97c,1,15,70,51,411,3,4.66666667,27.4,8.05882353,49.019608,2.66666667,5.39215686,2,9
112,Kendrick Bourne,6393e12f73e62c17f26191a7,1,8,55,37,406,4,6.875,50.75,10.97297297,40.540541,5.48648649,5.48648649,1,2
113,DeVante Parker,639639518850e971e42c4459,0,13,55,33,394,0,4.23076923,30.30769231,11.93939394,51.515152,2.06060606,3.81818182,3,2
114,Antonio Gibson,6393ded74e48fdec9c1978a4,1,16,59,48,389,2,3.6875,24.3125,8.10416667,39.583333,0.25,7.85416667,2,11
115t,Tyjae Spears,6526d37fa78ccf43a2e5733b,1,17,70,52,385,1,4.11764706,22.64705882,7.40384615,32.692308,-1.44230769,8.84615385,1,13
115t,Trey Palmer,6526d39014f02fc45f541a1e,1,17,68,39,385,3,4,22.64705882,9.87179487,43.589744,7.23076923,2.64102564,4,0
117,Nelson Agholor,63963956071a18e16bac0c65,1,17,45,35,381,4,2.64705882,22.41176471,10.88571429,54.285714,3.11428571,4.02857143,2,2
118,Marvin Mims Jr.,6526d35314f02fc45f540fd6,0,16,33,22,377,1,2.0625,23.5625,17.13636364,40.909091,10.13636364,7,1,2
119,Joe Mixon,6393e1716dadddc83824523d,1,17,64,52,376,3,3.76470588,22.11764706,7.23076923,26.923077,-1.67307692,8.90384615,4,17
120,Jalin Hyatt,6526d3c72fa16ce9e6161f32,0,17,40,23,373,0,2.35294118,21.94117647,16.2173913,47.826087,14.13043478,2.08695652,3,1
121,Demarcus Robinson,6396389674bd36db118b3a0d,0,16,39,26,371,4,2.4375,23.1875,14.26923077,76.923077,10.84615385,3.42307692,0,0
122t,Nick Westbrook-Ikhine,6393decb73e62c17f2610bbe,0,14,45,28,370,3,3.21428571,26.42857143,13.21428571,64.285714,9.39285714,3.82142857,4,1
122t,Jaylen Warren,6391052963b0801348bac812,1,17,74,61,370,0,4.35294118,21.76470588,6.06557377,31.147541,-1.90163934,7.96721311,5,34
124t,Brian Robinson Jr.,6391050a4241d1eb7fab8540,1,15,43,36,368,4,2.86666667,24.53333333,10.22222222,41.666667,-1.19444444,11.41666667,3,22
124t,Kylen Granson,6393ddbf73e62c17f260e26d,0,15,50,30,368,1,3.33333333,24.53333333,12.26666667,63.333333,8,4.26666667,3,0
124t,Juwan Johnson,6393deef73e62c17f26118a0,1,13,59,37,368,4,4.53846154,28.30769231,9.94594595,62.162162,6.02702703,3.91891892,3,3
127,Rashod Bateman,6393ddb2ffee7578cffb2084,0,16,56,32,367,1,3.5,22.9375,11.46875,62.5,3.0625,1.84375,4,1
128,Durham Smythe,6393e113c7099552f747bf4a,1,16,43,35,366,0,2.6875,22.875,10.45714286,62.857143,6.48571429,3.97142857,1,0
129,Tucker Kraft,6526d3cba78ccf43a2e580c2,0,17,40,31,355,2,2.35294118,20.88235294,11.4516129,58.064516,3.96774194,7.48387097,0,4
130,Jameson Williams,6391050b4241d1eb7fab859c,0,12,42,24,354,2,3.5,29.5,14.75,58.333333,10.375,4.375,4,5
131t,Luke Musgrave,6526d3cba78ccf43a2e58102,1,11,46,34,352,1,4.18181818,32,10.35294118,41.176471,5.38235294,4.97058824,3,0
131t,Rondale Moore,6393ddae73e62c17f260da10,1,17,62,40,352,1,3.64705882,20.70588235,8.8,42.5,3.4,5.4,3,4
131t,Tanner Hudson,6526d385a78ccf43a2e576d8,1,12,50,39,352,1,4.16666667,29.33333333,9.02564103,53.846154,5.23076923,3.79487179,1,2
134,Tre Tucker,6526d3529ed9a52170f99572,0,16,34,19,331,2,2.125,20.6875,17.42105263,63.157895,15.94736842,1.47368421,1,2
135,Brandon Powell,6393e0c973e62c17f26165ae,0,17,44,29,324,1,2.58823529,19.05882353,11.17241379,62.068966,7.5862069,3.5862069,1,1
136,Zay Jones,6393e18a6dadddc838245c8a,1,9,64,34,321,2,7.11111111,35.66666667,9.44117647,41.176471,3.02941176,1.5,1,0
137,Jerome Ford,6391054863b0801348bad144,1,17,63,44,319,5,3.70588235,18.76470588,7.25,36.363636,0.34090909,6.90909091,9,30
138t,Jahmyr Gibbs,6526d3c92fa16ce9e6162098,1,15,71,52,316,1,4.73333333,21.06666667,6.07692308,38.461538,0.03846154,6.03846154,8,28
138t,Trenton Irwin,6393e017c7099552f747606d,0,16,32,25,316,1,2,19.75,12.64,60,8.24,4.4,1,0
140,Marquez Valdes-Scantling,6393e0f973e62c17f2617ec0,0,16,42,21,315,1,2.625,19.6875,15,66.666667,10.61904762,4.38095238,3,1
141,Ezekiel Elliott,639638ba40970877a4310ccb,1,17,65,51,313,2,3.82352941,18.41176471,6.1372549,23.529412,-1.19607843,7.33333333,2,13
142t,Allen Lazard,6393e0e373e62c17f26171f7,0,14,49,23,311,1,3.5,22.21428571,13.52173913,73.913043,11.08695652,2.43478261,4,1
142t,Tony Pollard,6393dfff4e48fdec9c19969f,1,17,67,55,311,0,3.94117647,18.29411765,5.65454545,21.818182,-0.18181818,5.83636364,6,33
144,Pat Freiermuth,6393ddb1ffee7578cffb1f00,0,12,47,32,308,2,3.91666667,25.66666667,9.625,53.125,5.09375,4.53125,0,2
145,Noah Gray,6393ddc773e62c17f260e7a9,0,17,41,28,305,2,2.41176471,17.94117647,10.89285714,57.142857,5.89285714,4.75,1,4
146,Michael Mayer,6526d3529ed9a52170f994ea,0,14,40,27,304,2,2.85714286,21.71428571,11.25925926,70.37037,5.18518519,6.07407407,1,3
147t,Josh Jacobs,6393dfcd6dadddc83823fae7,1,13,54,37,296,0,4.15384615,22.76923077,8,40.540541,0.08108108,7.91891892,5,13
147t,Cedrick Wilson Jr.,6393e0cfc7099552f747af06,0,15,38,22,296,3,2.53333333,19.73333333,13.45454545,63.636364,10.86363636,2.59090909,1,0
149,Taysom Hill,6393e1ab4e48fdec9c1a18a5,0,16,40,33,291,2,2.5,18.1875,8.81818182,33.333333,4.78787879,4.03030303,1,10
150,Donald Parham Jr.,6526d351a78ccf43a2e56854,0,14,41,27,285,4,2.92857143,20.35714286,10.55555556,81.481481,5.88888889,4.66666667,3,1
151,Brandon Johnson,6391054763b0801348bad021,0,13,30,19,284,4,2.30769231,21.84615385,14.94736842,63.157895,10.26315789,4.68421053,1,2
152t,Saquon Barkley,6393e0e84e48fdec9c19da75,1,14,60,41,280,4,4.28571429,20,6.82926829,39.02439,1.31707317,5.51219512,5,15
152t,Greg Dortch,6393e0084e48fdec9c199886,0,16,41,24,280,2,2.5625,17.5,11.66666667,58.333333,5.33333333,6.33333333,0,1
152t,Allen Robinson II,63965388926e4df2104a52e8,1,17,49,34,280,0,2.88235294,16.47058824,8.23529412,26.470588,6.23529412,2,0,0
155,Jalen Tolbert,63910545219d1455f3dffe7d,0,17,36,22,268,2,2.11764706,15.76470588,12.18181818,59.090909,10.63636364,1.54545455,1,1
156,Jauan Jennings,6393de9f6dadddc83823c36e,0,13,33,19,265,1,2.53846154,20.38461538,13.94736842,63.157895,9.26315789,4.68421053,0,2
157,JuJu Smith-Schuster,6393e1994e48fdec9c1a11ec,0,11,47,29,260,1,4.27272727,23.63636364,8.96551724,44.827586,5.72413793,3.24137931,2,0
158,Kenneth Walker III,6391053b4241d1eb7fab9639,0,15,37,29,259,1,2.46666667,17.26666667,8.93103448,31.034483,-2,10.93103448,2,31
159t,Hunter Renfrow,6393e00bc7099552f74757ee,0,17,37,25,255,0,2.17647059,15,10.2,44,4.12,6.08,1,2
159t,Daniel Bellinger,639105174241d1eb7fab8af8,0,17,28,25,255,0,1.64705882,15,10.2,24,4.84,5.36,1,2
161,Mack Hollins,6393e1964e48fdec9c1a1119,0,13,30,18,251,0,2.30769231,19.30769231,13.94444444,50,10.88888889,3.05555556,2,0
162,Mike Williams,6393e1926dadddc838246014,0,3,26,19,249,1,8.66666667,83,13.10526316,47.368421,7.42105263,5.68421053,0,1
163,Colby Parkinson,6393deefffee7578cffb5a0a,0,17,34,25,247,2,2,14.52941176,9.88,44,6.44,3.44,2,1
164,A.T. Perry,6526d39c5906546d2e989630,0,10,18,12,246,4,1.8,24.6,20.5,83.333333,18.83333333,1.66666667,1,0
165t,Mike Gesicki,6393e0e84e48fdec9c19dad4,0,17,45,29,244,2,2.64705882,14.35294118,8.4137931,37.931034,5.10344828,3.31034483,0,0
165t,Isiah Pacheco,6391053b4241d1eb7fab9720,1,14,49,44,244,2,3.5,17.42857143,5.54545455,27.272727,-2.61363636,8.15909091,2,19
165t,Skyy Moore,6391056763b0801348bae2f3,0,14,38,21,244,1,2.71428571,17.42857143,11.61904762,61.904762,6.42857143,5.19047619,1,0
168t,Braxton Berrios,6393e1024e48fdec9c19eb29,0,16,33,27,238,1,2.0625,14.875,8.81481481,55.555556,5.66666667,3.14814815,1,2
168t,Rhamondre Stevenson,6393ddac4e48fdec9c193f61,1,12,51,38,238,0,4.25,19.83333333,6.26315789,21.052632,-0.60526316,6.86842105,4,15
170,Austin Hooper,639638db8850e971e42c2954,0,17,31,25,234,0,1.82352941,13.76470588,9.36,48,3.68,5.68,1,2
