ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Alami K.,Arazi H.,222,25,7,6,6,3,,,,,,,2,0,Completed,,,3.3,1.28,3.3,1.25,2.7,1.3,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Arthurs W.,Stoliarov A.,97,118,6,3,6,4,,,,,,,2,0,Completed,,,1.9,1.8,1.8,1.85,1.65,1.85,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Boutter J.,Davydenko N.,61,83,7,5,6,7,6,4,,,,,2,1,Completed,,,1.55,2.3,1.45,2.35,1.45,2.2,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Canas G.,Pless K.,17,74,6,7,6,3,6,4,,,,,2,1,Completed,,,1.3,3.2,1.3,2.9,1.25,3,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Dupuis A.,Burgsmuller L.,73,80,6,2,3,1,,,,,,,1,0,Retired,,,1.7,2.05,1.67,1.95,1.6,1.9,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,El Aarej M.,Fukarek O.,494,107,7,6,6,2,,,,,,,2,0,Completed,,,,,2.85,1.31,2.5,1.35,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,El Aynaoui Y.,Coutelot N.,20,101,6,2,7,6,,,,,,,2,0,Completed,,,1.28,3.3,1.25,3.2,1.25,3,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Kohlmann M.,Zabaleta M.,123,64,6,1,6,4,,,,,,,2,0,Completed,,,3.4,1.28,3.2,1.25,3,1.25,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Labadze I.,Rochus O.,84,68,6,0,6,1,,,,,,,2,0,Completed,,,2.05,1.68,2.15,1.55,2.1,1.5,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Lisnard J.,Santopadre V.,196,295,4,6,6,3,6,1,,,,,2,1,Completed,,,,,,,,,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Mathieu P.H.,Vacek J.,136,77,6,1,6,2,,,,,,,2,0,Completed,,,1.67,2.1,1.65,2.02,1.55,2,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Sa A.,di Pasquale A.,87,235,6,3,6,7,6,2,,,,,2,1,Completed,,,1.9,1.8,1.8,1.8,1.65,1.85,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Sanchez D.,Bruguera S.,72,115,6,2,2,1,,,,,,,1,0,Retired,,,1.95,1.75,1.95,1.7,1.9,1.6,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Savolt A.,Vicente F.,76,71,6,3,7,6,,,,,,,2,0,Completed,,,2.7,1.4,2.7,1.35,2.3,1.4,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Tabara M.,Gonzalez F.,109,56,7,5,2,6,7,5,,,,,2,1,Completed,,,2.65,1.42,2.6,1.37,2.3,1.4,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,1st Round,3,Youzhny M.,Calatrava A.,75,99,7,5,7,6,,,,,,,2,0,Completed,,,2.1,1.65,2.05,1.6,2,1.55,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,2nd Round,3,Boutter J.,Arthurs W.,61,97,6,4,3,6,6,3,,,,,2,1,Completed,,,1.5,2.4,1.5,2.25,1.6,1.9,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,2nd Round,3,Canas G.,Sa A.,17,87,7,6,6,1,,,,,,,2,0,Completed,,,1.35,2.95,1.41,2.55,1.4,2.3,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,2nd Round,3,Dupuis A.,Alami K.,73,222,6,4,7,5,,,,,,,2,0,Completed,,,1.68,2.05,1.55,2.15,1.5,2.1,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,2nd Round,3,El Aynaoui Y.,El Aarej M.,20,494,6,7,6,4,6,2,,,,,2,1,Completed,,,1.12,5.25,1.1,5.25,1.15,3.8,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,2nd Round,3,Lisnard J.,Tabara M.,196,109,6,3,6,2,,,,,,,2,0,Completed,,,2.45,1.48,2.35,1.48,2.2,1.45,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,2nd Round,3,Mathieu P.H.,Labadze I.,136,84,6,1,7,5,,,,,,,2,0,Completed,,,1.68,2.05,1.7,1.95,1.6,1.9,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,2nd Round,3,Savolt A.,Sanchez D.,76,72,6,3,6,4,,,,,,,2,0,Completed,,,2.25,1.57,1.9,1.7,2.1,1.5,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,2nd Round,3,Youzhny M.,Kohlmann M.,75,123,5,7,6,3,6,4,,,,,2,1,Completed,,,1.57,2.25,1.58,2.15,1.65,1.85,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,Quarterfinals,3,Boutter J.,Lisnard J.,61,196,3,6,6,4,7,6,,,,,2,1,Completed,,,1.48,2.45,1.47,2.35,1.5,2.1,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,Quarterfinals,3,Canas G.,Savolt A.,17,76,7,6,6,3,,,,,,,2,0,Completed,,,1.4,2.7,1.4,2.55,1.45,2.2,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,Quarterfinals,3,El Aynaoui Y.,Mathieu P.H.,20,136,2,6,6,4,7,6,,,,,2,1,Completed,,,1.38,2.8,1.35,2.75,1.4,2.3,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,Quarterfinals,3,Youzhny M.,Dupuis A.,75,73,7,6,6,2,,,,,,,2,0,Completed,,,1.85,1.85,1.88,1.76,1.8,1.7,,
21,Casablanca,Grand Prix Hassan II,08/04/02,International,Outdoor,Clay,Semifinals,3,Canas G.,Boutter J.,17,61,7,5,6,4,,,,,,,2,0,Completed,,,1.45,2.55,1.45,2.45,1.45,2.2,,
