ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Blake J.,Voltchkov V.,149,77,4,6,6,1,6,2,,,,,2,1,Completed,,,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Capalik K.,Gimelstob J.,397,128,6,2,7,5,,,,,,,2,0,Completed,,,2.6,1.35,2.2,1.45,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Carlsen K.,Pozzi G.,498,100,3,6,6,4,6,2,,,,,2,1,Completed,,,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Damm M.,Labadze I.,199,131,6,3,6,2,,,,,,,2,0,Completed,,,1.45,2.3,1.4,2.3,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Dent T.,Fukarek O.,127,146,6,3,6,2,,,,,,,2,0,Completed,,,1.2,3.4,1.15,3.8,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Fish M.,Stoliarov A.,171,79,6,4,5,7,7,5,,,,,2,1,Completed,,,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Godwin N.,Dupuis A.,167,65,7,6,7,5,,,,,,,2,0,Completed,,,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Lee M.,Burgsmuller L.,130,69,6,3,6,2,,,,,,,2,0,Completed,,,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Llodra M.,Bryan B.,123,140,0,6,7,6,7,6,,,,,2,1,Completed,,,1.95,1.65,2,1.55,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Mamiit C.,Bryan M.,107,318,6,4,6,4,,,,,,,2,0,Completed,,,1.45,2.3,1.5,2.1,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Salzenstein J.,Siemerink J.,222,85,6,2,6,7,6,1,,,,,2,1,Completed,,,2.25,1.47,2,1.55,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Sanguinetti D.,Black W.,61,121,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Sargsian S.,Vacek J.,110,139,6,4,6,1,,,,,,,2,0,Completed,,,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Schuettler R.,Kim K.,55,164,6,4,6,4,,,,,,,2,0,Completed,,,1.35,2.6,1.3,2.7,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Weiner G.,Sa A.,229,109,7,6,7,5,,,,,,,2,0,Completed,,,2.2,1.5,2,1.55,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,1st Round,3,Wessels P.,Zib T.,90,141,7,6,6,1,,,,,,,2,0,Completed,,,1.2,3.4,1.25,3
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,2nd Round,3,Blake J.,Wessels P.,149,90,6,4,6,1,,,,,,,2,0,Completed,,,2.9,1.3,2.5,1.35
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,2nd Round,3,Capalik K.,Salzenstein J.,397,222,6,2,6,3,,,,,,,2,0,Completed,,,2.1,1.55,1.85,1.65
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,2nd Round,3,Carlsen K.,Dent T.,498,127,7,6,6,3,,,,,,,2,0,Completed,,,2.65,1.35,2.7,1.3
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,2nd Round,3,Godwin N.,Sargsian S.,167,110,6,3,2,6,6,4,,,,,2,1,Completed,,,1.85,1.7,1.85,1.65
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,2nd Round,3,Lee M.,Weiner G.,130,229,6,3,3,6,6,3,,,,,2,1,Completed,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,2nd Round,3,Llodra M.,Fish M.,123,171,5,7,6,3,7,6,,,,,2,1,Completed,,,1.75,1.82,1.75,1.75
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,2nd Round,3,Sanguinetti D.,Mamiit C.,61,107,7,5,2,6,6,2,,,,,2,1,Completed,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,2nd Round,3,Schuettler R.,Damm M.,55,199,6,1,6,4,,,,,,,2,0,Completed,,,,,,
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,Quarterfinals,3,Blake J.,Capalik K.,149,397,6,2,3,6,6,3,,,,,2,1,Completed,,,1.5,2.2,1.45,2.2
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,Quarterfinals,3,Carlsen K.,Schuettler R.,498,55,6,2,6,2,,,,,,,2,0,Completed,,,2.05,1.6,2,1.55
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,Quarterfinals,3,Godwin N.,Llodra M.,167,123,6,1,6,2,,,,,,,2,0,Completed,,,1.82,1.75,1.65,1.85
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,Quarterfinals,3,Lee M.,Sanguinetti D.,130,61,6,3,3,6,6,4,,,,,2,1,Completed,,,1.9,1.7,1.8,1.7
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,Semifinals,3,Godwin N.,Carlsen K.,167,498,6,3,6,7,7,6,,,,,2,1,Completed,,,2,1.62,2.1,1.5
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,Semifinals,3,Lee M.,Blake J.,130,149,6,4,1,6,7,6,,,,,2,1,Completed,,,1.77,1.82,1.75,1.75
41,Newport,Hall of Fame Championships,09/07/01,International,Outdoor,Grass,The Final,3,Godwin N.,Lee M.,167,130,6,1,6,4,,,,,,,2,0,Completed,,,,,,
