ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,,
39,Newport,Hall of Fame Championships,04/07/05,International,Outdoor,Grass,1st Round,3,Ginepri R.,Oudsema S.,103,693,405,22,6,2,6,7,6,0,,,,,2,1,Completed,1.12,5.5,,,,,1.15,4,1.2,5.5
39,Newport,Hall of Fame Championships,04/07/05,International,Outdoor,Grass,1st Round,3,Spadea V.,Popp A.,49,176,730,246,4,6,6,3,6,2,,,,,2,1,Completed,2.5,1.5,2.6,1.48,2.35,1.55,2.35,1.45,2.75,1.526
39,Newport,Hall of Fame Championships,04/07/05,International,Outdoor,Grass,1st Round,3,Lapentti G.,Burgsmuller L.,123,89,360,464,7,6,3,1,,,,,,,1,0,Retired,,,2.4,1.55,2.35,1.55,2.35,1.45,2.65,1.571
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Waske A.,Elseneer G.,134,177,317,241,7,6,4,6,6,4,,,,,2,1,Completed,2.2,1.61,2.3,1.6,2.23,1.61,2.1,1.55,2.51,1.621
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Mertinak M.,Reynolds B.,135,179,316,239,6,4,6,7,6,3,,,,,2,1,Completed,1.53,2.37,1.53,2.45,1.5,2.45,,,1.599,2.57
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Murray A.,Carraz G.,213,126,186,348,6,4,7,5,,,,,,,2,0,Completed,1.4,2.75,1.48,2.6,1.53,2.4,1.4,2.5,1.515,2.79
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Kucera K.,Morrison J.,150,102,279,405,7,6,7,6,,,,,,,2,0,Completed,2.25,1.57,2.1,1.7,2,1.75,1.95,1.65,2.23,1.752
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Dent T.,Delic A.,29,142,1170,303,7,6,6,4,,,,,,,2,0,Completed,1.08,6.5,1.14,5.5,1.15,5.2,1.1,5,1.123,8.25
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Moodie W.,Wang Y.T.,129,153,338,273,6,4,6,4,,,,,,,2,0,Completed,1.61,2.2,1.57,2.35,1.55,2.35,1.6,2,1.667,2.4
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Vik R.,Dancevic F.,110,157,386,267,6,4,1,6,6,3,,,,,2,1,Completed,2.25,1.57,2.2,1.65,2.17,1.64,2.1,1.55,2.21,1.763
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Dupuis A.,Blake J.,111,106,385,400,6,2,6,4,,,,,,,2,0,Completed,2.5,1.5,2.6,1.48,2.6,1.45,2.35,1.45,2.93,1.469
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Bracciali D.,Saulnier C.,121,48,362,733,7,5,6,3,,,,,,,2,0,Completed,1.53,2.37,1.57,2.35,1.6,2.3,1.5,2.2,1.549,2.72
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Rusedski G.,Vico U.,39,251,863,148,2,6,6,4,6,4,,,,,2,1,Completed,1.06,7.5,1.1,6.5,,,,,1.098,9.71
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Goldstein P.,Norman D.,92,101,435,407,6,3,1,6,6,3,,,,,2,1,Completed,2.37,1.53,2.3,1.6,2.3,1.6,2.5,1.4,2.56,1.602
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Vemic D.,Bogomolov A.,274,158,131,266,6,2,6,3,,,,,,,2,0,Completed,2.25,1.57,,,,,,,2.45,1.645
39,Newport,Hall of Fame Championships,05/07/05,International,Outdoor,Grass,1st Round,3,Mergea F.,Wilson B.,277,493,129,50,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,,1.709,2.31
39,Newport,Hall of Fame Championships,06/07/05,International,Outdoor,Grass,2nd Round,3,Waske A.,Bracciali D.,134,121,317,362,7,6,7,6,,,,,,,2,0,Completed,3,1.36,3,1.37,3.1,1.35,2.35,1.45,3.51,1.369
39,Newport,Hall of Fame Championships,06/07/05,International,Outdoor,Grass,2nd Round,3,Mertinak M.,Ginepri R.,135,103,316,405,6,3,6,4,,,,,,,2,0,Completed,3.39,1.3,3.1,1.35,2.85,1.4,2.7,1.35,3.18,1.42
39,Newport,Hall of Fame Championships,06/07/05,International,Outdoor,Grass,2nd Round,3,Spadea V.,Kucera K.,49,150,730,279,6,1,6,4,,,,,,,2,0,Completed,1.53,2.37,1.65,2.2,1.65,2.2,1.55,2.1,1.735,2.26
39,Newport,Hall of Fame Championships,06/07/05,International,Outdoor,Grass,2nd Round,3,Vemic D.,Lapentti G.,274,123,131,360,6,7,7,5,3,2,,,,,1,1,Retired,2.2,1.61,2.1,1.7,,,1.95,1.65,2.12,1.82
39,Newport,Hall of Fame Championships,06/07/05,International,Outdoor,Grass,2nd Round,3,Goldstein P.,Mergea F.,92,277,435,129,6,1,6,3,,,,,,,2,0,Completed,1.39,2.75,1.4,2.85,,,1.4,2.5,1.441,3.07
39,Newport,Hall of Fame Championships,06/07/05,International,Outdoor,Grass,2nd Round,3,Moodie W.,Dent T.,129,29,338,1170,6,4,6,1,,,,,,,2,0,Completed,4,1.22,3.55,1.28,3.75,1.25,3.2,1.25,4.39,1.264
39,Newport,Hall of Fame Championships,06/07/05,International,Outdoor,Grass,2nd Round,3,Dupuis A.,Murray A.,111,213,385,186,6,4,6,1,,,,,,,2,0,Completed,2.5,1.5,2.45,1.53,2.46,1.51,2.2,1.5,2.74,1.515
39,Newport,Hall of Fame Championships,06/07/05,International,Outdoor,Grass,2nd Round,3,Rusedski G.,Vik R.,39,110,863,386,6,2,7,6,,,,,,,2,0,Completed,1.16,4.5,1.18,4.65,1.25,3.75,1.2,3.6,1.227,5
39,Newport,Hall of Fame Championships,07/07/05,International,Outdoor,Grass,Quarterfinals,3,Spadea V.,Vemic D.,49,274,730,131,6,3,6,4,,,,,,,2,0,Completed,1.28,3.5,1.28,3.55,1.27,3.56,1.25,3.2,1.299,4.04
39,Newport,Hall of Fame Championships,07/07/05,International,Outdoor,Grass,Quarterfinals,3,Goldstein P.,Waske A.,92,134,435,317,6,3,3,6,7,6,,,,,2,1,Completed,1.9,1.8,1.83,1.93,1.87,1.87,1.7,1.9,1.917,1.99
39,Newport,Hall of Fame Championships,09/07/05,International,Outdoor,Grass,Quarterfinals,3,Rusedski G.,Dupuis A.,39,111,863,385,7,6,6,4,,,,,,,2,0,Completed,1.53,2.37,1.48,2.6,1.5,2.45,1.45,2.35,1.556,2.7
39,Newport,Hall of Fame Championships,09/07/05,International,Outdoor,Grass,Quarterfinals,3,Moodie W.,Mertinak M.,129,135,338,316,6,4,6,3,,,,,,,2,0,Completed,1.44,2.62,1.48,2.6,1.46,2.6,1.45,2.35,1.565,2.67
39,Newport,Hall of Fame Championships,09/07/05,International,Outdoor,Grass,Semifinals,3,Spadea V.,Goldstein P.,49,92,730,435,7,6,6,2,,,,,,,2,0,Completed,1.44,2.62,1.4,2.85,1.37,3,1.45,2.35,1.45,3.02
39,Newport,Hall of Fame Championships,09/07/05,International,Outdoor,Grass,Semifinals,3,Rusedski G.,Moodie W.,39,129,863,338,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,,1.559,2.69
39,Newport,Hall of Fame Championships,10/07/05,International,Outdoor,Grass,The Final,3,Rusedski G.,Spadea V.,39,49,863,730,7,6,2,6,6,4,,,,,2,1,Completed,1.57,2.25,1.53,2.5,1.6,2.25,1.5,2.2,1.592,2.59
