Team ID,Medium Name,Name,Nickname,Minutes,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Two Points Made,Two Points Attempted,Blocked Attempts,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Turnovers,Steals,Blocks,Assist Turnover Ratio,Personal Fouls,Technical Fouls,Flagrant Fouls,Points,Player Technical Fouls,Team Rebounds,Team Technical Fouls,Team Turnovers,Foulouts,Fast Break Points,Paint Points,Second Chance Points,Points Off Turnovers,Ejections,Turnovers Per Match,Blocks Per Match,Steals Per Match,Opponent Minutes,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Three Points Made,Opponent Three Points Attempted,Opponent Free Throws Made,Opponent Free Throws Attempted,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Assists,Opponent Turnovers,Opponent Steals,Opponent Blocks,Opponent Personal Fouls,Opponent Points,Opponent Ejections,Opponent Foulouts,Opponent Rebounds,Opponent Two Points Made,Opponent Two Points Attempted,Opponent Assist Turnover Ratio,Games Played,Losses Total,Wins Total
3437,Orlando Magic,Magic,Magic,720:00,124,261,0.475,39,111,0.351,85,150,12,46,64,0.719,34,89,123,43,28,19,1.8,57,46,0,333,0,24,1,5,0,34,156,60,72,0,14.333,6.333,9.333,720:00,119,239,43,96,47,64,23,93,70,54,29,12,65,328,0,2,116,,143,1.63,3,1,2
3412,Houston Rockets,Rockets,Rockets,11405:00,1948,4216,0.462,566,1616,0.35,1382,2600,262,869,1112,0.781,497,1632,2129,573,349,208,2.06,1008,63,6,5331,37,385,19,23,10,660,2370,634,748,3,12.19,4.43,7.43,11405.0,1885,4112,583,1693,933,1246,485,1607,1152,605,333,262,952,5286,3,8,2092,,2419,1.9,47,25,22
3415,Memphis Grizzlies,Grizzlies,Grizzlies,11570:00,1861,4244,0.439,648,1878,0.345,1213,2366,316,784,1016,0.772,483,1545,2028,663,374,302,1.8,957,41,5,5154,23,443,15,37,5,590,2176,622,834,1,13.81,6.29,7.79,11570.0,1954,4171,634,1673,859,1095,499,1697,1244,699,377,316,922,5401,0,4,2196,,2498,1.78,48,30,18
5539,New Orleans Pelicans,Pelicans,Pelicans,11545:00,2050,4210,0.487,583,1537,0.379,1467,2673,245,909,1190,0.764,524,1615,2139,613,384,228,2.09,932,38,1,5592,22,387,14,29,6,668,2480,689,794,0,12.77,4.75,8.0,11545.0,1961,4232,653,1892,842,1068,484,1551,1283,625,318,245,932,5417,2,5,2035,,2340,2.05,48,21,27
3413,Sacramento Kings,Kings,Kings,11165:00,2004,4185,0.479,687,1857,0.37,1317,2328,224,738,1010,0.731,485,1520,2005,584,319,186,2.26,927,38,1,5433,23,397,13,33,6,606,2350,648,713,1,12.7,4.04,6.93,11165.0,1959,4052,624,1589,859,1069,426,1545,1267,602,325,224,879,5401,0,4,1971,,2463,2.1,46,19,27
3434,Utah Jazz,Jazz,Jazz,960:00,163,349,0.467,58,160,0.363,105,189,20,79,91,0.868,47,121,168,53,30,31,1.88,80,33,0,463,1,26,1,3,1,49,192,66,71,0,13.25,7.75,7.5,960:00,177,358,59,143,69,86,41,125,116,49,21,20,75,482,1,1,166,,215,2.49,4,2,2
3411,Dallas Mavericks,Mavericks,Mavericks,11520:00,2046,4317,0.474,721,1946,0.371,1325,2371,190,863,1141,0.756,485,1502,1987,570,313,208,2.14,926,53,1,5676,37,406,16,21,2,721,2214,647,799,1,11.88,4.33,6.52,11520.0,2106,4323,637,1722,845,1113,550,1646,1320,637,344,190,1038,5694,1,8,2196,,2601,2.07,48,22,26
3429,San Antonio Spurs,Spurs,Spurs,11570:00,2019,4369,0.462,603,1750,0.345,1416,2619,219,762,974,0.782,486,1577,2063,689,350,288,2.04,885,19,4,5403,13,368,5,22,5,758,2446,603,769,0,14.35,6.0,7.29,11570.0,2150,4393,657,1697,855,1101,531,1686,1346,628,404,219,885,5812,0,5,2217,,2696,2.14,48,38,10
3414,Portland Trail Blazers,Trail Blazers,Trail Blazers,985:00,150,360,0.417,44,135,0.326,106,225,30,72,94,0.766,59,112,171,62,36,18,1.61,67,36,0,416,1,32,2,1,0,56,176,83,72,0,15.5,4.5,9,985:00,174,348,42,124,65,78,45,137,108,60,38,30,77,455,0,1,182,,224,1.96,4,3,1
3425,LA Clippers,LA Clippers,Clippers,11065:00,1991,4035,0.493,599,1526,0.393,1392,2509,220,851,1050,0.81,484,1517,2001,556,370,247,2.16,902,32,3,5432,21,363,11,39,5,692,2374,621,805,0,12.09,5.37,8.04,11065.0,1881,4067,571,1614,807,1040,509,1409,1187,600,318,220,904,5140,1,5,1918,,2453,1.98,46,15,31
3420,Philadelphia 76ers,76ers,76ers,985:00,161,353,0.456,39,115,0.339,122,238,18,124,138,0.899,43,128,171,53,39,20,2.19,94,48,0,485,3,31,1,3,1,78,214,64,70,0,13.25,5,9.75,985:00,174,362,42,123,86,110,49,135,117,55,27,18,95,476,1,1,184,,239,1.85,4,2,2
3410,Milwaukee Bucks,Bucks,Bucks,11595:00,2138,4304,0.497,683,1809,0.378,1455,2495,210,987,1268,0.778,457,1675,2132,603,316,259,2.11,974,69,0,5946,40,414,26,18,2,639,2378,659,663,2,12.56,5.4,6.58,11595.0,2144,4522,570,1636,899,1103,523,1584,1279,531,328,210,981,5757,2,4,2107,,2886,2.41,48,16,32
