ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Tabara M.,Kafelnikov Y.,125,2,6,4,6,2,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Delgado J.,Black B.,162,67,6,2,7,6,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Hantschk M.,Tieleman L.,128,89,7,6,6,3,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Voinea A.,121,100,7,6,6,4,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Jonsson F.,Kroslak J.,127,103,6,3,6,3,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Lopez-Moron A.,99,113,6,4,6,2,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Manta L.,Zib T.,117,115,7,5,6,2,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Damm M.,Rochus C.,104,120,6,3,6,0,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Behrend T.,Popp A.,116,124,6,4,4,6,6,1,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Ketola T.,Ogorodov O.,163,135,7,5,4,6,6,4,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Paes L.,Boutter J.,145,137,6,4,7,6,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Golmard J.,Spottl M.,38,200,6,3,6,4,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Vanek J.,Ishii Y.,160,238,6,3,6,4,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Stanoytchev O.,Kilderry P.,111,342,6,4,7,6,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Pioline C.,Ram A.,14,414,6,3,6,1,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,1st Round,3,Agenor R.,Kumar S.,94,1198,6,4,6,4,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,2nd Round,3,Damm M.,Agenor R.,104,94,4,6,6,2,6,1,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,2nd Round,3,Sanguinetti D.,Vinciguerra A.,121,99,2,6,7,5,6,3,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,2nd Round,3,Delgado J.,Stanoytchev O.,162,111,4,6,6,2,6,3,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,2nd Round,3,Hantschk M.,Behrend T.,128,116,6,3,4,6,6,3,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,2nd Round,3,Manta L.,Tabara M.,117,125,6,4,6,3,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,2nd Round,3,Golmard J.,Jonsson F.,38,127,6,2,6,3,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,2nd Round,3,Pioline C.,Paes L.,14,145,6,3,6,4,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,2nd Round,3,Ketola T.,Vanek J.,163,160,4,6,6,4,6,4,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,Quarterfinals,3,Damm M.,Manta L.,104,117,6,4,6,4,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,Quarterfinals,3,Pioline C.,Sanguinetti D.,14,121,3,6,6,4,7,6,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,Quarterfinals,3,Golmard J.,Delgado J.,38,162,6,3,6,4,,,,,,,2,0,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,Quarterfinals,3,Hantschk M.,Ketola T.,128,163,5,7,7,5,6,2,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,Semifinals,3,Hantschk M.,Pioline C.,128,14,6,4,2,6,7,6,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,Semifinals,3,Golmard J.,Damm M.,38,104,3,6,6,3,6,3,,,,,2,1,Completed
2,Chennai,Gold Flake Open,03/01/00,International,Outdoor,Hard,The Final,3,Golmard J.,Hantschk M.,38,128,6,3,6,7,6,3,,,,,2,1,Completed
