ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
67,Houston,Masters Cup,10/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Nalbandian D.,Ferrero J.C.,8,2,6,3,6,1,,,,,,,2,0,Completed,2.25,1.571,2.4,1.57,2.3,1.45,2.375,1.533,,
67,Houston,Masters Cup,11/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Federer R.,Agassi A.,3,5,6,7,6,3,7,6,,,,,2,1,Completed,1.727,2,1.85,1.95,1.7,1.9,1.833,1.833,,
67,Houston,Masters Cup,11/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Schuettler R.,Coria G.,6,4,6,3,4,6,6,2,,,,,2,1,Completed,2.5,1.5,2.45,1.55,2.1,1.55,2.25,1.571,,
67,Houston,Masters Cup,12/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Roddick A.,Moya C.,1,7,6,2,3,6,6,3,,,,,2,1,Completed,1.2,4.333,1.25,3.85,1.25,3.2,1.25,3.5,,
67,Houston,Masters Cup,12/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Federer R.,Nalbandian D.,3,8,6,3,6,0,,,,,,,2,0,Completed,1.727,2,1.72,2.12,1.7,1.9,1.727,2,,
67,Houston,Masters Cup,13/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Agassi A.,Ferrero J.C.,5,2,2,6,6,3,6,4,,,,,2,1,Completed,1.571,2.25,1.53,2.5,1.4,2.5,1.5,2.5,,
67,Houston,Masters Cup,13/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Schuettler R.,Roddick A.,6,1,4,6,7,6,7,6,,,,,2,1,Completed,3.25,1.333,3.25,1.35,2.7,1.35,3.25,1.286,,
67,Houston,Masters Cup,13/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Coria G.,Moya C.,4,7,6,2,6,3,,,,,,,2,0,Completed,2.1,1.667,2.35,1.6,2,1.6,2.2,1.615,,
67,Houston,Masters Cup,14/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Agassi A.,Nalbandian D.,5,8,7,6,3,6,6,4,,,,,2,1,Completed,1.444,2.625,1.4,2.9,1.45,2.3,1.444,2.625,,
67,Houston,Masters Cup,14/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Federer R.,Ferrero J.C.,3,2,6,3,6,1,,,,,,,2,0,Completed,1.4,2.75,,,1.35,2.7,1.4,2.75,,
67,Houston,Masters Cup,14/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Moya C.,Schuettler R.,7,6,7,5,6,4,,,,,,,2,0,Completed,2.25,1.571,,,2.1,1.55,2.25,1.571,,
67,Houston,Masters Cup,15/11/03,Masters Cup,Outdoor,Hard,Round Robin,3,Roddick A.,Coria G.,1,4,6,3,6,7,6,3,,,,,2,1,Completed,1.333,3.25,1.42,2.85,1.4,2.5,1.364,2.875,,
67,Houston,Masters Cup,15/11/03,Masters Cup,Outdoor,Hard,Semifinals,3,Agassi A.,Schuettler R.,5,6,5,7,6,0,6,4,,,,,2,1,Completed,1.444,2.625,1.4,2.9,1.4,2.5,1.364,2.875,,
67,Houston,Masters Cup,16/11/03,Masters Cup,Outdoor,Hard,Semifinals,3,Federer R.,Roddick A.,3,1,7,6,6,2,,,,,,,2,0,Completed,1.667,2.1,1.7,2.15,1.65,1.95,1.615,2.2,,
67,Houston,Masters Cup,17/11/03,Masters Cup,Outdoor,Hard,The Final,5,Federer R.,Agassi A.,3,5,6,3,6,0,6,4,,,,,3,0,Completed,1.5,2.5,1.48,2.65,1.4,2.5,1.444,2.625,,
