ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Bachelot J.F,Radic M.,197,191,6,4,6,2,,,,,,,2,0,Completed,,,2.2,1.6,2.1,1.57,1.85,1.65,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Balcells J.,Dupuis A.,105,67,7,5,6,4,,,,,,,2,0,Completed,,,1.85,1.85,1.9,1.75,1.7,1.8,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Blanco G.,Lee H.T.,95,91,6,3,6,3,,,,,,,2,0,Completed,,,1.6,2.2,1.6,2.1,1.5,2.1,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Calleri A.,Hipfl M.,61,84,6,0,6,2,,,,,,,2,0,Completed,,,1.57,2.25,1.5,2.3,1.6,1.9,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Gaudio G.,Vicente F.,37,73,0,6,6,3,6,2,,,,,2,1,Completed,,,1.33,3,1.3,3,1.3,2.7,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Hrbaty D.,Coria G.,63,154,6,0,1,0,,,,,,,1,0,Retired,,,2.25,1.58,2.2,1.5,1.9,1.6,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Kuerten G.,Davydenko N.,2,83,6,2,6,3,,,,,,,2,0,Completed,,,1.38,2.85,1.33,2.85,1.3,2.7,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Montanes A.,Russell M.,62,98,6,7,7,6,6,4,,,,,2,1,Completed,,,1.4,2.7,1.37,2.7,1.3,2.7,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Nadal-Parera R.,Delgado R.,762,81,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Nieminen J.,Sa A.,54,85,6,1,6,2,,,,,,,2,0,Completed,,,1.42,2.65,1.35,2.75,1.35,2.5,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Norman M.,Albert M.,158,340,6,3,6,4,,,,,,,2,0,Completed,,,1.28,3.3,1.33,2.8,1.25,3,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Pioline C.,Acasuso J.,94,107,6,3,6,7,6,4,,,,,2,1,Completed,,,1.85,1.85,1.66,2,1.6,1.9,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Rochus C.,Pless K.,82,66,7,6,2,6,6,2,,,,,2,1,Completed,,,2.45,1.48,2.6,1.4,2.3,1.4,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Rochus O.,Schalken S.,70,33,6,2,3,6,7,5,,,,,2,1,Completed,,,2.1,1.65,2,1.66,1.85,1.65,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Sanchez D.,Srichaphan P.,74,69,6,2,6,4,,,,,,,2,0,Completed,,,1.25,3.5,1.25,3.3,1.25,3,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,1st Round,3,Zabaleta M.,Portas A.,68,30,6,1,6,4,,,,,,,2,0,Completed,,,1.85,1.85,1.83,1.83,1.8,1.7
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,2nd Round,3,Calleri A.,Balcells J.,61,105,6,3,6,1,,,,,,,2,0,Completed,,,1.55,2.3,1.57,2.1,1.5,2.1
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,2nd Round,3,Gaudio G.,Pioline C.,37,94,6,1,6,3,,,,,,,2,0,Completed,,,1.45,2.55,1.41,2.55,1.35,2.5
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,2nd Round,3,Hrbaty D.,Rochus C.,63,82,6,4,6,4,,,,,,,2,0,Completed,,,1.35,2.9,1.3,3,1.25,3
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,2nd Round,3,Kuerten G.,Norman M.,2,158,6,1,5,7,6,3,,,,,2,1,Completed,,,1.42,2.65,1.35,2.8,1.4,2.3
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,2nd Round,3,Nieminen J.,Blanco G.,54,95,6,0,6,3,,,,,,,2,0,Completed,,,1.48,2.45,1.44,2.45,1.45,2.2
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,2nd Round,3,Rochus O.,Nadal-Parera R.,70,762,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,2nd Round,3,Sanchez D.,Montanes A.,74,62,7,6,6,4,,,,,,,2,0,Completed,,,1.9,1.8,1.81,1.81,1.75,1.75
26,Mallorca,Mallorca Open,29/04/02,International,Outdoor,Clay,2nd Round,3,Zabaleta M.,Bachelot J.F,68,197,4,6,7,5,6,0,,,,,2,1,Completed,,,1.33,3,1.3,3,1.3,2.7
