iter	Accuracy	MultiClass
0	0.6726190476	1.071775618
1	0.7142857143	1.045142043
2	0.7380952381	1.01291659
3	0.744047619	0.9888312957
4	0.7738095238	0.9653681134
5	0.7976190476	0.944859251
6	0.8035714286	0.9205495027
7	0.8154761905	0.9015999327
8	0.8511904762	0.8805126765
9	0.8452380952	0.8657870302
10	0.8511904762	0.8453640898
11	0.8511904762	0.8286746578
12	0.8392857143	0.8122151199
13	0.8392857143	0.7997955952
14	0.8452380952	0.784088363
15	0.8511904762	0.7711677506
16	0.8630952381	0.7592283217
17	0.8630952381	0.7456008331
18	0.880952381	0.7305004263
19	0.880952381	0.7174558479
20	0.880952381	0.7051350485
21	0.869047619	0.6963661413
22	0.880952381	0.6846323534
23	0.875	0.6777506284
24	0.8928571429	0.6634490531
25	0.8869047619	0.6541998167
26	0.9047619048	0.641908258
27	0.9047619048	0.6304598215
28	0.9107142857	0.6220126847
29	0.9226190476	0.6102593212
30	0.9226190476	0.601147153
31	0.9226190476	0.5915024792
32	0.9345238095	0.581121267
33	0.9285714286	0.5728295732
34	0.9345238095	0.5631905669
35	0.9345238095	0.5545036643
36	0.9345238095	0.5454901075
37	0.9345238095	0.5367802158
38	0.9404761905	0.5287592306
39	0.9464285714	0.5204435433
40	0.9464285714	0.5117935551
41	0.9464285714	0.5048574613
42	0.9464285714	0.4965707492
43	0.9523809524	0.4878019282
44	0.9583333333	0.4810220533
45	0.9523809524	0.4733382192
46	0.9523809524	0.465140447
47	0.9583333333	0.4588563395
48	0.9702380952	0.4525860596
49	0.9761904762	0.445416706
50	0.9761904762	0.4397671001
51	0.9821428571	0.4333200855
52	0.9880952381	0.4272174392
53	0.9880952381	0.4220110554
54	0.9880952381	0.4165738607
55	0.9880952381	0.4114050441
56	0.9880952381	0.4066461441
57	0.9880952381	0.4007141853
58	0.9880952381	0.3954608984
59	0.9880952381	0.3908101498
60	0.9880952381	0.3859240784
61	0.9880952381	0.3817244863
62	0.9880952381	0.3776693925
63	0.9880952381	0.3726803872
64	0.9880952381	0.3682563291
65	0.9880952381	0.3642524341
66	0.9880952381	0.3600821355
67	0.9880952381	0.3564610411
68	0.9880952381	0.3527175644
69	0.9821428571	0.3487702427
70	0.9880952381	0.3440269868
71	0.9880952381	0.3404950905
72	0.9880952381	0.3376173591
73	0.9880952381	0.3336307391
74	0.9880952381	0.3304010635
75	0.9880952381	0.327721316
76	0.994047619	0.3241916723
77	0.994047619	0.320784744
78	0.9880952381	0.3179453656
79	0.994047619	0.3144499797
80	0.994047619	0.3112954896
81	0.994047619	0.3084672153
82	0.994047619	0.3052184496
83	0.994047619	0.3023248503
84	0.994047619	0.2983723671
85	0.994047619	0.2960097515
86	0.994047619	0.2932129738
87	0.9880952381	0.2898295155
88	0.9880952381	0.287635116
89	0.994047619	0.2842900854
90	0.994047619	0.282418467
91	0.994047619	0.2793789928
92	0.994047619	0.2762395872
93	0.994047619	0.2733468844
94	0.994047619	0.271704953
95	0.994047619	0.2698344687
96	0.994047619	0.2673734317
97	0.994047619	0.2650397583
98	0.994047619	0.2631594107
99	0.994047619	0.2602449058
100	0.994047619	0.2574758854
101	0.994047619	0.255138888
102	0.994047619	0.2530348067
103	0.994047619	0.2507644022
104	0.994047619	0.2490453422
105	0.994047619	0.2468884034
106	0.994047619	0.2449415486
107	0.994047619	0.2428557017
108	0.994047619	0.2412329932
109	0.994047619	0.2393285247
110	0.994047619	0.2377709528
111	0.994047619	0.235407912
112	0.994047619	0.2340797698
113	0.994047619	0.2322892436
114	0.994047619	0.2305823182
115	0.994047619	0.2289532808
116	0.994047619	0.2275115427
117	0.994047619	0.2258257117
118	0.994047619	0.224633974
119	0.994047619	0.223118889
120	0.994047619	0.2212778995
121	0.994047619	0.2193727946
122	0.994047619	0.2175347324
123	0.994047619	0.2153329749
124	0.994047619	0.2135957652
125	0.994047619	0.2121152881
126	0.994047619	0.2100746017
127	0.994047619	0.2083464946
128	0.994047619	0.2069710084
129	0.994047619	0.2058020391
130	0.994047619	0.20412963
131	0.994047619	0.2022103193
132	0.994047619	0.2013625827
133	0.994047619	0.2001856723
134	0.994047619	0.1988931509
135	0.994047619	0.1977586887
136	0.994047619	0.1965118399
137	0.994047619	0.1954184333
138	0.994047619	0.1943560122
139	0.994047619	0.1929306829
140	0.994047619	0.1910450795
141	0.994047619	0.1900328357
142	0.994047619	0.1893094993
143	0.994047619	0.1883270257
144	0.994047619	0.1876617427
145	0.994047619	0.1866005493
146	0.994047619	0.1856036924
147	0.994047619	0.1840938352
148	0.994047619	0.1831640961
149	0.994047619	0.182258543
150	0.994047619	0.1811322515
151	1	0.1804337931
152	1	0.1795264651
153	1	0.178300222
154	1	0.1773925512
155	1	0.1767337823
156	1	0.1758739598
157	1	0.1750285853
158	1	0.1737900789
159	1	0.1727452775
160	1	0.1717651154
161	1	0.1706230907
162	1	0.1695250836
163	1	0.1677379152
164	1	0.1671432179
165	1	0.1664046084
166	1	0.1658398119
167	1	0.1643902895
168	1	0.1634488188
169	1	0.1621506397
170	1	0.1612073616
171	1	0.1602805426
172	1	0.1597593141
173	1	0.1586256981
174	1	0.1581236861
175	1	0.1569316283
176	1	0.1561346377
177	1	0.1550611137
178	1	0.1540182084
179	1	0.153004631
180	1	0.1521819769
181	1	0.1512253591
182	1	0.1504110366
183	1	0.1496176958
184	1	0.1483891138
185	1	0.1475845641
186	1	0.1468314837
187	1	0.1463767625
188	1	0.1456410275
189	1	0.1448771202
190	1	0.1444413289
191	1	0.1438746749
192	1	0.1431093622
193	1	0.1422738882
194	1	0.1412798789
195	1	0.1407026785
196	1	0.1400485466
197	1	0.1393259093
198	1	0.1386387095
199	1	0.1377261492
200	1	0.1368167744
201	1	0.1356319241
202	1	0.134857571
203	1	0.1340888449
204	1	0.1331701725
205	1	0.1323895478
206	1	0.1312933949
207	1	0.1306785062
208	1	0.1301889152
209	1	0.1298315477
210	1	0.1290932923
211	1	0.1285072136
212	1	0.1282026881
213	1	0.1275215895
214	1	0.1268791176
215	1	0.1262618109
216	1	0.1256693426
217	1	0.1252403189
218	1	0.1246509035
219	1	0.124329168
220	1	0.1234573283
221	1	0.122795572
222	1	0.1222022729
223	1	0.1215766676
224	1	0.1210600108
225	1	0.1203248949
226	1	0.1198392845
227	1	0.1191142565
228	1	0.1184183652
229	1	0.1175239753
230	1	0.1170172767
231	1	0.1163397214
232	1	0.1157726017
233	1	0.1152203696
234	1	0.1146823678
235	1	0.1144012956
236	1	0.1139605822
237	1	0.1133208996
238	1	0.1128588871
239	1	0.1123265722
240	1	0.1120600179
241	1	0.1115900035
242	1	0.1113227258
243	1	0.1106714128
244	1	0.1104143255
245	1	0.1098152373
246	1	0.1092563015
247	1	0.1087997413
248	1	0.108553429
249	1	0.107977737
250	1	0.1075016201
251	1	0.1070369574
252	1	0.1065196516
253	1	0.106057713
254	1	0.1058228459
255	1	0.1054068712
256	1	0.1049634763
257	1	0.1045600781
258	1	0.1040312823
259	1	0.1036397369
260	1	0.1034140342
261	1	0.1031939139
262	1	0.1027642269
263	1	0.1023854981
264	1	0.1019170318
265	1	0.1015162777
266	1	0.101065482
267	1	0.1008558879
268	1	0.1002910096
269	1	0.09988821406
270	1	0.09943137961
271	1	0.09894080597
272	1	0.09848508262
273	1	0.09828466649
274	1	0.09790546043
275	1	0.09737744064
276	1	0.09694657525
277	1	0.09652440064
278	1	0.09616725612
279	1	0.09597525364
280	1	0.09556491532
281	1	0.09514730291
282	1	0.09463879388
283	1	0.09429430752
284	1	0.09395536311
285	1	0.0936320288
286	1	0.09319466322
287	1	0.09276710613
288	1	0.09258580662
289	1	0.09227765999
290	1	0.09186427837
