league_name,country_name,link
Super Rugby Aotearoa 2021,,/results/super-rugby-aotearoa-2021
NHL 2020/21,,/results/nhl-2020
6 Nations 2021,,/results/6-nations-2021
AFLW 2021,,/results/aflw-2021
W-League 2020/21,,/results/wleague-2020
A-League 2020/21,,/results/aleague-2020
AFL 2021,,/results/afl-2021
NBL 2020/21,,/results/nbl-2020
NRL 2021,,/results/nrl-2021
NBA 2020/21,,/results/nba-2020
WNBL 2020,,/results/wnbl-2020
BBL 2020/21,,/results/bbl-2020
WBBL 2020,,/results/wbbl-2020
Premiership Rugby 2020/21,,/results/premiership-rugby-2020
Autumn Nations Cup 2020,,/results/autumn-nations-cup-2020
UEFA Europa League 2020/21,,/results/europa-league-2020
UEFA Champions League 2020/21,,/results/champions-league-2020
Primeira Liga 2020/21,,/results/primeira-liga-2020
Turkish Super Lig 2020/21,,/results/super-lig-2020
NZ Provincial Rugby 2020,,/results/nz-provincial-rugby-2020
La Liga 2020/21,,/results/la-liga-2020
Serie A 2020/21,,/results/serie-a-2020
Bundesliga 2020/21,,/results/bundesliga-2020
EFL Championship 2020/21,,/results/championship-2020
English Premier League 2020/21,,/results/epl-2020
WNBA 2020,,/results/wnba-2020
Ligue 1 2020/21,,/results/ligue-1-2020
Super Rugby AU 2020,,/results/super-rugby-au-2020
Super Rugby Aotearoa 2020,,/results/super-rugby-aotearoa-2020
NFL 2020,,/results/nfl-2020
Indian Premier League 2020,,/results/ipl-2020
ICC Women's T20 World Cup 2020,,/results/womens-t20-world-cup-2020
Super Netball 2020,,/results/super-netball-2020
WAFL 2020,,/results/wafl-2020
SANFL 2020,,/results/sanfl-2020
QAFL 2020,,/results/qafl-2020
MLB 2020,,/results/mlb-2020
Super Rugby 2020,,/results/super-rugby-2020
UEFA Euro 2020,,/results/uefa-euro-2020
AFLW 2020,,/results/aflw-2020
6 Nations 2020,,/results/6-nations-2020
NRL 2020,,/results/nrl-2020
AFL 2020,,/results/afl-2020
W-League 2019/20,,/results/wleague-2019
WNBL 2019/20,,/results/wnbl-2019
A-League 2019/20,,/results/aleague-2019
UEFA Europa League 2019/20,,/results/europa-league-2019
UEFA Champions League 2019/20,,/results/champions-league-2019
WBBL 2019,,/results/wbbl-2019
NBA 2019/20,,/results/nba-2019
Serie A 2019/20,,/results/serie-a-2019
EFL Championship 2019/20,,/results/championship-2019
BBL 2019/20,,/results/bbl-2019
Ligue 1 2019/20,,/results/ligue-1-2019
La Liga 2019/20,,/results/la-liga-2019
Turkish Super Lig 2019/20,,/results/super-lig-2019
Premiership Rugby 2019/20,,/results/premiership-rugby-2019
FFA Cup 2019,,/results/ffa-cup-2019
Bundesliga 2019/20,,/results/bundesliga-2019
NHL 2019/20,,/results/nhl-2019
NFL 2019,,/results/nfl-2019
FIBA Basketball World Cup 2019,,/results/fiba-basketball-world-cup-2019
NZ Provincial Rugby 2019,,/results/nz-provincial-rugby-2019
