ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Boutter J.,Golmard J.,67,59,7,6,6,4,,,,,,,2,0,Completed,2.1,1.65,2.15,1.5,2,1.45,2.25,1.57
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Bruguera S.,Levy H.,80,61,3,6,7,6,6,4,,,,,2,1,Completed,2.2,1.6,2.2,1.47,1.9,1.5,2.2,1.62
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Federer R.,Schuettler R.,27,48,6,3,6,4,,,,,,,2,0,Completed,1.4,2.7,1.4,2.4,1.4,2.1,1.4,2.75
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Gambill J.M.,Schalken S.,30,28,6,1,6,7,6,2,,,,,2,1,Completed,1.75,1.95,1.57,2,1.6,1.8,1.62,2.2
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Heuberger I.,Dosedel S.,190,87,6,2,7,6,,,,,,,2,0,Completed,2.25,1.55,1.95,1.6,1.85,1.55,,
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Ivanisevic G.,Kiefer N.,123,33,2,6,6,2,6,3,,,,,2,1,Completed,3.5,1.25,2.6,1.35,2.4,1.3,2.88,1.36
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Kafelnikov Y.,Tarango J.,7,111,4,6,6,4,6,2,,,,,2,1,Completed,,,1.2,3.35,1.2,2.8,,
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Malisse X.,Gaudenzi A.,124,103,7,5,6,2,,,,,,,2,0,Completed,,,1.7,1.8,1.7,1.7,,
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Medvedev A.,Pavel A.,58,23,7,6,2,6,7,6,,,,,2,1,Completed,2.4,1.5,2.1,1.5,1.9,1.5,2.25,1.57
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Rosset M.,Ljubicic I.,29,90,4,6,7,6,6,4,,,,,2,1,Completed,1.45,2.5,1.47,2.2,1.5,1.9,1.62,2.2
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Rusedski G.,Pozzi G.,52,40,6,1,7,5,,,,,,,2,0,Completed,1.33,3,1.35,2.55,1.3,2.4,1.25,3.5
8,Milan,Milan Indoors,29/01/01,International,Indoor,Carpet,1st Round,3,Safin M.,Prinosil D.,1,32,6,4,7,5,,,,,,,2,0,Completed,1.33,3,1.25,3,1.2,2.8,1.25,3.5
