ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Acasuso J.,Norman D.,56,117,6,3,6,2,,,,,,,2,0,Completed,1.333,3,1.3,3.3,1.3,3,1.3,2.7,1.25,3.5
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Blanco G.,Perez D.,146,162,7,6,6,0,,,,,,,2,0,Completed,,,1.62,2.2,,,1.45,2.2,,
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,di Pasquale A.,Coutelot N.,122,102,6,2,6,1,,,,,,,2,0,Completed,,,1.75,2,,,1.6,1.9,,
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Ferrer D.,Gaudenzi A.,81,118,4,6,6,1,6,0,,,,,2,1,Completed,,,1.68,2.1,1.67,2.07,1.65,1.85,1.667,2.1
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Giner J.,Krajan Z.,206,101,6,3,6,4,,,,,,,2,0,Completed,2.75,1.4,2.55,1.48,2.76,1.42,2.1,1.5,2.875,1.364
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Hanescu V.,Balcells J.,214,109,7,6,1,1,,,,,,,1,0,Retired,2,1.727,2,1.75,1.95,1.72,1.85,1.65,1.833,1.833
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Kratochvil M.,Lisnard J.,37,107,6,4,7,6,,,,,,,2,0,Completed,1.533,2.375,1.62,2.2,1.55,2.15,1.5,2.1,,
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Labadze I.,Voinea A.,97,62,7,6,6,1,,,,,,,2,0,Completed,2.1,1.667,2,1.75,2.23,1.57,2.1,1.5,2.1,1.667
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Mantilla F.,Marin J.A.,40,185,7,5,6,2,,,,,,,2,0,Completed,1.333,3,1.4,2.8,1.37,2.7,1.35,2.5,,
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Melzer J.,Montanes A.,98,64,6,4,6,4,,,,,,,2,0,Completed,2.25,1.571,2.3,1.57,2.05,1.63,2,1.55,2.2,1.615
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Pavel A.,Martin A.,33,65,6,1,6,3,,,,,,,2,0,Completed,1.571,2.25,1.57,2.3,1.55,2.15,1.55,2,1.533,2.375
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Portas A.,Moldovan I.,88,562,6,2,4,6,6,3,,,,,2,1,Completed,1.222,3.75,1.28,3.4,1.3,2.9,1.25,3,,
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Rochus C.,Trifu G.,110,177,7,5,5,5,,,,,,,1,0,Retired,1.444,2.625,1.57,2.3,1.53,2.45,1.55,2,1.5,2.5
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Sanchez D.,Pioline C.,71,123,3,6,6,1,6,2,,,,,2,1,Completed,,,1.48,2.55,1.45,2.35,1.4,2.3,,
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Squillari F.,Vinciguerra A.,100,99,6,3,6,1,,,,,,,2,0,Completed,1.364,2.875,1.4,2.8,1.5,2.3,1.4,2.3,,
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,1st Round,3,Vicente F.,Elsner D.,43,316,1,6,6,3,6,2,,,,,2,1,Completed,,,1.4,2.7,1.32,3,1.3,2.7,,
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,2nd Round,3,Acasuso J.,Hanescu V.,56,214,6,4,6,2,,,,,,,2,0,Completed,1.286,3.5,1.25,3.7,1.28,3.3,1.25,3,1.222,3.75
52,Bucharest,Open Romania,09/09/02,International,Outdoor,Clay,2nd Round,3,Blanco G.,Mantilla F.,146,40,6,1,4,6,6,2,,,,,2,1,Completed,3.5,1.286,3.5,1.28,2.91,1.35,2.7,1.3,3.5,1.25
