ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
17,Delray Beach,International Championships,03/03/03,International,Outdoor,Hard,1st Round,3,Lee H.T.,Sa A.,63,71,7,5,6,2,,,,,,,2,0,Completed,1.364,2.875,,,1.3,2.7,1.4,2.75,1.3,2.85
17,Delray Beach,International Championships,03/03/03,International,Outdoor,Hard,1st Round,3,Lisnard J.R.,Burgsmuller L.,87,103,6,2,4,6,6,2,,,,,2,1,Completed,1.667,2.1,,,1.55,2,1.667,2.1,1.57,1.98
17,Delray Beach,International Championships,04/03/03,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Kiefer N.,39,78,6,2,6,4,,,,,,,2,0,Completed,,,,,1.25,3,,,1.2,3.45
17,Delray Beach,International Championships,04/03/03,International,Outdoor,Hard,1st Round,3,Gimelstob J.,Bogomolov Jr. A.,89,141,6,4,6,0,,,,,,,2,0,Completed,1.5,2.5,,,1.45,2.2,,,1.46,2.2
17,Delray Beach,International Championships,04/03/03,International,Outdoor,Hard,1st Round,3,Labadze I.,Sluiter R.,104,53,7,6,7,5,,,,,,,2,0,Completed,2.5,1.5,,,2.2,1.45,2.625,1.444,2.7,1.33
17,Delray Beach,International Championships,04/03/03,International,Outdoor,Hard,1st Round,3,Martin A.,Vahaly B.,68,82,6,4,3,6,6,3,,,,,2,1,Completed,2.25,1.571,,,2.2,1.45,2.1,1.667,2.4,1.4
17,Delray Beach,International Championships,04/03/03,International,Outdoor,Hard,1st Round,3,Rios M.,Morrison J.,30,111,6,3,6,3,,,,,,,2,0,Completed,1.5,2.5,,,1.4,2.3,1.364,2.875,1.38,2.42
17,Delray Beach,International Championships,04/03/03,International,Outdoor,Hard,1st Round,3,Spadea V.,Llodra M.,55,109,6,3,6,0,,,,,,,2,0,Completed,1.533,2.375,,,1.5,2.1,,,1.48,2.17
17,Delray Beach,International Championships,04/03/03,International,Outdoor,Hard,1st Round,3,Verkerk M.,Mello R.,67,126,7,5,6,4,,,,,,,2,0,Completed,1.364,2.875,,,1.35,2.5,,,1.35,2.6
17,Delray Beach,International Championships,04/03/03,International,Outdoor,Hard,1st Round,3,Voltchkov V.,Kim A.,65,146,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,,,1.25,3,1.444,2.625,1.3,2.85
17,Delray Beach,International Championships,05/03/03,International,Outdoor,Hard,1st Round,3,Fish M.,Roddick A.,66,6,7,6,4,3,,,,,,,1,0,Retired,3,1.333,,,3,1.25,3,1.333,3,1.25
17,Delray Beach,International Championships,05/03/03,International,Outdoor,Hard,1st Round,3,Kendrick R.,Koubek S.,162,52,6,4,6,4,,,,,,,2,0,Completed,2.1,1.667,,,2,1.55,,,2.18,1.47
17,Delray Beach,International Championships,05/03/03,International,Outdoor,Hard,1st Round,3,Kratochvil M.,Clement A.,76,42,6,3,7,6,,,,,,,2,0,Completed,,,,,1.6,1.9,1.571,2.25,1.47,2.18
17,Delray Beach,International Championships,05/03/03,International,Outdoor,Hard,1st Round,3,Meligeni F.,Savolt A.,106,99,6,3,6,4,,,,,,,2,0,Completed,1.727,2,,,1.75,1.75,1.667,2.1,1.7,1.8
17,Delray Beach,International Championships,05/03/03,International,Outdoor,Hard,1st Round,3,Saretta F.,Goldstein P.,88,202,6,4,6,4,,,,,,,2,0,Completed,2,1.727,,,1.9,1.6,,,1.97,1.58
17,Delray Beach,International Championships,05/03/03,International,Outdoor,Hard,1st Round,3,Sargsian S.,Coria G.,83,33,7,5,6,2,,,,,,,2,0,Completed,2.625,1.444,,,2.2,1.45,2.625,1.444,2.35,1.41
17,Delray Beach,International Championships,05/03/03,International,Outdoor,Hard,2nd Round,3,Lee H.T.,Kratochvil M.,63,76,6,2,6,3,,,,,,,2,0,Completed,1.571,2.25,,,1.55,2,1.667,2.1,1.5,2.15
17,Delray Beach,International Championships,05/03/03,International,Outdoor,Hard,2nd Round,3,Rios M.,Verkerk M.,30,67,2,6,6,4,7,5,,,,,2,1,Completed,1.5,2.5,,,1.4,2.3,1.4,2.75,1.3,2.85
17,Delray Beach,International Championships,06/03/03,International,Outdoor,Hard,2nd Round,3,Fish M.,Meligeni F.,66,106,6,2,7,6,,,,,,,2,0,Completed,1.4,2.75,,,1.35,2.5,1.333,3,1.33,2.7
17,Delray Beach,International Championships,06/03/03,International,Outdoor,Hard,2nd Round,3,Gambill J.M.,Gimelstob J.,39,89,7,5,7,5,,,,,,,2,0,Completed,1.444,2.625,,,1.5,2.1,1.444,2.625,1.3,2.85
17,Delray Beach,International Championships,06/03/03,International,Outdoor,Hard,2nd Round,3,Kendrick R.,Lisnard J.R.,162,87,7,5,7,5,,,,,,,2,0,Completed,2.2,1.615,,,1.9,1.6,,,1.95,1.6
17,Delray Beach,International Championships,06/03/03,International,Outdoor,Hard,2nd Round,3,Martin A.,Labadze I.,68,104,6,4,6,2,,,,,,,2,0,Completed,1.833,1.833,,,1.75,1.75,1.727,2,1.75,1.75
