ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL
13,Buenos Aires,Copa Telmex,15/02/10,ATP250,Outdoor,Clay,1st Round,3,Hanescu V.,Schwank E.,45,81,905,608,6,3,7,5,,,,,,,2,0,Completed,2.2,1.61,2.15,1.65,2,1.72,2.42,1.649,2.1,1.667
13,Buenos Aires,Copa Telmex,15/02/10,ATP250,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Almagro N.,80,26,613,1370,6,7,7,6,6,3,,,,,2,1,Completed,5,1.14,4.25,1.2,4.5,1.167,4.88,1.227,4.5,1.167
13,Buenos Aires,Copa Telmex,15/02/10,ATP250,Outdoor,Clay,1st Round,3,Gil F.,Luczak P.,109,72,495,649,6,2,6,4,,,,,,,2,0,Completed,2.37,1.53,2.35,1.57,2.2,1.615,2.39,1.662,2.2,1.615
13,Buenos Aires,Copa Telmex,16/02/10,ATP250,Outdoor,Clay,1st Round,3,Daniel M.,Lorenzi P.,86,91,565,557,6,1,6,3,,,,,,,2,0,Completed,2,1.72,1.95,1.8,1.833,1.833,1.962,1.962,1.833,1.833
13,Buenos Aires,Copa Telmex,16/02/10,ATP250,Outdoor,Clay,1st Round,3,Ferrero J.C.,Mello R.,22,113,1760,484,6,1,6,2,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.222,4,1.204,5.29,1.2,4
13,Buenos Aires,Copa Telmex,16/02/10,ATP250,Outdoor,Clay,1st Round,3,Andujar P.,Hernandez O.,161,76,308,633,6,4,6,1,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,2.2,1.61,2.21,1.763,2.2,1.615
13,Buenos Aires,Copa Telmex,16/02/10,ATP250,Outdoor,Clay,1st Round,3,Andreev I.,Fognini F.,38,57,1040,780,7,5,7,6,,,,,,,2,0,Completed,1.44,2.62,1.5,2.5,1.444,2.625,1.602,2.53,1.5,2.5
13,Buenos Aires,Copa Telmex,16/02/10,ATP250,Outdoor,Clay,1st Round,3,Ventura S.,Koellerer D.,106,74,508,647,6,4,6,2,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,2,1.727,2.09,1.847,,
13,Buenos Aires,Copa Telmex,16/02/10,ATP250,Outdoor,Clay,1st Round,3,Chela J.I.,Gasquet R.,83,54,605,810,7,6,7,5,,,,,,,2,0,Completed,2.75,1.4,2.85,1.4,2.75,1.4,2.98,1.461,2.875,1.364
13,Buenos Aires,Copa Telmex,16/02/10,ATP250,Outdoor,Clay,1st Round,3,Granollers M.,Junqueira D.,105,187,508,255,6,1,6,2,,,,,,,2,0,Completed,1.4,2.75,1.45,2.6,1.444,2.625,1.476,2.92,1.4,2.75
