ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Boutter J.,Zabaleta M.,46,52,7,5,6,4,,,,,,,2,0,Completed,,,1.85,1.85,1.9,1.7,1.9,1.6,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Dupuis A.,Soderling R.,82,299,6,2,6,3,,,,,,,2,0,Completed,,,1.45,2.55,,,1.4,2.3,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Gambill J.M.,Vacek J.,53,81,6,3,3,6,6,3,,,,,2,1,Completed,,,1.53,2.35,1.5,2.25,1.55,2,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Gaudenzi A.,Rochus C.,54,77,7,6,6,1,,,,,,,2,0,Completed,,,1.35,2.9,1.33,2.8,1.3,2.7,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Hipfl M.,Ager J.,72,948,6,2,6,2,,,,,,,2,0,Completed,,,1.12,5.25,1.08,5.25,1.1,4.5,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Hrbaty D.,Davydenko N.,56,79,2,6,6,4,6,4,,,,,2,1,Completed,,,1.42,2.65,1.35,2.75,1.35,2.5,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Koubek S.,Bryan B.,39,195,6,3,7,5,,,,,,,2,0,Completed,,,1.22,3.75,1.2,3.75,1.2,3.3,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Labadze I.,Pless K.,89,70,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Lapentti N.,Kucera K.,31,73,6,3,2,6,6,0,,,,,2,1,Completed,,,,,,,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Melzer J.,Sargsian S.,138,69,6,0,6,2,,,,,,,2,0,Completed,,,1.8,1.9,1.8,1.8,1.7,1.8,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Montanes A.,Knowle J.,58,94,7,6,7,6,,,,,,,2,0,Completed,,,1.28,3.3,1.2,3.5,1.15,3.8,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Rochus O.,Russell M.,66,105,6,4,6,2,,,,,,,2,0,Completed,,,1.55,2.3,1.4,2.6,1.4,2.3,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Sanchez D.,Spadea V.,65,88,6,4,6,0,,,,,,,2,0,Completed,,,1.42,2.65,1.37,2.65,1.35,2.5,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Saretta F.,Delgado R.,85,84,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Savolt A.,Srichaphan P.,68,67,6,2,6,3,,,,,,,2,0,Completed,,,1.35,2.9,1.33,2.85,1.35,2.5,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,1st Round,3,Vicente F.,Portas A.,71,76,6,2,3,0,,,,,,,1,0,Retired,,,,,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,2nd Round,3,Hipfl M.,Koubek S.,72,39,6,4,6,2,,,,,,,2,0,Completed,,,1.75,1.95,1.7,1.9,1.65,1.85
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,2nd Round,3,Lapentti N.,Labadze I.,31,89,5,7,7,6,7,6,,,,,2,1,Completed,,,1.4,2.7,1.35,2.75,1.35,2.5
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,2nd Round,3,Melzer J.,Gaudenzi A.,138,54,6,3,7,5,,,,,,,2,0,Completed,,,2.85,1.36,3,1.3,2.7,1.3
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,2nd Round,3,Montanes A.,Savolt A.,58,68,7,6,4,1,,,,,,,1,0,Retired,,,1.48,2.45,1.55,2.15,1.45,2.2
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,2nd Round,3,Rochus O.,Gambill J.M.,66,53,7,5,2,6,6,4,,,,,2,1,Completed,,,1.7,2,1.55,2.15,1.5,2.1
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,2nd Round,3,Sanchez D.,Hrbaty D.,65,56,7,5,6,4,,,,,,,2,0,Completed,,,1.9,1.8,1.95,1.7,1.75,1.75
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,2nd Round,3,Saretta F.,Dupuis A.,85,82,6,4,6,1,,,,,,,2,0,Completed,,,,,1.9,1.7,1.75,1.75
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,2nd Round,3,Vicente F.,Boutter J.,71,46,4,6,6,2,6,4,,,,,2,1,Completed,,,2.3,1.55,2.35,1.45,2.5,1.35
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,Quarterfinals,3,Lapentti N.,Melzer J.,31,138,6,2,4,6,6,3,,,,,2,1,Completed,,,1.33,3,1.3,3,1.3,2.7
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,Quarterfinals,3,Rochus O.,Sanchez D.,66,65,7,5,4,0,,,,,,,1,0,Retired,,,2.2,1.6,1.9,1.71,1.85,1.65
30,St. Polten,Internationaler Raiffeisen Grand Prix,20/05/02,International,Outdoor,Clay,Quarterfinals,3,Saretta F.,Hipfl M.,85,72,6,3,1,6,6,4,,,,,2,1,Completed,,,2.3,1.55,2.15,1.55,2,1.55
