ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
30,St. Polten,Internationaler Raiffeisen Grand Prix,18/05/03,International,Outdoor,Clay,1st Round,3,Lisnard J.R.,Kratochvil M.,101,85,6,3,6,4,,,,,,,2,0,Completed,,,1.35,3,1.4,2.3,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,18/05/03,International,Outdoor,Clay,1st Round,3,Sanguinetti D.,Sargsian S.,87,67,7,5,7,6,,,,,,,2,0,Completed,,,2.75,1.4,2.3,1.4,3,1.333,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,18/05/03,International,Outdoor,Clay,1st Round,3,Sanchez D.,Hipfl M.,57,251,6,1,6,0,,,,,,,2,0,Completed,,,1.35,3,1.35,2.5,1.4,2.75,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Saretta F.,Sa A.,71,86,6,2,6,2,,,,,,,2,0,Completed,1.2,4,1.28,3.45,1.25,3,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Melzer J.,354,89,6,4,0,6,6,2,,,,,2,1,Completed,,,4,1.22,3.8,1.15,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Ancic M.,Dent T.,78,40,2,6,7,6,6,4,,,,,2,1,Completed,2.2,1.615,2.15,1.65,1.8,1.7,1.9,1.8,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Lee H.T.,Armando H.,60,495,4,6,6,4,6,3,,,,,2,1,Completed,1.533,2.375,1.45,2.65,1.4,2.3,,,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Hrbaty D.,Horna L.,63,88,6,3,7,5,,,,,,,2,0,Completed,1.727,2,1.68,2.1,1.65,1.85,1.727,2,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Verkerk M.,Kucera K.,56,48,6,2,6,1,,,,,,,2,0,Completed,1.533,2.375,1.55,2.35,1.55,2,1.571,2.25,,
30,St. Polten,Internationaler Raiffeisen Grand Prix,19/05/03,International,Outdoor,Clay,1st Round,3,Roddick A.,Martin A.,6,61,6,1,7,6,,,,,,,2,0,Completed,1.364,2.875,1.3,3.35,1.2,3.3,1.286,3.25,,
