ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Agenor R.,Rosset M.,97,34,6,3,2,0,,,,,,,1,0,Retired
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Sa A.,Ilie A.,84,39,4,6,6,3,7,6,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Wheaton D.,Vinciguerra A.,436,40,6,3,6,2,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Rusedski G.,Ferreira W.,20,42,7,5,6,4,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Gimelstob J.,Spadea V.,102,58,2,6,6,4,6,1,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Grosjean S.,Bastl G.,33,71,6,1,6,0,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Santoro F.,Goldstein P.,27,74,7,6,6,1,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Dupuis A.,Gustafsson M.,105,77,4,6,6,3,6,4,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Bryan B.,Sargsian S.,202,78,6,3,3,6,6,4,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Llodra M.,Rochus C.,169,86,5,7,6,4,6,3,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Gambill J.M.,Voinea A.,62,87,6,3,6,3,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Martin T.,Srichaphan P.,22,88,7,6,6,4,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Mirnyi M.,Hantschk M.,60,90,6,3,7,6,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Ivanisevic G.,Tieleman L.,63,91,7,5,7,5,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Philippoussis M.,Arthurs W.,17,95,6,3,7,5,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Boutter J.,Manta L.,92,103,6,2,6,4,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Black B.,Huet S.,64,106,6,3,6,1,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Pozzi G.,Siemerink J.,76,125,6,3,4,6,6,1,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Pavel A.,Sluiter R.,26,128,6,7,6,3,6,4,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Nestor D.,Lareau S.,163,137,6,4,2,6,7,6,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Kucera K.,Cowan B.,36,170,6,2,7,5,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Sanguinetti D.,Lee M.,104,289,6,7,6,4,6,2,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Parmar A.,Draper S.,157,400,7,6,2,6,6,0,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,1st Round,3,Knippschild J.,Witt A.,114,498,3,6,6,4,6,3,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Kucera K.,Enqvist T.,36,7,3,6,7,6,6,3,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Bryan B.,Henman T.,202,14,7,6,6,4,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Ivanisevic G.,Philippoussis M.,63,17,6,3,6,3,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Mirnyi M.,Martin T.,60,22,6,3,6,7,6,3,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Gimelstob J.,Santoro F.,102,27,4,6,6,4,6,0,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Sanguinetti D.,Grosjean S.,104,33,7,6,1,6,7,6,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Pioline C.,Gambill J.M.,6,62,5,7,6,2,6,3,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Pavel A.,Black B.,26,64,7,6,6,4,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Llodra M.,Sa A.,169,84,6,1,3,0,,,,,,,1,0,Retired
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Safin M.,Boutter J.,8,92,7,5,5,7,6,3,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Pozzi G.,Agenor R.,76,97,6,3,4,6,6,0,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Agassi A.,Dupuis A.,1,105,6,1,5,7,6,3,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Rusedski G.,Knippschild J.,20,114,7,6,7,6,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Sampras P.,Parmar A.,4,157,6,7,6,4,6,3,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Nestor D.,Hill M.,163,226,6,4,6,3,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,2nd Round,3,Hewitt L.,Wheaton D.,11,436,6,4,6,4,,,,,,,2,0,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,3rd Round,3,Pozzi G.,Agassi A.,76,1,4,6,3,2,,,,,,,0,1,Retired
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,3rd Round,3,Safin M.,Rusedski G.,8,20,6,7,7,6,6,4,,,,,2,1,Completed
34,Queens Club,Stella Artois,12/06/00,International,Outdoor,Grass,3rd Round,3,Pavel A.,Kucera K.,26,36,7,6,3,6,7,5,,,,,2,1,Completed
