ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Arthurs W.,Wessels P.,82,128,6,3,6,4,,,,,,,2,0,Completed,1.9,1.8,1.7,1.9,1.65,1.85,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Canas G.,Kiefer N.,17,42,6,3,6,2,,,,,,,2,0,Completed,1.65,2.1,1.6,2.05,1.55,2,1.615,2.2
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,El Aynaoui Y.,Squillari F.,33,51,7,6,6,4,,,,,,,2,0,Completed,1.28,3.25,1.25,3.2,1.25,3,1.333,3
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Enqvist T.,Tabara M.,20,65,7,5,6,3,,,,,,,2,0,Completed,1.14,4.9,1.13,4.33,1.1,4.5,1.143,5
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Ferreira W.,Rochus C.,30,87,7,5,6,2,,,,,,,2,0,Completed,1.28,3.25,1.3,2.8,1.3,2.7,1.364,2.875
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Grosjean S.,Philippoussis M.,8,49,6,2,5,7,6,2,,,,,2,1,Completed,1.65,2.1,1.65,1.95,1.6,1.9,1.8,1.909
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Gustafsson M.,Clavet F.,71,55,6,4,6,3,,,,,,,2,0,Completed,1.57,2.25,1.6,2.05,1.55,2,1.571,2.25
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Johansson T.,Hipfl M.,18,79,6,7,6,4,4,1,,,,,1,1,Retired,1.13,5.1,1.15,4,1.1,4.5,1.125,5.5
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Larsson M.,Bryan B.,140,178,6,4,7,5,,,,,,,2,0,Completed,1.5,2.4,1.57,2.1,1.5,2.1,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Nieminen J.,Pless K.,103,78,7,6,6,3,,,,,,,2,0,Completed,2.3,1.55,2.1,1.55,2.1,1.5,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Pioline C.,Bjorkman J.,88,53,6,3,6,4,,,,,,,2,0,Completed,2.9,1.36,2.35,1.45,2.5,1.35,2.5,1.5
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Rios M.,Russell M.,44,92,6,2,3,6,6,4,,,,,2,1,Completed,1.25,3.6,1.25,3.2,1.2,3.2,1.222,3.75
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Schalken S.,van Lottum J.,40,159,6,1,6,3,,,,,,,2,0,Completed,1.35,2.95,1.3,2.9,1.25,3,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Soderling R.,Delgado R.,557,86,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Vacek J.,Sanchez D.,70,75,6,3,7,6,,,,,,,2,0,Completed,1.35,2.95,1.35,2.7,,,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,1st Round,3,Vinciguerra A.,Johansson J.,45,410,6,3,7,6,,,,,,,2,0,Completed,1.22,3.75,1.25,3.1,1.25,3,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,2nd Round,3,Canas G.,Larsson M.,17,140,6,2,6,3,,,,,,,2,0,Completed,1.48,2.45,1.5,2.25,1.45,2.2,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,2nd Round,3,Enqvist T.,Soderling R.,20,557,7,5,6,3,,,,,,,2,0,Completed,,,,,,,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,2nd Round,3,Ferreira W.,Vinciguerra A.,30,45,6,7,7,6,7,6,,,,,2,1,Completed,1.55,2.3,1.5,2.2,1.55,2,1.5,2.5
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,2nd Round,3,Johansson T.,Pioline C.,18,88,6,1,5,7,6,3,,,,,2,1,Completed,,,,,,,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,2nd Round,3,Nieminen J.,El Aynaoui Y.,103,33,6,3,6,1,,,,,,,2,0,Completed,3.3,1.28,3.55,1.2,,,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,2nd Round,3,Rios M.,Grosjean S.,44,8,6,3,6,4,,,,,,,2,0,Completed,1.8,1.9,1.7,1.9,1.75,1.75,1.833,1.833
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,2nd Round,3,Schalken S.,Arthurs W.,40,82,6,4,6,3,,,,,,,2,0,Completed,1.57,2.25,1.45,2.35,1.45,2.2,1.533,2.375
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,2nd Round,3,Vacek J.,Gustafsson M.,70,71,6,3,3,6,6,3,,,,,2,1,Completed,,,2.25,1.5,2.7,1.3,2.625,1.444
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,Quarterfinals,3,Canas G.,Ferreira W.,17,30,6,3,6,1,,,,,,,2,0,Completed,1.5,2.45,1.55,2.15,1.5,2.1,1.5,2.5
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,Quarterfinals,3,Enqvist T.,Rios M.,20,44,6,4,6,7,7,5,,,,,2,1,Completed,1.8,1.9,1.67,1.95,1.6,1.9,1.727,2
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,Quarterfinals,3,Nieminen J.,Johansson T.,103,18,6,2,6,4,,,,,,,2,0,Completed,4.25,1.18,4.2,1.15,3.8,1.15,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,Quarterfinals,3,Schalken S.,Vacek J.,40,70,6,3,7,6,,,,,,,2,0,Completed,1.38,2.75,1.35,2.7,1.3,2.7,1.444,2.625
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,Semifinals,3,Nieminen J.,Enqvist T.,103,20,7,6,6,3,,,,,,,2,0,Completed,,,,,1.3,2.7,,
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,Semifinals,3,Schalken S.,Canas G.,40,17,6,4,6,2,,,,,,,2,0,Completed,2.35,1.52,2.25,1.52,2.1,1.5,2.5,1.5
67,Stockholm,Stockholm Open,22/10/01,International,Indoor,Hard,The Final,5,Schalken S.,Nieminen J.,40,103,3,6,6,3,6,3,4,6,6,3,3,2,Completed,,,,,,,,
