ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
60,Stockholm,Stockholm Open,10/10/05,International,Indoor,Hard,1st Round,3,Spadea V.,Chela J.I.,62,47,625,755,6,2,4,6,6,1,,,,,2,1,Completed,2.25,1.57,2.55,1.5,2.45,1.5,2.1,1.55,2.67,1.565
60,Stockholm,Stockholm Open,10/10/05,International,Indoor,Hard,1st Round,3,Martin A.,Ferrer D.,58,16,656,1380,2,6,6,3,6,2,,,,,2,1,Completed,2.87,1.36,2.9,1.38,2.6,1.45,2.7,1.35,3.26,1.407
60,Stockholm,Stockholm Open,10/10/05,International,Indoor,Hard,1st Round,3,Srichaphan P.,Verdasco F.,55,39,680,885,7,6,6,3,,,,,,,2,0,Completed,2,1.72,1.95,1.8,2.1,1.7,1.9,1.7,2.17,1.787
60,Stockholm,Stockholm Open,10/10/05,International,Indoor,Hard,1st Round,3,Sanguinetti D.,Dent T.,44,26,784,1115,2,6,6,4,6,4,,,,,2,1,Completed,2.62,1.44,2.85,1.4,2.6,1.45,2.7,1.35,3.11,1.433
60,Stockholm,Stockholm Open,11/10/05,International,Indoor,Hard,1st Round,3,Bastl G.,Cakl T.,129,217,333,170,6,4,7,5,,,,,,,2,0,Completed,,,1.6,2.3,1.65,2.15,1.5,2.2,,
60,Stockholm,Stockholm Open,11/10/05,International,Indoor,Hard,1st Round,3,Benneteau J.,Mathieu P.H.,145,51,282,733,6,1,6,3,,,,,,,2,0,Completed,3.5,1.25,3.2,1.33,2.92,1.37,2.9,1.3,3.76,1.338
60,Stockholm,Stockholm Open,11/10/05,International,Indoor,Hard,1st Round,3,Johansson T.,Eleskovic E.,14,694,1490,24,7,6,7,6,,,,,,,2,0,Completed,1.02,11,,,1.02,11.5,1.03,7,1.05,16.5
60,Stockholm,Stockholm Open,11/10/05,International,Indoor,Hard,1st Round,3,Blake J.,Garcia-Lopez G.,33,90,980,460,7,6,6,4,,,,,,,2,0,Completed,1.14,5,1.16,5,1.17,4.67,1.15,4,1.175,6.2
60,Stockholm,Stockholm Open,11/10/05,International,Indoor,Hard,1st Round,3,Schuettler R.,Enqvist T.,88,155,465,257,6,4,6,3,,,,,,,2,0,Completed,1.9,1.8,2,1.78,2,1.75,1.8,1.8,2.11,1.826
60,Stockholm,Stockholm Open,12/10/05,International,Indoor,Hard,1st Round,3,Ancic M.,Beck K.,17,46,1360,771,7,6,6,4,,,,,,,2,0,Completed,1.44,2.62,1.57,2.35,1.5,2.45,1.45,2.35,1.562,2.68
60,Stockholm,Stockholm Open,12/10/05,International,Indoor,Hard,1st Round,3,Rochus C.,Acasuso J.,53,56,710,678,6,3,6,7,6,2,,,,,2,1,Completed,2.62,1.44,2.55,1.5,2.45,1.5,2.35,1.45,2.7,1.556
60,Stockholm,Stockholm Open,12/10/05,International,Indoor,Hard,1st Round,3,Rochus O.,Niemeyer F.,28,185,1080,215,6,2,6,4,,,,,,,2,0,Completed,1.16,4.5,1.16,5,,,1.2,3.6,1.19,5.76
