ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
58,Stockholm,Stockholm Open,19/10/09,ATP250,Indoor,Hard,1st Round,3,Greul S.,Becker B.,59,38,767,1068,2,6,6,3,7,5,,,,,2,1,Completed,1.8,1.9,1.8,1.95,1.833,1.833,1.83,1.83,1.78,2
58,Stockholm,Stockholm Open,19/10/09,ATP250,Indoor,Hard,1st Round,3,Monaco J.,Hernych J.,29,62,1225,747,6,2,5,7,7,5,,,,,2,1,Completed,1.5,2.5,1.55,2.35,1.533,2.375,1.44,2.63,1.57,2.34
58,Stockholm,Stockholm Open,19/10/09,ATP250,Indoor,Hard,1st Round,3,Garcia-Lopez G.,Martin A.,49,121,859,471,6,3,6,2,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.36,3,1.36,2.88,1.37,3
58,Stockholm,Stockholm Open,19/10/09,ATP250,Indoor,Hard,1st Round,3,Mayer L.,Montanes A.,71,40,678,1053,6,4,6,3,,,,,,,2,0,Completed,1.66,2.1,1.75,2.05,1.66,2.1,1.8,1.91,1.68,2.14
58,Stockholm,Stockholm Open,19/10/09,ATP250,Indoor,Hard,1st Round,3,Johansson J.,Luczak P.,511,83,62,610,7,5,6,2,,,,,,,2,0,Completed,1.25,3.75,1.23,3.89,1.286,3.5,1.25,3.5,1.25,3.8
58,Stockholm,Stockholm Open,20/10/09,ATP250,Indoor,Hard,1st Round,3,Clement A.,Beck A.,138,37,405,1096,6,4,6,2,,,,,,,2,0,Completed,3.25,1.33,2.85,1.4,2.75,1.4,2.88,1.36,3.1,1.35
58,Stockholm,Stockholm Open,20/10/09,ATP250,Indoor,Hard,1st Round,3,Berrer M.,Kontinen H.,140,549,404,54,7,5,7,6,,,,,,,2,0,Completed,1.33,3.25,1.3,3.4,1.33,3.25,1.29,3.25,1.33,3.2
58,Stockholm,Stockholm Open,20/10/09,ATP250,Indoor,Hard,1st Round,3,Bellucci T.,Nielsen F.,45,296,903,156,7,6,6,3,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.333,3.25,1.33,3,1.28,3.55
58,Stockholm,Stockholm Open,20/10/09,ATP250,Indoor,Hard,1st Round,3,Rochus O.,Vinciguerra A.,87,256,589,188,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.65,2.15,1.667,2.1,1.57,2.25,1.75,2.03
58,Stockholm,Stockholm Open,20/10/09,ATP250,Indoor,Hard,1st Round,3,Kendrick R.,Hernandez O.,86,73,591,663,6,3,6,4,,,,,,,2,0,Completed,1.3,3.4,1.35,3.1,1.364,3,1.33,3,1.3,3.4
58,Stockholm,Stockholm Open,20/10/09,ATP250,Indoor,Hard,1st Round,3,Nieminen J.,Dimitrov G.,120,310,475,143,6,0,6,2,,,,,,,2,0,Completed,1.38,2.87,1.48,2.55,1.444,2.625,,,1.45,2.7
58,Stockholm,Stockholm Open,20/10/09,ATP250,Indoor,Hard,1st Round,3,Seppi A.,Crivoi V.,48,111,860,509,6,4,6,1,,,,,,,2,0,Completed,1.2,4.33,1.23,3.89,1.25,3.75,1.22,3.75,1.2,4.3
58,Stockholm,Stockholm Open,21/10/09,ATP250,Indoor,Hard,1st Round,3,Lopez F.,Gulbis E.,34,93,1115,560,6,2,6,4,,,,,,,2,0,Completed,1.72,2,1.75,1.95,1.8,1.909,,,1.75,2.04
58,Stockholm,Stockholm Open,21/10/09,ATP250,Indoor,Hard,1st Round,3,Haas T.,Serra F.,17,68,1825,696,6,3,6,4,,,,,,,2,0,Completed,1.3,3.4,1.32,3,1.333,3.25,1.29,3.25,1.37,3
58,Stockholm,Stockholm Open,21/10/09,ATP250,Indoor,Hard,1st Round,3,Baghdatis M.,Ferrero J.C.,66,21,705,1665,6,4,6,2,,,,,,,2,0,Completed,2.1,1.66,2,1.77,2.1,1.667,2,1.73,2.15,1.67
58,Stockholm,Stockholm Open,21/10/09,ATP250,Indoor,Hard,1st Round,3,Soderling R.,Lapentti G.,10,224,3235,218,6,3,6,0,,,,,,,2,0,Completed,1.01,13,1.02,11.5,1.02,11,1.03,10,1.02,15
58,Stockholm,Stockholm Open,21/10/09,ATP250,Indoor,Hard,2nd Round,3,Garcia-Lopez G.,Greul S.,49,59,859,767,6,3,7,5,,,,,,,2,0,Completed,2,1.72,1.87,1.87,2,1.72,2,1.73,1.97,1.8
58,Stockholm,Stockholm Open,21/10/09,ATP250,Indoor,Hard,2nd Round,3,Bellucci T.,Mayer L.,45,71,903,678,7,5,3,6,6,3,,,,,2,1,Completed,1.9,1.8,2.05,1.75,2,1.727,2.1,1.67,1.94,1.82
58,Stockholm,Stockholm Open,21/10/09,ATP250,Indoor,Hard,2nd Round,3,Johansson J.,Monaco J.,511,29,62,1225,6,4,6,4,,,,,,,2,0,Completed,1.38,2.87,1.37,3,1.444,2.625,1.5,2.5,1.4,2.88
58,Stockholm,Stockholm Open,22/10/09,ATP250,Indoor,Hard,2nd Round,3,Rochus O.,Lopez F.,87,34,589,1115,4,6,6,4,6,1,,,,,2,1,Completed,2.75,1.4,2.75,1.43,3,1.364,2.75,1.4,2.72,1.44
58,Stockholm,Stockholm Open,22/10/09,ATP250,Indoor,Hard,2nd Round,3,Clement A.,Berrer M.,138,140,405,404,3,6,7,6,6,1,,,,,2,1,Completed,1.72,2,1.8,1.95,1.8,1.909,1.73,2,1.9,1.86
58,Stockholm,Stockholm Open,22/10/09,ATP250,Indoor,Hard,2nd Round,3,Baghdatis M.,Kendrick R.,66,86,705,591,6,2,6,2,,,,,,,2,0,Completed,1.33,3.25,1.3,3.35,1.333,3.25,1.33,3,1.3,3.4
58,Stockholm,Stockholm Open,22/10/09,ATP250,Indoor,Hard,2nd Round,3,Soderling R.,Seppi A.,10,48,3235,860,6,1,6,3,,,,,,,2,0,Completed,1.06,8,1.06,7.9,1.07,7.5,1.07,7.5,1.08,7.5
58,Stockholm,Stockholm Open,22/10/09,ATP250,Indoor,Hard,2nd Round,3,Nieminen J.,Haas T.,120,17,475,1825,,,,,,,,,,,,,Walkover,3.25,1.33,2.92,1.37,3,1.364,2.88,1.36,3.1,1.35
58,Stockholm,Stockholm Open,23/10/09,ATP250,Indoor,Hard,Quarterfinals,3,Rochus O.,Nieminen J.,87,120,589,475,6,3,2,6,6,1,,,,,2,1,Completed,1.66,2.1,1.75,2.05,1.727,2,1.8,1.91,1.75,2.03
58,Stockholm,Stockholm Open,23/10/09,ATP250,Indoor,Hard,Quarterfinals,3,Bellucci T.,Johansson J.,45,511,903,62,7,6,6,3,,,,,,,2,0,Completed,3.75,1.25,3.75,1.25,3.5,1.286,3.25,1.3,3.65,1.27
58,Stockholm,Stockholm Open,23/10/09,ATP250,Indoor,Hard,Quarterfinals,3,Soderling R.,Garcia-Lopez G.,10,49,3235,859,7,6,6,4,,,,,,,2,0,Completed,1.03,11,1.03,10.5,1.05,8.5,1.05,9,1.04,11
58,Stockholm,Stockholm Open,23/10/09,ATP250,Indoor,Hard,Quarterfinals,3,Baghdatis M.,Clement A.,66,138,705,405,6,4,6,4,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.25,3.75,1.25,3.5,1.27,3.65
58,Stockholm,Stockholm Open,24/10/09,ATP250,Indoor,Hard,Semifinals,3,Rochus O.,Bellucci T.,87,45,589,903,7,6,4,6,6,3,,,,,2,1,Completed,2,1.72,2.25,1.6,2,1.727,1.83,1.83,2.1,1.7
58,Stockholm,Stockholm Open,24/10/09,ATP250,Indoor,Hard,Semifinals,3,Baghdatis M.,Soderling R.,66,10,705,3235,,,,,,,,,,,,,Walkover,3.4,1.3,3.35,1.3,3.25,1.33,3.25,1.29,3.05,1.36
58,Stockholm,Stockholm Open,25/10/09,ATP250,Indoor,Hard,The Final,3,Baghdatis M.,Rochus O.,66,87,705,589,6,1,7,5,,,,,,,2,0,Completed,1.4,2.87,1.4,2.85,1.4,2.75,1.4,2.88,1.4,2.88
