ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
54,Bangkok,Thailand Open,26/09/05,International,Indoor,Hard,1st Round,3,Garcia-Lopez G.,Fruttero J.P.,86,205,460,185,3,6,6,3,7,6,,,,,2,1,Completed,,,,,,,1.25,3.2,,
54,Bangkok,Thailand Open,26/09/05,International,Indoor,Hard,1st Round,3,Thomann N.,Norman D.,285,113,122,380,6,4,7,6,,,,,,,2,0,Completed,,,,,1.65,2.15,1.9,1.7,1.901,2.01
54,Bangkok,Thailand Open,26/09/05,International,Indoor,Hard,1st Round,3,Gremelmayr D.,Karanusic R.,239,156,149,264,6,2,7,5,,,,,,,2,0,Completed,,,,,,,1.75,1.85,1.704,2.32
54,Bangkok,Thailand Open,26/09/05,International,Indoor,Hard,1st Round,3,Wang Y.T.,Kim K.,102,79,410,481,6,3,7,6,,,,,,,2,0,Completed,1.8,1.9,1.83,1.93,,,1.65,1.95,1.781,2.18
54,Bangkok,Thailand Open,26/09/05,International,Indoor,Hard,1st Round,3,Soderling R.,Vik R.,41,71,865,496,4,6,6,1,6,2,,,,,2,1,Completed,1.28,3.25,1.33,3.2,1.37,2.92,1.25,3.2,1.356,3.61
54,Bangkok,Thailand Open,27/09/05,International,Indoor,Hard,1st Round,3,Ginepri R.,Udomchoke D.,21,144,1240,295,4,6,6,3,6,1,,,,,2,1,Completed,1.12,5.5,1.13,5.65,1.15,5.2,1.2,3.6,1.148,7.15
54,Bangkok,Thailand Open,27/09/05,International,Indoor,Hard,1st Round,3,Nieminen J.,Kucera K.,42,146,852,292,6,1,3,1,,,,,,,1,0,Retired,1.28,3.25,1.28,3.55,1.3,3.35,1.25,3.2,1.306,3.97
54,Bangkok,Thailand Open,27/09/05,International,Indoor,Hard,1st Round,3,Murray A.,Bastl G.,109,124,396,344,6,2,6,4,,,,,,,2,0,Completed,1.28,3.25,1.37,3,1.35,3.1,1.4,2.5,1.383,3.41
54,Bangkok,Thailand Open,27/09/05,International,Indoor,Hard,1st Round,3,Srichaphan P.,Chen T.,57,282,700,123,6,3,6,4,,,,,,,2,0,Completed,,,,,,,1.05,6,,
54,Bangkok,Thailand Open,27/09/05,International,Indoor,Hard,1st Round,3,Muller G.,Philippoussis M.,66,203,558,188,7,6,2,6,7,5,,,,,2,1,Completed,1.39,2.75,1.35,3.1,1.35,3.1,1.4,2.5,1.435,3.1
54,Bangkok,Thailand Open,28/09/05,International,Indoor,Hard,1st Round,3,Gimelstob J.,Lapentti N.,108,80,398,480,6,4,6,3,,,,,,,2,0,Completed,1.61,2.2,1.6,2.3,1.48,2.53,1.55,2.1,1.625,2.5
