ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
26,Munich,BMW Open,28/04/03,International,Outdoor,Clay,1st Round,3,Schalken S.,Burgsmuller L.,11,100,6,3,6,1,,,,,,,2,0,Completed,1.364,2.875,1.28,3.4,1.3,2.7,1.364,2.875,1.18,3.5
26,Munich,BMW Open,28/04/03,International,Outdoor,Clay,1st Round,3,Srichaphan N.,Kohlmann M.,10,189,6,4,6,1,,,,,,,2,0,Completed,1.444,2.625,,,1.5,2.1,1.5,2.5,1.48,2.17
26,Munich,BMW Open,28/04/03,International,Outdoor,Clay,1st Round,3,Nieminen J.,Labadze I.,35,104,6,2,6,3,,,,,,,2,0,Completed,1.25,3.5,1.2,4.25,1.2,3.3,1.2,4,1.15,4
26,Munich,BMW Open,28/04/03,International,Outdoor,Clay,1st Round,3,Arthurs W.,Behrend T.,55,101,7,6,7,5,,,,,,,2,0,Completed,2.2,1.615,2.15,1.65,2,1.55,2.1,1.667,2.3,1.42
26,Munich,BMW Open,28/04/03,International,Outdoor,Clay,1st Round,3,Waske A.,Voinea A.,111,87,7,5,7,6,,,,,,,2,0,Completed,2.5,1.5,2.6,1.45,2.2,1.45,2.5,1.5,2.35,1.41
26,Munich,BMW Open,28/04/03,International,Outdoor,Clay,1st Round,3,Kafelnikov Y.,Rochus O.,25,60,6,3,6,2,,,,,,,2,0,Completed,1.571,2.25,1.65,2.15,1.7,1.8,1.667,2.1,1.65,1.9
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Henman T.,Lapentti N.,31,42,7,5,4,6,6,1,,,,,2,1,Completed,2.2,1.615,2.5,1.5,2.3,1.4,2.5,1.5,2.42,1.38
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Levy H.,Carlsen K.,190,67,6,3,6,1,,,,,,,2,0,Completed,1.615,2.2,1.62,2.2,1.55,2,,,1.44,2.26
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Sluiter R.,Furlan R.,66,218,7,5,6,4,,,,,,,2,0,Completed,1.909,1.8,2,1.75,1.75,1.75,,,1.73,1.77
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Lisnard J.R.,Verkerk M.,99,68,6,2,6,4,,,,,,,2,0,Completed,2.25,1.571,2.35,1.55,2.1,1.5,,,2.15,1.5
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Stepanek R.,Mutis O.,51,79,6,3,6,2,,,,,,,2,0,Completed,1.667,2.1,1.72,2.05,1.5,2.1,1.833,1.833,1.66,1.88
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Davydenko N.,Mamiit C.,41,113,7,5,6,1,,,,,,,2,0,Completed,1.2,4,1.16,4.75,1.1,4.5,1.167,4.5,,
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Schuettler R.,Melzer J.,13,88,6,4,6,3,,,,,,,2,0,Completed,1.533,2.375,1.48,2.55,1.35,2.5,1.5,2.5,1.32,2.75
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Federer R.,Krajan Z.,5,103,6,4,6,3,,,,,,,2,0,Completed,1.167,4.5,1.14,5.2,1.15,3.8,1.125,5.5,1.07,5.4
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Youzhny M.,Andersen J.F.,30,337,4,6,7,5,6,3,,,,,2,1,Completed,,,1.28,3.45,1.25,3,,,1.25,3.1
26,Munich,BMW Open,29/04/03,International,Outdoor,Clay,1st Round,3,Koubek S.,Phau B.,63,171,7,5,6,4,,,,,,,2,0,Completed,1.615,2.2,1.57,2.3,1.5,2.1,1.571,2.25,1.33,2.7
26,Munich,BMW Open,30/04/03,International,Outdoor,Clay,2nd Round,3,Schalken S.,Arthurs W.,11,55,7,6,6,3,,,,,,,2,0,Completed,1.444,2.625,1.45,2.6,1.3,2.7,1.364,2.875,1.28,2.9
26,Munich,BMW Open,30/04/03,International,Outdoor,Clay,2nd Round,3,Kafelnikov Y.,Waske A.,25,111,7,5,4,6,6,3,,,,,2,1,Completed,1.286,3.5,1.3,3.3,1.2,3.3,1.333,3,1.17,3.7
26,Munich,BMW Open,30/04/03,International,Outdoor,Clay,2nd Round,3,Stepanek R.,Srichaphan N.,51,10,6,3,6,2,,,,,,,2,0,Completed,,,,,,,,,,
26,Munich,BMW Open,30/04/03,International,Outdoor,Clay,2nd Round,3,Nieminen J.,Lisnard J.R.,35,99,6,3,6,0,,,,,,,2,0,Completed,1.364,3,1.38,2.9,1.35,2.5,1.364,2.875,1.27,3
26,Munich,BMW Open,01/05/03,International,Outdoor,Clay,2nd Round,3,Koubek S.,Henman T.,63,31,6,4,6,0,,,,,,,2,0,Completed,2.5,1.5,2.25,1.6,2,1.55,2.5,1.5,2.25,1.45
26,Munich,BMW Open,01/05/03,International,Outdoor,Clay,2nd Round,3,Schuettler R.,Davydenko N.,13,41,4,6,6,2,6,3,,,,,2,1,Completed,2,1.727,2.2,1.63,1.8,1.7,2.1,1.667,1.8,1.7
26,Munich,BMW Open,01/05/03,International,Outdoor,Clay,2nd Round,3,Federer R.,Sluiter R.,5,66,6,4,6,3,,,,,,,2,0,Completed,1.125,5.5,1.12,5.65,1.1,4.5,1.1,6,1.04,6.25
26,Munich,BMW Open,01/05/03,International,Outdoor,Clay,2nd Round,3,Youzhny M.,Levy H.,30,190,3,6,6,4,6,1,,,,,2,1,Completed,1.533,2.375,1.65,2.15,1.55,2,1.571,2.25,1.45,2.25
26,Munich,BMW Open,02/05/03,International,Outdoor,Clay,Quarterfinals,3,Kafelnikov Y.,Schalken S.,25,11,6,7,7,5,6,3,,,,,2,1,Completed,2.1,1.667,,,2.3,1.4,2.375,1.533,2.3,1.4
26,Munich,BMW Open,02/05/03,International,Outdoor,Clay,Quarterfinals,3,Nieminen J.,Stepanek R.,35,51,6,1,6,1,,,,,,,2,0,Completed,1.533,2.375,1.57,2.3,1.55,2,1.615,2.2,1.45,2.25
26,Munich,BMW Open,02/05/03,International,Outdoor,Clay,Quarterfinals,3,Koubek S.,Schuettler R.,63,13,6,3,6,4,,,,,,,2,0,Completed,2.5,1.5,2.3,1.58,2.1,1.5,2.25,1.571,2.4,1.4
26,Munich,BMW Open,02/05/03,International,Outdoor,Clay,Quarterfinals,3,Federer R.,Youzhny M.,5,30,6,2,6,3,,,,,,,2,0,Completed,1.25,3.75,1.25,3.7,1.2,3.3,1.2,4,1.14,4.05
26,Munich,BMW Open,03/05/03,International,Outdoor,Clay,Semifinals,3,Nieminen J.,Kafelnikov Y.,35,25,6,4,0,1,,,,,,,1,0,Retired,1.667,2.1,1.58,2.3,1.5,2.1,1.571,2.25,1.54,2.1
26,Munich,BMW Open,03/05/03,International,Outdoor,Clay,Semifinals,3,Federer R.,Koubek S.,5,63,6,2,6,1,,,,,,,2,0,Completed,1.25,3.75,1.28,3.5,1.2,3.3,1.25,3.5,1.2,3.5
