ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Arthurs W.,Vacek J.,54,91,6,4,6,7,6,4,,,,,2,1,Completed,1.4,2.75,1.45,2.65,1.45,2.45,1.35,2.5,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Mamiit C.,56,95,4,6,7,5,6,3,,,,,2,1,Completed,1.615,2.2,1.6,2.25,1.66,2.05,1.65,1.85,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Chela J.I.,Norman M.,23,210,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.45,2.65,1.35,2.8,1.4,2.3,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Clavet F.,Larsson M.,101,156,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Corretja A.,Chang M.,20,118,7,6,6,4,,,,,,,2,0,Completed,1.4,2.75,1.45,2.6,1.32,3.03,1.3,2.7,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Dent T.,Srichaphan P.,62,31,6,4,0,6,7,5,,,,,2,1,Completed,2.5,1.5,2.3,1.58,2.25,1.52,2.1,1.5,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Dupuis A.,Kohlmann M.,93,131,6,4,3,6,7,5,,,,,2,1,Completed,,,,,,,1.7,1.8,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Ferrero J.C.,Koubek S.,6,38,6,2,6,4,,,,,,,2,0,Completed,1.364,2.875,1.36,3,1.34,3.03,1.25,3,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Golmard J.,Kucera K.,137,68,6,3,6,3,,,,,,,2,0,Completed,1.727,2,1.72,2.05,1.75,1.9,1.7,1.8,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Lapentti N.,Calleri A.,30,49,7,5,6,2,,,,,,,2,0,Completed,1.667,2.1,1.68,2.1,1.65,2.02,1.6,1.9,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Lee H.T.,Knowle J.,81,97,7,5,4,6,6,1,,,,,2,1,Completed,1.333,3,1.45,2.65,1.4,2.6,1.4,2.3,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Lopez F.,Hrbaty D.,71,47,3,6,6,3,7,6,,,,,2,1,Completed,2.5,1.5,2.25,1.6,2.2,1.55,1.9,1.6,,
55,Hong Kong,Salem Open,23/09/02,International,Outdoor,Hard,1st Round,3,Massu N.,Stepanek R.,60,73,7,5,6,2,,,,,,,2,0,Completed,1.727,2,1.8,1.95,1.7,2.03,1.65,1.85,,
