ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
13,Rotterdam,ABN AMRO World Tennis Tournament,17/02/03,International Gold,Indoor,Hard,1st Round,3,Hrbaty D.,Voinea A.,53,80,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,,,
13,Rotterdam,ABN AMRO World Tennis Tournament,17/02/03,International Gold,Indoor,Hard,1st Round,3,Mirnyi M.,Ancic M.,46,65,6,7,7,6,6,4,,,,,2,1,Completed,2,1.727,,,1.9,1.6,2.1,1.667,1.85,1.67
13,Rotterdam,ABN AMRO World Tennis Tournament,17/02/03,International Gold,Indoor,Hard,1st Round,3,Nieminen J.,Corretja A.,35,17,6,4,6,0,,,,,,,2,0,Completed,1.833,1.833,,,1.7,1.8,1.833,1.833,1.75,1.75
13,Rotterdam,ABN AMRO World Tennis Tournament,17/02/03,International Gold,Indoor,Hard,1st Round,3,Rochus O.,Koubek S.,83,51,6,2,6,1,,,,,,,2,0,Completed,1.833,1.833,,,1.6,1.9,1.727,2,1.64,1.91
13,Rotterdam,ABN AMRO World Tennis Tournament,17/02/03,International Gold,Indoor,Hard,1st Round,3,Schalken S.,Rochus C.,19,136,6,3,6,3,,,,,,,2,0,Completed,1.364,2.875,,,1.3,2.7,1.333,3,1.17,3.7
13,Rotterdam,ABN AMRO World Tennis Tournament,18/02/03,International Gold,Indoor,Hard,1st Round,3,Ferrero J.C.,Arthurs W.,3,45,7,6,7,6,,,,,,,2,0,Completed,1.25,3.5,,,1.25,3,1.25,3.5,1.15,4
13,Rotterdam,ABN AMRO World Tennis Tournament,18/02/03,International Gold,Indoor,Hard,1st Round,3,Kafelnikov Y.,Lopez F.,25,50,6,2,6,0,,,,,,,2,0,Completed,1.571,2.25,,,1.5,2.1,1.5,2.5,1.43,2.28
13,Rotterdam,ABN AMRO World Tennis Tournament,18/02/03,International Gold,Indoor,Hard,1st Round,3,Krajicek R.,Robredo T.,84,33,7,6,6,7,6,2,,,,,2,1,Completed,1.615,2.2,,,1.45,2.2,1.533,2.375,1.41,2.35
13,Rotterdam,ABN AMRO World Tennis Tournament,18/02/03,International Gold,Indoor,Hard,1st Round,3,Ljubicic I.,Henman T.,52,11,6,4,6,2,,,,,,,2,0,Completed,,,,,1.75,1.75,1.833,1.833,1.77,1.73
13,Rotterdam,ABN AMRO World Tennis Tournament,18/02/03,International Gold,Indoor,Hard,1st Round,3,Sluiter R.,Verkerk M.,72,64,3,6,6,4,7,6,,,,,2,1,Completed,2.1,1.667,,,1.85,1.65,2,1.727,1.85,1.67
